Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
PdfAct,134.tar_1607.04705.gz_MF-T_black.pdf,8,footer,0.0,0.0,0.0,0.0
Pdfact,135.tar_1607.05064.gz_isit_typewriter_arxiv_black.pdf,0,footer,0.323943661971831,0.323943661971831,0.323943661971831,0.45996592844974443
Pdfact,136.tar_1607.05560.gz_Panorama-CapitaineDonati_black.pdf,0,footer,0.0,0.0,0.0,0.009661835748792242
Pdfact,138.tar_1607.06406.gz_Main_black.pdf,25,footer,0.0,0.0,0.0,0.0
Pdfact,133.tar_1607.04284.gz_jpetts2016_black.pdf,0,footer,0.3333333333333333,1.0,0.5,0.7887323943661971
Pdfact,138.tar_1607.06481.gz_labecho_black.pdf,9,footer,0.0,0.0,0.0,0.036363636363636404
Pdfact,132.tar_1607.03682.gz_task1_paper_final_black.pdf,0,footer,0.14634146341463414,0.2857142857142857,0.1935483870967742,0.33249370277078083
Pdfact,135.tar_1607.05072.gz_arxiv_black.pdf,2,footer,0.0,0.0,0.0,0.1666666666666667
Pdfact,134.tar_1607.04534.gz_bulkhiggsdiphoton_black.pdf,15,footer,0.0,0.0,0.0,0.0
Pdfact,133.tar_1607.04106.gz_m_paper_black.pdf,13,footer,0.0,0.0,0.0,0.0597014925373135
Pdfact,132.tar_1607.03901.gz_operatorsv2_black.pdf,46,footer,0.0,0.0,0.0,0.01652892561983478
Pdfact,129.tar_1607.02559.gz_main_black.pdf,0,footer,0.8571428571428571,1.0,0.923076923076923,0.96875
Pdfact,131.tar_1607.03250.gz_nips_2016_black.pdf,0,footer,1.0,1.0,1.0,0.9844559585492227
Pdfact,138.tar_1607.06547.gz_stop2_arXiv_v2_black.pdf,6,footer,0.49333333333333335,0.49333333333333335,0.4933333333333334,0.654434250764526
Pdfact,143.tar_1607.08612.gz_Eftekhari_T_2016_black.pdf,0,footer,0.5,0.5,0.5,0.6017699115044247
Pdfact,133.tar_1607.04222.gz_LGLH-final_black.pdf,20,footer,0.0,0.0,0.0,0.01864801864801862
Pdfact,129.tar_1607.02437.gz_robmat_preprint_black.pdf,7,footer,0.0,0.0,0.0,0.0
Pdfact,135.tar_1607.05157.gz_arxivVersion_black.pdf,3,footer,0.0,0.0,0.0,0.012121212121212182
Pdfact,131.tar_1607.03217.gz_topgeometry_revision_black.pdf,9,footer,0.0,0.0,0.0,0.08490566037735846
Pdfact,142.tar_1607.08316.gz_ilievski_black.pdf,4,footer,0.0,0.0,0.0,0.2824858757062147
Pdfact,141.tar_1607.07979.gz_CancunImages_black.pdf,20,footer,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8407079646017699
Pdfact,135.tar_1607.05330.gz_tth_ver0.4_black.pdf,5,footer,0.0,0.0,0.0,0.026030368763557448
Pdfact,143.tar_1607.08755.gz_paper_black.pdf,15,footer,0.0,0.0,0.0,0.025236593059936894
Pdfact,131.tar_1607.03497.gz_HS2DMjcap_v2_black.pdf,42,footer,0.0,0.0,0.0,0.01731601731601728
Pdfact,129.tar_1607.02551.gz_msm_black.pdf,4,footer,0.0,0.0,0.0,0.14772727272727265
Pdfact,131.tar_1607.03424.gz_justpantsfinal_black.pdf,0,footer,0.0,0.0,0.0,0.0
Pdfact,133.tar_1607.04285.gz_highzcolours_black.pdf,2,footer,0.0,0.0,0.0,0.04724409448818903
Pdfact,133.tar_1607.04373.gz_main_black.pdf,0,footer,0.0,0.0,0.0,0.16783216783216787
Pdfact,138.tar_1607.06777.gz_rows3cor3_black.pdf,6,footer,0.0,0.0,0.0,0.0
Pdfact,133.tar_1607.04194.gz_chenjie_0714_black.pdf,3,footer,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.36893203883495146
Pdfact,134.tar_1607.04604.gz_Analysis_of_best-case_running_time_of_MergeSort_ArXiv_v2_black.pdf,8,footer,0.65,0.65,0.65,0.7339449541284404
Pdfact,136.tar_1607.05731.gz_decomposition_paper_black.pdf,0,footer,0.3333333333333333,1.0,0.5,0.8148148148148148
Pdfact,131.tar_1607.03143.gz_dr12_fourier_wedges_full_shape_v2_black.pdf,13,footer,0.0,0.0,0.0,0.09782608695652172
Pdfact,130.tar_1607.03061.gz_12mm_w28mopra_deep_Archive_black.pdf,1,footer,0.0,0.0,0.0,0.03571428571428569
Pdfact,134.tar_1607.04628.gz_main_black.pdf,24,footer,0.0,0.0,0.0,0.0
Pdfact,134.tar_1607.04853.gz_coling2016_black.pdf,2,footer,1.0,1.0,1.0,1.0
Pdfact,132.tar_1607.03516.gz_main_eccv_black.pdf,4,footer,0.9565217391304348,1.0,0.9777777777777777,0.9938271604938272
Pdfact,140.tar_1607.07540.gz_ms_black.pdf,2,footer,0.0,0.0,0.0,0.28025477707006374
Pdfact,128.tar_1607.02150.gz_parametric_dust_models_final_black.pdf,6,footer,0.0,0.0,0.0,0.06521739130434781
Pdfact,132.tar_1607.03815.gz_homotopy-smoothing_black.pdf,1,footer,0.0,0.0,0.0,0.0
Pdfact,138.tar_1607.06390.gz_ms_black.pdf,1,footer,0.3055555555555556,0.5945945945945946,0.4036697247706422,0.34135166093928987
Pdfact,139.tar_1607.07249.gz_paper_black.pdf,1,footer,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.2659574468085107
Pdfact,133.tar_1607.04165.gz_article_black.pdf,12,footer,0.0,0.0,0.0,0.001666666666666714
Pdfact,130.tar_1607.02619.gz_Diffusone_ArXiV_0709_black.pdf,24,footer,0.0,0.0,0.0,0.0
Pdfact,134.tar_1607.04656.gz_model+result_black.pdf,0,footer,0.0,0.0,0.0,0.025316455696202524
Pdfact,137.tar_1607.06296.gz_ms_black.pdf,1,footer,0.5714285714285714,1.0,0.7272727272727273,0.8796680497925311
Pdfact,138.tar_1607.06578.gz_magnetobounce926_black.pdf,7,footer,0.1308411214953271,0.1308411214953271,0.1308411214953271,0.31257344300822565
PdfAct,129.tar_1607.02265.gz_DeSitter-2018-arXiv_black.pdf,123,footer,0.0,0.0,0.0,0.0
Pdfact,134.tar_1607.04601.gz_complete_manuscript_rev3_black.pdf,2,footer,0.0,0.0,0.0,0.04827586206896555
Pdfact,129.tar_1607.02192.gz_paper_black.pdf,3,footer,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9729729729729729
Pdfact,138.tar_1607.06533.gz_J0809-PASJ-arXiv_black.pdf,6,footer,0.0,0.0,0.0,0.0
Pdfact,133.tar_1607.04421.gz_Password_Generators_v3.5_black.pdf,0,footer,0.0,0.0,0.0,0.015625
Pdfact,139.tar_1607.07256.gz_Seg-Cover-arxiv_black.pdf,7,footer,0.0,0.0,0.0,0.0
Pdfact,137.tar_1607.06141.gz_worsttracing_TCC_Submit_black.pdf,0,footer,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.20261437908496732
Pdfact,140.tar_1607.07550.gz_muonjet-1021_black.pdf,19,footer,0.0,0.0,0.0,0.003846153846153868
Pdfact,138.tar_1607.06454.gz_Entropie-sofique-Bourbaki-final_black.pdf,8,footer,0.0,0.0,0.0,0.0
Pdfact,138.tar_1607.06820.gz_cmass_vdf_amontero_clean_v2_black.pdf,7,footer,0.0,0.0,0.0,0.09677419354838705
Pdfact,142.tar_1607.08270.gz_RDEdwards.DDP_black.pdf,7,footer,0.9285714285714286,1.0,0.962962962962963,0.9795918367346939
Pdfact,135.tar_1607.05181.gz_main_black.pdf,0,footer,0.0,0.0,0.0,0.020202020202020207
Pdfact,136.tar_1607.05758.gz_papier_ind_V5_black.pdf,0,footer,0.0,0.0,0.0,0.10526315789473685
Pdfact,130.tar_1607.03026.gz_samii-etal-ensemble-colombia-2016-06-08_black.pdf,24,footer,0.0,0.0,0.0,0.01694915254237287
Pdfact,131.tar_1607.03428.gz_neurocomputing2016_arxiv_black.pdf,17,footer,0.0,0.0,0.0,0.03030303030303031
Pdfact,136.tar_1607.05647.gz_MEMD_arxiv_black.pdf,0,footer,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.33943427620632277
Pdfact,137.tar_1607.05875.gz_my_paper_black.pdf,0,footer,0.0,0.0,0.0,0.08108108108108113
Pdfact,141.tar_1607.07935.gz_Three-Qutrit_Singlet_States_Preparation_with_Rydberg_Blockade_Mechanism20160714_black.pdf,0,footer,0.5,1.0,0.6666666666666666,0.9
Pdfact,131.tar_1607.03228.gz_QSLReview170323_black.pdf,9,footer,0.02631578947368421,0.02631578947368421,0.02631578947368421,0.21192052980132445
Pdfact,131.tar_1607.03453.gz_coarse_black.pdf,7,footer,0.0,0.0,0.0,0.03508771929824562
Pdfact,134.tar_1607.04757.gz_Rev_V2_Aug2017_black.pdf,1,footer,0.1891891891891892,0.4117647058823529,0.2592592592592593,0.29861111111111116
Pdfact,142.tar_1607.08337.gz_spanner-journal_black.pdf,26,footer,0.0,0.0,0.0,0.0
Pdfact,139.tar_1607.07249.gz_paper_black.pdf,8,footer,0.8,1.0,0.888888888888889,0.9795918367346939
Pdfact,138.tar_1607.06466.gz_mazzalay_black.pdf,1,footer,0.0,0.0,0.0,0.08333333333333329
Pdfact,138.tar_1607.06820.gz_cmass_vdf_amontero_clean_v2_black.pdf,9,footer,0.0,0.0,0.0,0.11464968152866248
Pdfact,142.tar_1607.08344.gz_AUGURY_black.pdf,1,footer,0.0,0.0,0.0,0.12698412698412695
Pdfact,142.tar_1607.08247.gz_paper_black.pdf,9,footer,0.0,0.0,0.0,0.10374639769452443
Pdfact,132.tar_1607.03657.gz_pp2_black.pdf,0,footer,0.0,0.0,0.0,0.0
Pdfact,130.tar_1607.02668.gz_MC_NOMA_FD_black.pdf,4,footer,0.22448979591836735,0.22448979591836735,0.22448979591836735,0.3717774762550882
Pdfact,136.tar_1607.05697.gz_BoundedRumorSpreading_black.pdf,3,footer,0.0,0.0,0.0,0.005698005698005631
Pdfact,132.tar_1607.03826.gz_brooms_ext_black.pdf,0,footer,0.0,0.0,0.0,0.032786885245901655
Pdfact,133.tar_1607.04222.gz_LGLH-final_black.pdf,12,footer,0.0,0.0,0.0,0.02884615384615387
Pdfact,140.tar_1607.07428.gz_publication-Diff-new_black.pdf,11,footer,0.16,0.16,0.16,0.3735224586288416
Pdfact,128.tar_1607.02179.gz_arxiv-v1_black.pdf,0,footer,0.21212121212121213,0.38181818181818183,0.27272727272727276,0.3260680034873583
Pdfact,134.tar_1607.04741.gz_naw_black.pdf,0,footer,0.0,0.0,0.0,0.0123456790123457
Pdfact,132.tar_1607.03965.gz_ms_black.pdf,5,footer,0.0,0.0,0.0,0.04888888888888886
Pdfact,143.tar_1607.08698.gz_jhepKMbeta3_black.pdf,2,footer,0.0,0.0,0.0,0.02955665024630548
Pdfact,130.tar_1607.03050.gz_ccml_black.pdf,0,footer,0.39285714285714285,0.39285714285714285,0.39285714285714285,0.5147679324894515
Pdfact,132.tar_1607.03881.gz_new_version2_black.pdf,0,footer,0.0,0.0,0.0,0.012578616352201238
Pdfact,141.tar_1607.08081.gz_Idempotent_braidings_black.pdf,18,footer,0.2857142857142857,0.47058823529411764,0.35555555555555557,0.398576512455516
Pdfact,131.tar_1607.03130.gz_ms_black.pdf,0,footer,0.0,0.0,0.0,0.10644257703081238
