Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
PdfAct,31.tar_1403.3001.gz_gibbon_of_math_history_valerii_salov_black.pdf,5,list,0,0,0,0
PdfAct,28.tar_1403.0713.gz_nc_quadric_black.pdf,7,list,0,0,0,0
PdfAct,39.tar_1403.7801.gz_HeegnerPointsOnCartanCurves_black.pdf,22,list,0,0,0,0
PdfAct,40.tar_1403.7939.gz_QuasiConfigurationsAsBuildingBlocks_black.pdf,2,list,0,0,0,0
PdfAct,"38.tar_1403.7224.gz_Mori_program_M__0,6__131016-web_black.pdf",5,list,0,0,0,0
PdfAct,36.tar_1403.5660.gz_rd21_black.pdf,3,list,0,0,0,0
PdfAct,33.tar_1403.3937.gz_Bourdin-Odzijewicz-Torres_black.pdf,8,list,0,0,0,0
PdfAct,32.tar_1403.3362.gz_brody_hadjipetri_black.pdf,18,list,0,0,0,0
PdfAct,35.tar_1403.5440.gz_symmetry_clases_v6_black.pdf,6,list,0,0,0,0
PdfAct,33.tar_1403.3752.gz_Paper_black.pdf,2,list,0,0,0,0
PdfAct,35.tar_1403.5403.gz_arXiv_final_black.pdf,6,list,0,0,0,0
PdfAct,34.tar_1403.4801.gz_manuscript_black.pdf,5,list,0,0,0,0
PdfAct,31.tar_1403.2777.gz_paper_black.pdf,23,list,0,0,0,0
PdfAct,33.tar_1403.4021.gz_trbmw_black.pdf,7,list,0,0,0,0
PdfAct,33.tar_1403.3740.gz_RCSI_IA_Cellular_black.pdf,14,list,0,0,0,0
PdfAct,28.tar_1403.1200.gz_gstscp_black.pdf,1,list,0,0,0,0
PdfAct,37.tar_1403.6554.gz_Cantor5_black.pdf,11,list,0,0,0,0
PdfAct,33.tar_1403.3965.gz_SimplifiedFSI_black.pdf,8,list,0,0,0,0
PdfAct,35.tar_1403.5132.gz_2013_partalg_paper_black.pdf,4,list,0,0,0,0
PdfAct,28.tar_1403.0689.gz_symqdle021_black.pdf,8,list,0,0,0,0
PdfAct,27.tar_1403.0428.gz_p_laplace_boundary_derivatives_rev_black.pdf,8,list,0,0,0,0
PdfAct,30.tar_1403.2001.gz_dipole_fitting_v7_black.pdf,4,list,0,0,0,0
PdfAct,30.tar_1403.1975.gz_2015-01-08-paper_black.pdf,7,list,0,0,0,0
PdfAct,37.tar_1403.6200.gz_paper_v3_black.pdf,3,list,0,0,0,0
PdfAct,30.tar_1403.2225.gz_spec-k-v-final_black.pdf,4,list,0,0,0,0
PdfAct,29.tar_1403.1458.gz_phase_transitions_2014_01_27_black.pdf,1,list,0,0,0,0
PdfAct,31.tar_1403.2786.gz_main_black.pdf,7,list,0,0,0,0
PdfAct,37.tar_1403.6540.gz_Book_chapter19_black.pdf,15,list,0,0,0,0
PdfAct,40.tar_1403.8061.gz_ClusterReview-arxiv_black.pdf,8,list,0,0,0,0
PdfAct,33.tar_1403.4172.gz_Type_Decomposition_In_Posets_black.pdf,6,list,0,0,0,0
PdfAct,27.tar_1403.0537.gz_HoytNew_arxiv_black.pdf,2,list,0,0,0,0
PdfAct,37.tar_1403.6537.gz_StrangeFFSubmit_black.pdf,1,list,0,0,0,0
PdfAct,34.tar_1403.4682.gz_isprs_submission_v4_arXiv_black.pdf,21,list,0,0,0,0
PdfAct,34.tar_1403.4600.gz_articledraft_v2-finalarxiv_black.pdf,14,list,0,0,0,0
PdfAct,37.tar_1403.6625.gz_spline_moduli_post_ref_black.pdf,10,list,0,0,0,0
PdfAct,32.tar_1403.3580.gz_ANAIS-ijmpa-final_black.pdf,3,list,0,0,0,0
PdfAct,37.tar_1403.6404.gz_Arakelov_invariants_of_Belyi_curves_black.pdf,32,list,0,0,0,0
PdfAct,27.tar_1403.0050.gz_ms_black.pdf,12,list,0,0,0,0
PdfAct,40.tar_1403.7997.gz_metricspaces_arxiv_final_black.pdf,10,list,0,0,0,0
PdfAct,29.tar_1403.1803.gz_qtad_Arxive_black.pdf,21,list,0,0,0,0
PdfAct,35.tar_1403.5089.gz_Many_2_1_XC_v15_arxiv_black.pdf,7,list,0,0,0,0
