Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
PdfAct,271.tar_1711.08933.gz_main_black.pdf,15,paragraph,0.8098487624390968,0.9393617691107612,0.9752680059927419,0.8131193944969591
PdfAct,255.tar_1711.02449.gz_wd_rot_black.pdf,8,paragraph,0.6299340145897538,0.8485521140929281,0.8116724368619681,0.833071025264841
PdfAct,269.tar_1711.08286.gz_sdest_black.pdf,14,paragraph,0.9055977700957502,0.9525858019827853,0.8270554642792363,0.8113998003190414
PdfAct,257.tar_1711.03245.gz_ms_black.pdf,39,paragraph,0.7726600778106543,0.987283075257947,0.8416041010156825,0.9346448956880433
PdfAct,255.tar_1711.02324.gz_paper_black.pdf,3,paragraph,0.9565659062057635,0.9155786523137466,0.7324097790796908,0.825937280503534
PdfAct,255.tar_1711.02294.gz_hotnets17_black.pdf,5,paragraph,0.7341530063374084,0.9742471454913364,0.8226968083747881,0.7841283556957583
PdfAct,273.tar_1711.09721.gz_paper-qdot_black.pdf,4,paragraph,0.8654963242959699,0.8565510192934869,0.7785293318884754,0.9502554191390626
PdfAct,272.tar_1711.09292.gz_manuscript_black.pdf,10,paragraph,0.7839407256029765,0.9376394739977362,0.7809425505050533,0.9541290817819288
PdfAct,266.tar_1711.07253.gz_NO_uniqueness_nou_black.pdf,5,paragraph,0.9954815413512196,0.9101274871067748,0.8426892129430718,0.7933864154322392
PdfAct,254.tar_1711.02173.gz_main_ICLR_black.pdf,4,paragraph,0.9542501603995001,0.923682044956584,0.7862005791485093,0.7041257621101157
PdfAct,258.tar_1711.03796.gz_Graf_IEEE_AHCAL_CR_black.pdf,0,paragraph,0.8864337434098373,0.8394700351973173,0.8816832400254795,0.749184002677422
PdfAct,266.tar_1711.06882.gz_main_black.pdf,22,paragraph,0.8315990217298618,0.8708429912388003,0.9271989815876102,0.959020501374834
PdfAct,257.tar_1711.03305.gz_VV_amplifier_v12_black.pdf,5,paragraph,0.7342809783701297,0.9844680111275962,0.9548006703352088,0.7318530741286647
PdfAct,254.tar_1711.02245.gz_paper_black.pdf,5,paragraph,0.7895987878184544,0.8848273308721013,0.7528288412124471,0.9793249228604677
PdfAct,270.tar_1711.08844.gz_LimitingV2_final_black.pdf,26,paragraph,0.6181052569456437,0.9568021632628281,0.7213900639454003,0.8442406320001444
PdfAct,271.tar_1711.09146.gz_current_black.pdf,30,paragraph,0.9822846429204346,0.8474711592648814,0.8972748798922506,0.9304742781430849
PdfAct,270.tar_1711.08879.gz_fsn_black.pdf,2,paragraph,0.7338232970490057,0.8068068183907106,0.9667781647138824,0.9545120493557503
PdfAct,259.tar_1711.04098.gz_eindep_black.pdf,1,paragraph,0.9144984654830696,0.9526238520065907,0.7017292259017326,0.8515578290225948
PdfAct,266.tar_1711.06941.gz_profile-DSTs-6_black.pdf,5,paragraph,0.7246068732809401,0.8514055079062528,0.8393247853567105,0.8951898950385945
PdfAct,269.tar_1711.08437.gz_clockwork-pheno_v1_black.pdf,13,paragraph,0.7592502905708935,0.9592819651030944,0.7986184744274096,0.7754288858562688
PdfAct,271.tar_1711.08893.gz_Junopaper_black.pdf,17,paragraph,0.8361934297683838,0.8958187158988845,0.7505948015497093,0.780483219848455
PdfAct,259.tar_1711.04319.gz_stability-and-noise101_black.pdf,0,paragraph,0.841933042787095,0.9964521395273911,0.8838491861259781,0.8127547896658855
PdfAct,255.tar_1711.02535.gz_main_black.pdf,1,paragraph,0.9706384938190437,0.8834059246461676,0.7581877816457807,0.7825719554793742
PdfAct,255.tar_1711.02362.gz_mkdv_final-171104_black.pdf,11,paragraph,0.8847833658271038,0.841226401316723,0.9004919341362182,0.8034258339152739
PdfAct,259.tar_1711.03994.gz_mspsPRESSURE-16_black.pdf,1,paragraph,0.7812686840972666,0.9981348147341987,0.844871070569254,0.7512097418118967
PdfAct,270.tar_1711.08552.gz_thetis_baroclinic_black.pdf,25,paragraph,0.7258988293730118,0.8622470333310893,0.7856660202910161,0.946486534554766
PdfAct,257.tar_1711.03077.gz_text_black.pdf,6,paragraph,0.695366308731621,0.9307069276223163,0.7467107691292418,0.7232189944889099
PdfAct,272.tar_1711.09262.gz_Hamiltonian_Path_split_v3_black.pdf,17,paragraph,0.6000454059704163,0.8488743471559449,0.948156411381114,0.9282530469801211
PdfAct,266.tar_1711.07137.gz_SemiParInf_arXiv_black.pdf,14,paragraph,0.738565774191685,0.9570040552784057,0.9562688447741807,0.8558263748951902
PdfAct,276.tar_1711.11068.gz_untitled-2_black.pdf,0,paragraph,0.7852027841292035,0.857482464605538,0.9897997065502745,0.8554313991017244
PdfAct,269.tar_1711.08077.gz_ms_black.pdf,8,paragraph,0.8042520045222321,0.9438168114748526,0.8987330768166346,0.9089982509214751
PdfAct,256.tar_1711.02971.gz_Final2_black.pdf,17,paragraph,0.9467859663640614,0.9625810482802694,0.8669064098622544,0.9838860250351856
