Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
Pdfact,255.tar_1612.08636.gz_LB5_black.pdf,6,section,0.05714285714285714,0.3333333333333333,0.09756097560975609,0.16806722689075626
Pdfact,238.tar_1612.01571.gz_paper_black.pdf,4,section,0.05084745762711865,1.0,0.0967741935483871,0.0946745562130178
Pdfact,254.tar_1612.08205.gz_industry_black.pdf,4,section,0.2857142857142857,0.3333333333333333,0.30769230769230765,0.52
Pdfact,240.tar_1612.02342.gz_degdiff9_black.pdf,38,section,0.0,0.0,0.0,0.07326007326007328
Pdfact,236.tar_1612.00473.gz_CONF12_fs_gk-rev_black.pdf,3,section,0.0,0.0,0.0,0.19047619047619052
Pdfact,237.tar_1612.00793.gz_physor2016_munk_black.pdf,6,section,0.4,1.0,0.5714285714285715,0.6031746031746031
PdfAct,254.tar_1612.08315.gz_chapter10_black.pdf,8,section,0.0,0.0,0.0,0.0
Pdfact,236.tar_1612.00732.gz_Silva_Torres-rv_black.pdf,6,section,0.0,0.0,0.0,0.2
PdfAct,236.tar_1612.00618.gz_ReviewGRB_prompt_submitted_07_March_2017_black.pdf,2,section,0.0,0.0,0.0,0.0
Pdfact,235.tar_1612.00332.gz_wavefiltering3_black.pdf,6,section,0.0,0.0,0.0,0.06896551724137936
Pdfact,250.tar_1612.06722.gz_article_most_v473-utra_final_black.pdf,7,section,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9940828402366865
PdfAct,237.tar_1612.00769.gz_CHsolver_black.pdf,5,section,0.0,0.0,0.0,0.0
Pdfact,249.tar_1612.06112.gz_Compact_Full_Duplex_MIMO_Radios_in_D2D_Underlaid_Cellular_Networks_From_System_Design_to_Prototype_Results_IEEE_Access_Arxiv_1_black.pdf,3,section,1.0,1.0,1.0,0.9350649350649352
PdfAct,247.tar_1612.05243.gz_main1_black.pdf,41,section,0.0,0.0,0.0,0.0
Pdfact,248.tar_1612.05701.gz_Tensor-consistency-V4_black.pdf,11,section,0.0,0.0,0.0,0.1321585903083701
Pdfact,238.tar_1612.01352.gz_IT_RCPP_OptPS_manu_v2_black.pdf,11,section,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.7272727272727272
Pdfact,239.tar_1612.01594.gz_Homa-Arxiv_black.pdf,7,section,0.13333333333333333,0.15384615384615385,0.14285714285714288,0.303030303030303
Pdfact,238.tar_1612.01527.gz_strassen-fourier-continued_black.pdf,2,section,0.0,0.0,0.0,0.13461538461538466
Pdfact,248.tar_1612.05647.gz_rsdlens_black.pdf,6,section,0.0,0.0,0.0,0.05825242718446603
Pdfact,255.tar_1612.08614.gz_new_black.pdf,9,section,0.0,0.0,0.0,0.07692307692307693
Pdfact,254.tar_1612.08502.gz_GLT_for_disordered_BHM-V1_black.pdf,5,section,0.0,0.0,0.0,0.0597014925373135
PdfAct,239.tar_1612.02003.gz_bw_pe_per_paper_arxiv_v3_black.pdf,4,section,0.0,0.0,0.0,0.0
Pdfact,237.tar_1612.00853.gz_paper_black.pdf,5,section,0.4,0.4,0.4000000000000001,0.6476190476190475
PdfAct,236.tar_1612.00739.gz_paperRT_black.pdf,11,section,0.0,0.0,0.0,0.0
Pdfact,240.tar_1612.02254.gz_homotopy-theory-of-unital-algebras_black.pdf,3,section,0.04,0.5,0.07407407407407407,0.19607843137254904
Pdfact,237.tar_1612.01027.gz_ms_black.pdf,1,section,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.3108504398826979
PdfAct,253.tar_1612.07784.gz_ms_black.pdf,12,section,0.0,0.0,0.0,0.0
Pdfact,239.tar_1612.01593.gz_Caching_INFOCOM2017_Extended_black.pdf,10,section,0.044444444444444446,0.4,0.07999999999999999,0.11711711711711714
Pdfact,235.tar_1612.00332.gz_wavefiltering3_black.pdf,13,section,0.0,0.0,0.0,0.15217391304347827
Pdfact,240.tar_1612.02176.gz_Weyl_TI_final_black.pdf,4,section,0.0,0.0,0.0,0.125984251968504
PdfAct,239.tar_1612.01843.gz_HESS2_AGN_black.pdf,8,section,0.0,0.0,0.0,0.0
Pdfact,251.tar_1612.07216.gz_paperEssHist_black.pdf,30,section,0.0,0.0,0.0,0.04166666666666671
Pdfact,238.tar_1612.01551.gz_jetNNwriteup_black.pdf,9,section,1.0,1.0,1.0,1.0
Pdfact,253.tar_1612.08027.gz_paper_black.pdf,3,section,0.0,0.0,0.0,0.11214953271028037
Pdfact,253.tar_1612.07900.gz_articleSSP_black.pdf,0,section,0.06666666666666667,0.5,0.11764705882352941,0.2616822429906541
PdfAct,255.tar_1612.08758.gz_RepnTTSB_black.pdf,0,section,0.0,0.0,0.0,0.0
PdfAct,247.tar_1612.05188.gz_JTN_DMB_arxiv_black.pdf,19,section,0.0,0.0,0.0,0.0
PdfAct,239.tar_1612.01796.gz_th-summary-greco_black.pdf,2,section,0.0,0.0,0.0,0.0
Pdfact,239.tar_1612.01657.gz_arxiv_black.pdf,6,section,0.5588235294117647,0.5588235294117647,0.5588235294117647,0.5567010309278351
PdfAct,239.tar_1612.01655.gz_aaai2017_ID_2329_black.pdf,1,section,0.0,0.0,0.0,0.0
PdfAct,239.tar_1612.01746.gz_main_black.pdf,1,section,0.0,0.0,0.0,0.0
Pdfact,255.tar_1612.08774.gz_jrl_2_2013_degenerate_black.pdf,6,section,0.0,0.0,0.0,0.09523809523809518
Pdfact,237.tar_1612.01146.gz_squares_black.pdf,22,section,0.03225806451612903,0.18181818181818182,0.0547945205479452,0.24
Pdfact,248.tar_1612.05638.gz_DMDecay_black.pdf,22,section,0.0,0.0,0.0,0.07042253521126768
Pdfact,250.tar_1612.06585.gz_main_black.pdf,1,section,0.0,0.0,0.0,0.13793103448275856
PdfAct,240.tar_1612.02343.gz_paper_v11_black.pdf,4,section,0.0,0.0,0.0,0.0
Pdfact,249.tar_1612.06058.gz_MAPFinal_black.pdf,41,section,0.0,0.0,0.0,0.1955990220048899
Pdfact,247.tar_1612.05233.gz_kys-DEC24_black.pdf,2,section,0.0,0.0,0.0,0.14400000000000004
PdfAct,248.tar_1612.05454.gz_Kuznetsov_CondMat_black.pdf,12,section,0.0,0.0,0.0,0.0
Pdfact,240.tar_1612.02116.gz_iffl_black.pdf,1,section,0.0,0.0,0.0,0.12987012987012989
Pdfact,255.tar_1612.08695.gz_Final-resubmit_black.pdf,62,section,0.0,0.0,0.0,0.3
Pdfact,250.tar_1612.06551.gz_filterbubble_black.pdf,0,section,0.045454545454545456,0.5,0.08333333333333334,0.10752688172043008
Pdfact,238.tar_1612.01565.gz_Arxiv_paper1_black.pdf,20,section,0.3055555555555556,0.7857142857142857,0.43999999999999995,0.4602739726027397
PdfAct,238.tar_1612.01282.gz_TCOM_ChainedMIMO_revised_v2_onecol_black.pdf,28,section,0.0,0.0,0.0,0.0
PdfAct,252.tar_1612.07303.gz_emotion_display_molitum_black.pdf,1,section,0.0,0.0,0.0,0.0
Pdfact,251.tar_1612.07133.gz_KLV_black.pdf,9,section,0.0,0.0,0.0,0.14147909967845662
PdfAct,239.tar_1612.01845.gz_Revisions_v9_black.pdf,17,section,0.0,0.0,0.0,0.0
PdfAct,254.tar_1612.08275.gz_ms_black.pdf,1,section,0.0,0.0,0.0,0.0
Pdfact,255.tar_1612.08704.gz_lno3-4-16-17_black.pdf,8,section,0.0,0.0,0.0,0.15151515151515155
Pdfact,252.tar_1612.07671.gz_Paper_v4_black.pdf,1,section,0.06382978723404255,0.3,0.10526315789473684,0.34666666666666673
Pdfact,238.tar_1612.01443.gz_nsi_black.pdf,12,section,1.0,1.0,1.0,1.0
Pdfact,237.tar_1612.00758.gz_zelina2016apj_rev1_black.pdf,8,section,0.9,0.9,0.9,0.9908256880733946
Pdfact,238.tar_1612.01400.gz_arxiv_black.pdf,2,section,0.0,0.0,0.0,0.1851851851851852
PdfAct,236.tar_1612.00463.gz_chaos-y.arXiv_black.pdf,3,section,0.0,0.0,0.0,0.0
PdfAct,255.tar_1612.08636.gz_LB5_black.pdf,1,section,0.0,0.0,0.0,0.0
Pdfact,253.tar_1612.07790.gz_Draft_revision_black.pdf,11,section,0.0,0.0,0.0,0.09523809523809518
PdfAct,237.tar_1612.01148.gz_edgar-last-version_black.pdf,4,section,0.0,0.0,0.0,0.0
Pdfact,240.tar_1612.02409.gz_ProbeDisplacementV07_black.pdf,8,section,0.0,0.0,0.0,0.3076923076923077
Pdfact,250.tar_1612.06671.gz_berggren2015inferring_black.pdf,4,section,0.0,0.0,0.0,0.058823529411764636
Pdfact,249.tar_1612.06193.gz_maths-7_black.pdf,27,section,0.0,0.0,0.0,0.0334728033472804
PdfAct,252.tar_1612.07300.gz_excitedICDec19_black.pdf,5,section,0.0,0.0,0.0,0.0
Pdfact,249.tar_1612.06282.gz_dwarfsandverlinde_black.pdf,5,section,0.8,0.8,0.8000000000000002,0.9384615384615383
PdfAct,250.tar_1612.06352.gz_relCYcom_arXiv_Dec19_black.pdf,68,section,0.0,0.0,0.0,0.0
Pdfact,238.tar_1612.01344.gz_Ardentov_black.pdf,12,section,0.5,0.5,0.5,0.675
Pdfact,252.tar_1612.07487.gz_raw_black.pdf,1,section,0.0,0.0,0.0,0.20634920634920634
Pdfact,236.tar_1612.00652.gz_GW-An-orbifold20161202_black.pdf,3,section,0.0,0.0,0.0,0.11904761904761899
Pdfact,252.tar_1612.07665.gz_CGRarxiv_black.pdf,20,section,0.0,0.0,0.0,0.06896551724137936
Pdfact,251.tar_1612.07152.gz_rel-ent-steering-paper_black.pdf,17,section,0.0,0.0,0.0,0.0966183574879227
PdfAct,239.tar_1612.01789.gz_QuantumNewton_Arxiv_black.pdf,10,section,0.0,0.0,0.0,0.0
PdfAct,251.tar_1612.06864.gz_DynamicSDW_black.pdf,3,section,0.0,0.0,0.0,0.0
Pdfact,238.tar_1612.01173.gz_GaNpaper-n_black.pdf,5,section,0.0,0.0,0.0,0.1967213114754098
PdfAct,237.tar_1612.00919.gz_A_Group_of_IFE_Space_black.pdf,24,section,0.0,0.0,0.0,0.0
Pdfact,253.tar_1612.07791.gz_main_black.pdf,29,section,0.0,0.0,0.0,0.21212121212121218
Pdfact,236.tar_1612.00498.gz_paper-v1.00_black.pdf,3,section,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.6753246753246753
Pdfact,237.tar_1612.00763.gz_explosionsarXiv_black.pdf,0,section,0.0,0.0,0.0,0.06060606060606062
Pdfact,252.tar_1612.07251.gz_source_black.pdf,29,section,0.0,0.0,0.0,0.15165876777251186
Pdfact,249.tar_1612.06193.gz_maths-7_black.pdf,0,section,0.005917159763313609,0.5,0.011695906432748537,0.02348993288590606
Pdfact,251.tar_1612.07085.gz_kyy-sept_20_black.pdf,18,section,0.02666666666666667,1.3333333333333333,0.05228758169934641,0.03723404255319153
Pdfact,248.tar_1612.05469.gz_trspt-JSP-revised_black.pdf,27,section,0.0,0.0,0.0,0.29824561403508765
Pdfact,251.tar_1612.06965.gz_ABFGS_black.pdf,0,section,0.0,0.0,0.0,0.152542372881356
PdfAct,252.tar_1612.07599.gz_GWB_PCusps_black.pdf,1,section,0.0,0.0,0.0,0.0
Pdfact,238.tar_1612.01314.gz_Fabrication_Ice-templated_tubes_black.pdf,15,section,1.0,1.0,1.0,1.0
Pdfact,237.tar_1612.00899.gz_ihQCD-Gursoy_black.pdf,10,section,1.0,1.0,1.0,1.0
Pdfact,254.tar_1612.08217.gz_cocycle-final-6_black.pdf,17,section,0.0390625,0.45454545454545453,0.07194244604316546,0.1275440976933514
PdfAct,249.tar_1612.06287.gz_main_lva2017_gaultier_black.pdf,6,section,0.0,0.0,0.0,0.0
Pdfact,240.tar_1612.02162.gz_smooth_block_black.pdf,8,section,0.014084507042253521,0.14285714285714285,0.025641025641025637,0.12406947890818856
Pdfact,239.tar_1612.01936.gz_nips_2016_black.pdf,0,section,0.14285714285714285,0.5,0.22222222222222224,0.3544303797468355
PdfAct,252.tar_1612.07617.gz_ArminGranularInterface_black.pdf,9,section,0.0,0.0,0.0,0.0
Pdfact,254.tar_1612.08159.gz_zc_triangleNEW_black.pdf,8,section,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9879518072289157
Pdfact,247.tar_1612.05329.gz_doc_black.pdf,2,section,0.09090909090909091,0.75,0.16216216216216214,0.29629629629629634
PdfAct,240.tar_1612.02298.gz_SoriaComas_DomingoFerrer_Sanchez_Megias_iDP-final_black.pdf,21,section,0.0,0.0,0.0,0.0
Pdfact,238.tar_1612.01186.gz_asil16_black.pdf,3,section,0.0,0.0,0.0,0.07058823529411767
Pdfact,238.tar_1612.01565.gz_Arxiv_paper1_black.pdf,83,section,0.030303030303030304,0.42857142857142855,0.056603773584905655,0.04507710557532619
Pdfact,240.tar_1612.02372.gz_main_black.pdf,0,section,0.07692307692307693,0.5,0.13333333333333336,0.34090909090909094
PdfAct,240.tar_1612.02409.gz_ProbeDisplacementV07_black.pdf,6,section,0.0,0.0,0.0,0.0
Pdfact,248.tar_1612.05481.gz_pparticle2_black.pdf,22,section,0.0,0.0,0.0,0.07246376811594203
Pdfact,238.tar_1612.01529.gz_MW_sat_kinematics_black.pdf,2,section,0.0,0.0,0.0,0.6285714285714286
Pdfact,237.tar_1612.00885.gz_master_black.pdf,5,section,0.7,0.7,0.7,0.65
PdfAct,239.tar_1612.01973.gz_draft_black.pdf,11,section,0.0,0.0,0.0,0.0
Pdfact,247.tar_1612.05243.gz_main1_black.pdf,48,section,0.0,0.0,0.0,0.13675213675213668
Pdfact,253.tar_1612.07925.gz_single-file_black.pdf,19,section,0.07142857142857142,1.0,0.13333333333333333,0.1707317073170732
Pdfact,240.tar_1612.02173.gz_KIDS_coop_final_black.pdf,4,section,0.75,0.75,0.75,0.9556962025316456
Pdfact,249.tar_1612.05844.gz_Utility_of_Prediction_v7_black.pdf,15,section,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8202764976958525
Pdfact,238.tar_1612.01508.gz_LinearQuadraticFormsNov2016arXiv_black.pdf,13,section,0.0,0.0,0.0,0.21686746987951808
Pdfact,251.tar_1612.06822.gz_photon_source_12_20_16_black.pdf,7,section,0.25,0.25,0.25,0.8064516129032258
Pdfact,254.tar_1612.08239.gz_paper_cktsim_gates_black.pdf,0,section,0.0,0.0,0.0,0.059880239520958015
PdfAct,238.tar_1612.01470.gz_AssafMeersonReview_arxiv_revised1_black.pdf,39,section,0.0,0.0,0.0,0.0
Pdfact,251.tar_1612.06947.gz_izmailov_et_al_black.pdf,0,section,0.0,0.0,0.0,0.06593406593406598
Pdfact,235.tar_1612.00068.gz_Smooth_Paper_black.pdf,35,section,0.0410958904109589,0.75,0.07792207792207792,0.08917197452229303
PdfAct,252.tar_1612.07256.gz_noneqlooping_black.pdf,13,section,0.0,0.0,0.0,0.0
PdfAct,239.tar_1612.01981.gz_IJCNN_arxiv_black.pdf,5,section,0.0,0.0,0.0,0.0
PdfAct,250.tar_1612.06552.gz_lagged_v11_black.pdf,13,section,0.0,0.0,0.0,0.0
