Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
PdfAct,81.tar_1406.7825.gz_paper_black.pdf,22,table,0,0,0,0
PdfAct,69.tar_1406.0670.gz_ham20_black.pdf,58,table,0,0,0,0
PdfAct,80.tar_1406.7591.gz_a_black.pdf,7,table,0,0,0,0
PdfAct,75.tar_1406.4312.gz_jmc_kmi_2014_black.pdf,13,table,0,0,0,0
PdfAct,70.tar_1406.1524.gz_paper8_black.pdf,11,table,0,0,0,0
PdfAct,77.tar_1406.5673.gz_NR-from-LQCD-Draft-v.14_black.pdf,11,table,0,0,0,0
PdfAct,69.tar_1406.1181.gz_LightDM_update_black.pdf,2,table,0,0,0,0
PdfAct,73.tar_1406.3541.gz_ppg170v1_black.pdf,11,table,0,0,0,0
PdfAct,68.tar_1406.0148.gz_chromosomes_black.pdf,2,table,0,0,0,0
PdfAct,68.tar_1406.0055.gz_2014-05-27-AFPV_black.pdf,2,table,0,0,0,0
PdfAct,74.tar_1406.4076.gz_TNS_black.pdf,3,table,0,0,0,0
PdfAct,69.tar_1406.0663.gz_article_black.pdf,2,table,0,0,0,0
PdfAct,73.tar_1406.3647.gz_BerrettCalder_20151117_arxiv_black.pdf,20,table,0,0,0,0
PdfAct,80.tar_1406.7042.gz_jnl-2014-tap-fdtd_black.pdf,6,table,0,0,0,0
PdfAct,76.tar_1406.4832.gz_evolution_mg3_black.pdf,3,table,0,0,0,0
PdfAct,69.tar_1406.1007.gz_alphavar_fin_3_black.pdf,3,table,0,0,0,0
PdfAct,78.tar_1406.5862.gz_IUCrJ-Klimm-arXiv_black.pdf,14,table,0,0,0,0
PdfAct,80.tar_1406.7203.gz_StrangenessPositive_black.pdf,11,table,0,0,0,0
PdfAct,72.tar_1406.2989.gz_stochastic_black.pdf,8,table,0,0,0,0
PdfAct,73.tar_1406.3496.gz_paper_black.pdf,19,table,0,0,0,0
PdfAct,70.tar_1406.1419.gz_NPGearthIII_black.pdf,11,table,0,0,0,0
PdfAct,74.tar_1406.3859.gz_ThreeFieldPaper_black.pdf,8,table,0,0,0,0
PdfAct,79.tar_1406.6972.gz_BICIv2_black.pdf,35,table,0,0,0,0
PdfAct,78.tar_1406.6317.gz_ceps_pre_resub_black.pdf,15,table,0,0,0,0
PdfAct,71.tar_1406.2320.gz_StellarHaloes_black.pdf,7,table,0,0,0,0
PdfAct,79.tar_1406.6595.gz_arxiv_black.pdf,20,table,0,0,0,0
PdfAct,69.tar_1406.1017.gz_Csernai_Wang_Csorgo_PRC-v6_black.pdf,4,table,0,0,0,0
PdfAct,73.tar_1406.3345.gz_Circinus_accepted_black.pdf,21,table,0,0,0,0
PdfAct,80.tar_1406.7470.gz_Co77paper9k_black.pdf,3,table,0,0,0,0
PdfAct,80.tar_1406.7042.gz_jnl-2014-tap-fdtd_black.pdf,10,table,0,0,0,0
PdfAct,76.tar_1406.4928.gz_paper-DMT_black.pdf,15,table,0,0,0,0
PdfAct,78.tar_1406.6065.gz_aimss_paper1_v7_black.pdf,5,table,0,0,0,0
PdfAct,79.tar_1406.7013.gz_1406.7013v2_black.pdf,3,table,0,0,0,0
PdfAct,81.tar_1406.7739.gz_XING-cernrep_black.pdf,9,table,0,0,0,0
PdfAct,79.tar_1406.6874.gz_ms1676_black.pdf,3,table,0,0,0,0
PdfAct,74.tar_1406.4159.gz_paper_black.pdf,9,table,0,0,0,0
PdfAct,78.tar_1406.6075.gz_OMK14_black.pdf,2,table,0,0,0,0
PdfAct,71.tar_1406.2198.gz_PSR-Observation-V2_black.pdf,3,table,0,0,0,0
PdfAct,71.tar_1406.1945.gz_turaev_genus_black.pdf,5,table,0,0,0,0
PdfAct,79.tar_1406.6956.gz_Minimax_functional_estimation_TIT_publish_black.pdf,4,table,0,0,0,0
PdfAct,73.tar_1406.3605.gz_DHN_minmax_black.pdf,25,table,0,0,0,0
PdfAct,71.tar_1406.2205.gz_ComparisonMultiplexCommunities_black.pdf,7,table,0,0,0,0
