Tool,ID,Page,Label,SpatialDist
Tika,25.tar_1402.6582.gz_Aspects_JMP_black.pdf,13,paragraph,0.22032640949554902
PyMuPDF,25.tar_1402.6582.gz_Aspects_JMP_black.pdf,13,paragraph,0.21720116618075808
Tika,16.tar_1402.1473.gz_partial_journal_black.pdf,30,paragraph,0.2999014778325123
PyMuPDF,16.tar_1402.1473.gz_partial_journal_black.pdf,30,paragraph,0.29604875172007084
Tika,19.tar_1402.2791.gz_prb_black.pdf,5,paragraph,0.40609033312895976
PyMuPDF,19.tar_1402.2791.gz_prb_black.pdf,5,paragraph,0.39778337531486146
Tika,22.tar_1402.4533.gz_nocf17_black.pdf,57,paragraph,0.3515332834704563
PyMuPDF,22.tar_1402.4533.gz_nocf17_black.pdf,57,paragraph,0.349088202456271
Tika,22.tar_1402.4668.gz_M33_black.pdf,20,paragraph,0.30353430353430355
PyMuPDF,22.tar_1402.4668.gz_M33_black.pdf,20,paragraph,0.30252682589131186
Tika,17.tar_1402.2261.gz_HCcombv2hal_black.pdf,43,paragraph,0.35075128952679974
PyMuPDF,17.tar_1402.2261.gz_HCcombv2hal_black.pdf,43,paragraph,0.34852546916890076
Tika,15.tar_1402.0984.gz_PseudoHCk_black.pdf,28,paragraph,0.3587245349867139
PyMuPDF,15.tar_1402.0984.gz_PseudoHCk_black.pdf,28,paragraph,0.35562086700955176
Tika,21.tar_1402.4154.gz_ggg_mfp_arxiv_black.pdf,3,paragraph,0.09902944563250529
PyMuPDF,21.tar_1402.4154.gz_ggg_mfp_arxiv_black.pdf,3,paragraph,0.0913050492014841
Tika,22.tar_1402.4975.gz_2nd_October_black.pdf,6,paragraph,0.00039093041438619024
PyMuPDF,22.tar_1402.4975.gz_2nd_October_black.pdf,6,paragraph,0.0003897875657766292
Tika,21.tar_1402.4271.gz_draft_black.pdf,10,paragraph,0.36195316754401885
PyMuPDF,21.tar_1402.4271.gz_draft_black.pdf,10,paragraph,0.36051346953534624
Tika,25.tar_1402.6643.gz_photoncode_black.pdf,17,paragraph,0.30659731727347395
PyMuPDF,25.tar_1402.6643.gz_photoncode_black.pdf,17,paragraph,0.29966887417218546
Tika,21.tar_1402.3830.gz_132-Integral-v1_black.pdf,1,paragraph,0.38745387453874536
PyMuPDF,21.tar_1402.3830.gz_132-Integral-v1_black.pdf,1,paragraph,0.382157926461724
Tika,16.tar_1402.1213.gz_Community_Detection_arXiv_black.pdf,20,paragraph,0.3910891089108911
PyMuPDF,16.tar_1402.1213.gz_Community_Detection_arXiv_black.pdf,20,paragraph,0.38891637803067786
Tika,22.tar_1402.4782.gz_atmohead_black.pdf,1,paragraph,0.5473792394655704
PyMuPDF,22.tar_1402.4782.gz_atmohead_black.pdf,1,paragraph,0.5399239543726236
Tika,21.tar_1402.4292.gz_RED-arXiv-final_black.pdf,0,paragraph,0.35189411227749884
PyMuPDF,21.tar_1402.4292.gz_RED-arXiv-final_black.pdf,0,paragraph,0.3507982909826849
Tika,15.tar_1402.1148.gz_LCMO18-FMI-manuscript-corrected-for-arxiv_black.pdf,5,paragraph,0.36576427473696654
PyMuPDF,15.tar_1402.1148.gz_LCMO18-FMI-manuscript-corrected-for-arxiv_black.pdf,5,paragraph,0.3618230314275774
Tika,23.tar_1402.5137.gz_SUN_15.02_black.pdf,39,paragraph,0.17120058034095023
PyMuPDF,23.tar_1402.5137.gz_SUN_15.02_black.pdf,39,paragraph,0.16984526808204392
Tika,25.tar_1402.6178.gz_skeletal_black.pdf,58,paragraph,0.36475158454303824
PyMuPDF,25.tar_1402.6178.gz_skeletal_black.pdf,58,paragraph,0.3664772727272727
Tika,16.tar_1402.1377.gz_SBMF-ENTCS_black.pdf,16,paragraph,0.32533112582781454
PyMuPDF,16.tar_1402.1377.gz_SBMF-ENTCS_black.pdf,16,paragraph,0.32420278004905967
Tika,25.tar_1402.6178.gz_skeletal_black.pdf,89,paragraph,0.35900700190961177
PyMuPDF,25.tar_1402.6178.gz_skeletal_black.pdf,89,paragraph,0.35645229087852043
Tika,17.tar_1402.1858.gz_Trans-IsotropyF_black.pdf,3,paragraph,0.3584041857423152
PyMuPDF,17.tar_1402.1858.gz_Trans-IsotropyF_black.pdf,3,paragraph,0.35822454308093993
Tika,15.tar_1402.1184.gz_gduchene_black.pdf,47,paragraph,0.02341343191620453
PyMuPDF,15.tar_1402.1184.gz_gduchene_black.pdf,47,paragraph,0.02341343191620453
Tika,25.tar_1402.6645.gz_Reals_black.pdf,58,paragraph,0.37952559300873906
PyMuPDF,25.tar_1402.6645.gz_Reals_black.pdf,58,paragraph,0.3798836242726517
Tika,17.tar_1402.1839.gz_paper_black.pdf,0,paragraph,0.34450963956412406
PyMuPDF,17.tar_1402.1839.gz_paper_black.pdf,0,paragraph,0.3468096809680968
Tika,18.tar_1402.2601.gz_SSCoSaMP_near_oracle_REVISION_Arxiv_black.pdf,1,paragraph,0.3946223803875049
PyMuPDF,18.tar_1402.2601.gz_SSCoSaMP_near_oracle_REVISION_Arxiv_black.pdf,1,paragraph,0.3931320307874482
Tika,24.tar_1402.5927.gz_Repeaters_ArXiv_v2_15_03_10_sb_black.pdf,29,paragraph,0.3318885448916409
PyMuPDF,24.tar_1402.5927.gz_Repeaters_ArXiv_v2_15_03_10_sb_black.pdf,29,paragraph,0.3306845965770171
Tika,24.tar_1402.6111.gz_classical_black.pdf,0,paragraph,0.8037429204629402
PyMuPDF,24.tar_1402.6111.gz_classical_black.pdf,0,paragraph,0.8108108108108109
Tika,23.tar_1402.5155.gz_Santos_arxiv_black.pdf,11,paragraph,0.3917787363613296
PyMuPDF,23.tar_1402.5155.gz_Santos_arxiv_black.pdf,11,paragraph,0.3908335431881138
Tika,24.tar_1402.5981.gz_LOS1final_edits__black.pdf,37,paragraph,0.3314585676790401
PyMuPDF,24.tar_1402.5981.gz_LOS1final_edits__black.pdf,37,paragraph,0.3281365998515218
Tika,21.tar_1402.3839.gz_finalmodenum_black.pdf,5,paragraph,0.3533796374724716
PyMuPDF,21.tar_1402.3839.gz_finalmodenum_black.pdf,5,paragraph,0.3623043623043623
Tika,21.tar_1402.4039.gz_sqmcArXiv_black.pdf,53,paragraph,0.30090131730991443
PyMuPDF,21.tar_1402.4039.gz_sqmcArXiv_black.pdf,53,paragraph,0.30104046242774574
Tika,25.tar_1402.6354.gz_complete_latex_black.pdf,39,paragraph,0.42304257219410535
PyMuPDF,25.tar_1402.6354.gz_complete_latex_black.pdf,39,paragraph,0.4225604297224709
Tika,19.tar_1402.2797.gz_arxiv_black.pdf,4,paragraph,0.35963948120466044
PyMuPDF,19.tar_1402.2797.gz_arxiv_black.pdf,4,paragraph,0.3585237258347979
Tika,19.tar_1402.2862.gz_Artigo_On_The_Structure_of_Lorenz_Maps_black.pdf,78,paragraph,0.027683615819208994
PyMuPDF,19.tar_1402.2862.gz_Artigo_On_The_Structure_of_Lorenz_Maps_black.pdf,78,paragraph,0.027714932126696824
Tika,20.tar_1402.3643.gz_Dynamic_Market_Making_black.pdf,52,paragraph,0.3285101822079314
PyMuPDF,20.tar_1402.3643.gz_Dynamic_Market_Making_black.pdf,52,paragraph,0.32923570283270975
Tika,19.tar_1402.2944.gz_Ikuta_NV_black.pdf,0,paragraph,0.2675253901411939
PyMuPDF,19.tar_1402.2944.gz_Ikuta_NV_black.pdf,0,paragraph,0.26604376690435216
Tika,19.tar_1402.2984.gz_decay4SSESF-150411_black.pdf,24,paragraph,0.3435795736241944
PyMuPDF,19.tar_1402.2984.gz_decay4SSESF-150411_black.pdf,24,paragraph,0.34251675353685784
Tika,21.tar_1402.4250.gz_resubmit-emd-2_black.pdf,24,paragraph,0.2576224734498116
PyMuPDF,21.tar_1402.4250.gz_resubmit-emd-2_black.pdf,24,paragraph,0.2564278368186493
Tika,18.tar_1402.2413.gz_chruscinski-topical-arxiv_black.pdf,25,paragraph,0.36037402072276975
PyMuPDF,18.tar_1402.2413.gz_chruscinski-topical-arxiv_black.pdf,25,paragraph,0.3628607277289837
Tika,14.tar_1402.0460.gz_2D_LMS_postreport_black.pdf,0,paragraph,0.35968124057721296
PyMuPDF,14.tar_1402.0460.gz_2D_LMS_postreport_black.pdf,0,paragraph,0.36167922497308935
Tika,15.tar_1402.1088.gz_IEEE_TCOM8_onecolumn_black.pdf,13,paragraph,0.3100222717149221
PyMuPDF,15.tar_1402.1088.gz_IEEE_TCOM8_onecolumn_black.pdf,13,paragraph,0.30509977827051005
Tika,18.tar_1402.2616.gz_calculdef_black.pdf,45,paragraph,0.35657653994714367
PyMuPDF,18.tar_1402.2616.gz_calculdef_black.pdf,45,paragraph,0.36111677195842673
Tika,25.tar_1402.6630.gz_AB_graphene_black.pdf,4,paragraph,0.3244992565380915
PyMuPDF,25.tar_1402.6630.gz_AB_graphene_black.pdf,4,paragraph,0.3185287994448299
Tika,19.tar_1402.2958.gz_2013-12-03_hysteresis_paper_black.pdf,1,paragraph,0.1629084215370456
PyMuPDF,19.tar_1402.2958.gz_2013-12-03_hysteresis_paper_black.pdf,1,paragraph,0.16032982134677057
Tika,14.tar_1402.0287.gz_hopfhopfvdpback_black.pdf,26,paragraph,0.004110996916752327
PyMuPDF,14.tar_1402.0287.gz_hopfhopfvdpback_black.pdf,26,paragraph,0.004166666666666714
Tika,16.tar_1402.1452.gz_bz_2014.2.1__black.pdf,35,paragraph,0.361411087113031
PyMuPDF,16.tar_1402.1452.gz_bz_2014.2.1__black.pdf,35,paragraph,0.3736951983298539
Tika,16.tar_1402.1519.gz_sphere_decoding_TSP_single_column_revision_v14_black.pdf,11,paragraph,0.33959899749373434
PyMuPDF,16.tar_1402.1519.gz_sphere_decoding_TSP_single_column_revision_v14_black.pdf,11,paragraph,0.33179155103299407
Tika,23.tar_1402.5166.gz_paper_black.pdf,11,paragraph,0.26577181208053685
PyMuPDF,23.tar_1402.5166.gz_paper_black.pdf,11,paragraph,0.2633413783856261
Tika,15.tar_1402.0846.gz_ms_black.pdf,12,paragraph,0.0009456264775413104
PyMuPDF,15.tar_1402.0846.gz_ms_black.pdf,12,paragraph,0.0009594627008874568
Tika,19.tar_1402.2664.gz_dissol-jarxiv.nocomments_black.pdf,6,paragraph,0.3800120894620189
PyMuPDF,19.tar_1402.2664.gz_dissol-jarxiv.nocomments_black.pdf,6,paragraph,0.3798028565680949
Tika,20.tar_1402.3453.gz_Gradient_Einstein_type_CMRR_black.pdf,3,paragraph,0.41676278354479046
PyMuPDF,20.tar_1402.3453.gz_Gradient_Einstein_type_CMRR_black.pdf,3,paragraph,0.4143868375741343
Tika,24.tar_1402.5706.gz_SSDrevision1_black.pdf,12,paragraph,0.32953105196451205
PyMuPDF,24.tar_1402.5706.gz_SSDrevision1_black.pdf,12,paragraph,0.3287524540424772
Tika,22.tar_1402.4539.gz_scfs_arxiv_black.pdf,20,paragraph,0.088327039894927
PyMuPDF,22.tar_1402.4539.gz_scfs_arxiv_black.pdf,20,paragraph,0.09371745921555018
Tika,15.tar_1402.0861.gz_davis-orrison-su-arxiv_black.pdf,7,paragraph,0.37238076232288964
PyMuPDF,15.tar_1402.0861.gz_davis-orrison-su-arxiv_black.pdf,7,paragraph,0.37076861808044603
Tika,23.tar_1402.5306.gz_linearquadratic_black.pdf,9,paragraph,0.429769392033543
PyMuPDF,23.tar_1402.5306.gz_linearquadratic_black.pdf,9,paragraph,0.42582532386126204
Tika,21.tar_1402.4512.gz_SOSLASSO_NR3_black.pdf,3,paragraph,0.35044977511244385
PyMuPDF,21.tar_1402.4512.gz_SOSLASSO_NR3_black.pdf,3,paragraph,0.3451159255036107
Tika,19.tar_1402.2652.gz_Z2FTI_black.pdf,10,paragraph,0.38425449136056755
PyMuPDF,19.tar_1402.2652.gz_Z2FTI_black.pdf,10,paragraph,0.3843083589919033
Tika,15.tar_1402.0820.gz_lifshitzquasi4_black.pdf,10,paragraph,0.33997509339975096
PyMuPDF,15.tar_1402.0820.gz_lifshitzquasi4_black.pdf,10,paragraph,0.34058421379738973
Tika,24.tar_1402.6103.gz_higgs_mpla_black.pdf,7,paragraph,0.3965860597439545
PyMuPDF,24.tar_1402.6103.gz_higgs_mpla_black.pdf,7,paragraph,0.3955669224211424
Tika,21.tar_1402.4335.gz_resubmit4_black.pdf,8,paragraph,0.41355932203389834
PyMuPDF,21.tar_1402.4335.gz_resubmit4_black.pdf,8,paragraph,0.41128582580573214
Tika,23.tar_1402.5105.gz_cayley3_black.pdf,17,paragraph,0.33648208469055374
PyMuPDF,23.tar_1402.5105.gz_cayley3_black.pdf,17,paragraph,0.33598183881952326
Tika,21.tar_1402.4294.gz_heusener-MathSlovaca-revision_black.pdf,12,paragraph,0.35019945412555115
PyMuPDF,21.tar_1402.4294.gz_heusener-MathSlovaca-revision_black.pdf,12,paragraph,0.35104602510460253
Tika,20.tar_1402.3760.gz_3d_black.pdf,5,paragraph,0.0003478865889719884
PyMuPDF,20.tar_1402.3760.gz_3d_black.pdf,5,paragraph,0.0003533568904593665
Tika,21.tar_1402.4495.gz_LQ_black.pdf,5,paragraph,0.3805326690936961
PyMuPDF,21.tar_1402.4495.gz_LQ_black.pdf,5,paragraph,0.3766010323073982
Tika,21.tar_1402.4069.gz_Application_of_the_Ring_Theory_in_the_Segmentation_of_Digital_Images_black.pdf,7,paragraph,0.3583189972966331
PyMuPDF,21.tar_1402.4069.gz_Application_of_the_Ring_Theory_in_the_Segmentation_of_Digital_Images_black.pdf,7,paragraph,0.3587356040186229
Tika,15.tar_1402.0604.gz_resolve_black.pdf,9,paragraph,0.36314655172413796
PyMuPDF,15.tar_1402.0604.gz_resolve_black.pdf,9,paragraph,0.3605333333333334
Tika,21.tar_1402.3899.gz_manuscriptCASTELNOVO_black.pdf,5,paragraph,0.292063492063492
PyMuPDF,21.tar_1402.3899.gz_manuscriptCASTELNOVO_black.pdf,5,paragraph,0.2856316854582249
Tika,24.tar_1402.6031.gz_main_black.pdf,8,paragraph,0.22279020234291808
PyMuPDF,24.tar_1402.6031.gz_main_black.pdf,8,paragraph,0.22165820642978004
Tika,15.tar_1402.0904.gz_noc-Isotropic-M_black.pdf,3,paragraph,0.3518350015165302
PyMuPDF,15.tar_1402.0904.gz_noc-Isotropic-M_black.pdf,3,paragraph,0.3506187389510902
Tika,20.tar_1402.3454.gz_fh6_black.pdf,8,paragraph,0.1831896551724138
PyMuPDF,20.tar_1402.3454.gz_fh6_black.pdf,8,paragraph,0.1854636591478696
Tika,17.tar_1402.2026.gz_MultipleKernelonArxiv_black.pdf,10,paragraph,0.8353242320819112
PyMuPDF,17.tar_1402.2026.gz_MultipleKernelonArxiv_black.pdf,10,paragraph,0.8463497453310695
Tika,19.tar_1402.2889.gz_demekhin_black.pdf,9,paragraph,0.38796807857581334
PyMuPDF,19.tar_1402.2889.gz_demekhin_black.pdf,9,paragraph,0.38745387453874536
