Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
CAMELOT,145.tar_1608.00862.gz_On_the_relationship_between_the_Collatz_conjecture_and_Mersenne_prime_numbers_black_subset_23,23,table,0,0,0,0.032294617563739365
CAMELOT,146.tar_1608.01079.gz_journal_black_subset_1,1,table,0,0,0,0.14646927813441635
CAMELOT,154.tar_1608.04761.gz_manuscript_black_subset_13,13,table,0,0,0,0.08126137052759247
CAMELOT,144.tar_1608.00138.gz_heterogeneous_strategy_particle_swarm_optimization_by_YG_black_subset_1,1,table,0,0,0,0.13010540184453234
CAMELOT,156.tar_1608.05288.gz_DPonGPU-Revised_black_subset_31,31,table,0,0,0,0.7712717291857274
CAMELOT,148.tar_1608.01726.gz_jerome_nn_optimal_control_black_subset_2,2,table,0,0,0,0.7092960773777538
CAMELOT,151.tar_1608.03491.gz_pathavi_black_subset_18,18,table,0,0,0,0.23070017953321367
CAMELOT,159.tar_1608.06938.gz_paper_black_subset_9,9,table,0,0,0,0.10112359550561792
CAMELOT,159.tar_1608.06805.gz_multilevel_draft_04302017_black_subset_22,22,table,0,0,0,0.07383367139959432
CAMELOT,154.tar_1608.04683.gz_hybridFXIR_black_subset_34,34,table,0,0,0,0.439413620337725
CAMELOT,163.tar_1608.08640.gz_glmpr-V2_black_subset_17,17,table,0,0,0,0.48648648648648646
CAMELOT,146.tar_1608.01039.gz_tmodel_black_subset_4,4,table,0,0,0,0.4682639764606978
CAMELOT,152.tar_1608.03803.gz_main_black_subset_7,7,table,0,0,0,0.04472156525478397
CAMELOT,160.tar_1608.07186.gz_MatchingMerged_black_subset_29,29,table,0,0,0,0.3642702971940894
CAMELOT,163.tar_1608.08467.gz_sr3ir2o7_arxiv_v2_black_subset_3,3,table,0,0,0,0.10263108788953161
CAMELOT,154.tar_1608.04601.gz_main_black_subset_3,3,table,0,0,0,0.41103202846975084
CAMELOT,152.tar_1608.03991.gz_BNPseq_v12_arXiv_black_subset_40,40,table,0,0,0,0.6365821094793058
CAMELOT,147.tar_1608.01549.gz_MN161117MJ_DR_Kepler_dasChagas_MNRAS_08_08_2016_Final_Revision_black_subset_5,5,table,0,0,0,0.38511884257664486
CAMELOT,151.tar_1608.03566.gz_manuscript_arxiv_black_subset_20,20,table,0,0,0,0.36211699164345407
CAMELOT,156.tar_1608.05606.gz_MIPS_Leyrat_black_subset_46,46,table,0,0,0,0.8806299212598425
CAMELOT,148.tar_1608.01749.gz_dSph_black_subset_4,4,table,0,0,0,0.04636054923962789
CAMELOT,157.tar_1608.06140.gz_D_B_black_subset_10,10,table,0,0,0,0.15159474671669798
CAMELOT,162.tar_1608.08068.gz_frag_black_subset_16,16,table,0,0,0,0.34636871508379885
CAMELOT,144.tar_1608.00304.gz_FinalVersion_black_subset_5,5,table,0,0,0,0.15458358298382266
CAMELOT,156.tar_1608.05390.gz_expanding_search_on_general_networks_ARXIV_black_subset_10,10,table,0,0,0,0.22388717496694582
CAMELOT,147.tar_1608.01675.gz_arxiv_black_subset_16,16,table,0,0,0,0.2362821948488242
CAMELOT,156.tar_1608.05606.gz_MIPS_Leyrat_black_subset_41,41,table,0,0,0,0.8838383838383838
