Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
CERMINE,44.tar_1404.2518.gz_gemini_fluct_v5_black.pdf,5,reference,0.8898008902461029,0.9184511678477083,0.7078973832561104,0.7837549926656266
CERMINE,41.tar_1404.0216.gz_quant120614_black.pdf,11,reference,0.7105335798270295,0.7214330728343885,0.7400304398044238,0.8677300833205764
CERMINE,52.tar_1404.7087.gz_vortex_dynamics_black.pdf,7,reference,0.8000083983278463,0.6026644234501984,0.7200284214654032,0.7950837118722484
CERMINE,48.tar_1404.4780.gz_asrc_tsmc_black.pdf,9,reference,0.9724779318009793,0.6548809404345013,0.706516447098318,0.8689845275465538
CERMINE,48.tar_1404.4530.gz_gamma_p_cross_section_11_black.pdf,16,reference,0.9989119540098972,0.6195583821907811,0.7120604957637582,0.7324918767203701
CERMINE,46.tar_1404.3378.gz_HardnessDNF_black.pdf,14,reference,0.9077116308009651,0.8396643318252436,0.7407965902012106,0.820623494076349
CERMINE,43.tar_1404.1780.gz_Metamirrors_black.pdf,2,reference,0.9233854195962676,0.6396605734231353,0.7921600003309349,0.7655141837747609
CERMINE,47.tar_1404.4011.gz_regularity-near-field-refractor_black.pdf,34,reference,0.8293880842300401,0.8550656871186262,0.7569865443090306,0.7271781832419699
CERMINE,42.tar_1404.1118.gz_awthomas_black.pdf,5,reference,0.722415001264725,0.842136384467102,0.7003272792024606,0.8536027825485819
CERMINE,53.tar_1404.7629.gz_LVpionref_black.pdf,10,reference,0.8921100859390712,0.961483507101602,0.7681647550864853,0.8064533772839735
CERMINE,41.tar_1404.0214.gz_ArbitraryTopologyH2xRv7_black.pdf,35,reference,0.7764074037422435,0.8001506754578931,0.7882179031376209,0.7863760090437385
CERMINE,52.tar_1404.7227.gz_main_black.pdf,16,reference,0.7010951374036667,0.9427504214330622,0.7017033958583982,0.7512388474550215
CERMINE,53.tar_1404.7828.gz_DeepLearning8Oct2014_black.pdf,82,reference,0.9152732257579594,0.9121583936159123,0.790027698436941,0.7278130757230844
CERMINE,43.tar_1404.1263.gz_main_black.pdf,22,reference,0.9027287944259964,0.8403274735272882,0.720881697950939,0.8470315614007065
CERMINE,52.tar_1404.7110.gz_Q_metrology_without_entanglement_black.pdf,6,reference,0.8605926665631898,0.9547726792331395,0.7798457364609837,0.880389001432857
CERMINE,42.tar_1404.1115.gz_PontLocSym_black.pdf,40,reference,0.9795780298190815,0.9179941234007722,0.7387171617512458,0.7833022250570544
CERMINE,48.tar_1404.4317.gz_PecletV50_black.pdf,8,reference,0.9781267088844882,0.8152833121839143,0.7228209719568554,0.7063092436062676
CERMINE,53.tar_1404.7797.gz_EED_collisions_HAL_v2_black.pdf,6,reference,0.881405131495109,0.6463188865669331,0.7148868942213409,0.8956078547451749
CERMINE,52.tar_1404.7027.gz_GodeauxFamilyFromDelPezzo_arxiv_v1_black.pdf,12,reference,0.8111972376145431,0.6620920896764217,0.7780071023695592,0.8121393318036024
CERMINE,49.tar_1404.5242.gz_gaudianoarchiv_black.pdf,5,reference,0.7324462776558198,0.895503721064767,0.7346294563917283,0.8938856111605217
CERMINE,41.tar_1404.0166.gz_martins_chapI_black.pdf,33,reference,0.9441543237339947,0.9559278610715489,0.7737824031974314,0.7310593404864812
CERMINE,42.tar_1404.0760.gz_InfoInequality_black.pdf,7,reference,0.948329603790445,0.9414195456629015,0.7465561439310624,0.7183782075472036
CERMINE,52.tar_1404.7227.gz_main_black.pdf,18,reference,0.7821432980738093,0.6423902605213302,0.7173780609906552,0.834870803902648
CERMINE,52.tar_1404.7108.gz_main_black.pdf,21,reference,0.8483042438220929,0.7187394228836717,0.771560788188772,0.7850808149354994
CERMINE,42.tar_1404.0802.gz_sp_surface_V6h_black.pdf,11,reference,0.9576082847197035,0.816082420851716,0.7339459333081378,0.7776679316641336
CERMINE,47.tar_1404.4164.gz_manuscript_black.pdf,8,reference,0.8026513111015172,0.91124962235014,0.7626302347909263,0.7153795596181026
CERMINE,43.tar_1404.1734.gz_isometric-rigidity-rev_black.pdf,20,reference,0.8523142799969363,0.7389846125697905,0.7759116980360031,0.8620361597425339
CERMINE,52.tar_1404.7216.gz_adamstide_black.pdf,19,reference,0.9114285054343331,0.9488412451247039,0.7922432489158355,0.7345577467096774
CERMINE,49.tar_1404.5365.gz_Volume_and_rigidity_of_polyhedral_3-manifold_black.pdf,28,reference,0.727082211661557,0.7164275274800226,0.7973192838579606,0.7039928534522958
CERMINE,52.tar_1404.7067.gz_dyntpn_black.pdf,15,reference,0.7693927613347717,0.9826711753844459,0.7785165455921526,0.8888090034287489
CERMINE,52.tar_1404.7306.gz_IRNN_black.pdf,8,reference,0.8274579545437628,0.9242365867150505,0.7079818177044774,0.7523752881398804
CERMINE,43.tar_1404.1291.gz_GenSurf_black.pdf,38,reference,0.8250957908205265,0.7938195339625248,0.7952362386035854,0.8645833852415827
CERMINE,47.tar_1404.4183.gz_irrstab3olgav5-1_black.pdf,16,reference,0.7444768155991437,0.6316531492579586,0.7515687191119567,0.8795037012471029
CERMINE,43.tar_1404.1798.gz_FluxPaperArxiv_black.pdf,12,reference,0.9247390305757502,0.9409789412594978,0.7102098514897077,0.8405134818301434
CERMINE,44.tar_1404.2326.gz_manuscript_black.pdf,9,reference,0.9548439019104237,0.6214021851311159,0.7598288493505809,0.8661022943019306
CERMINE,50.tar_1404.5969.gz_Pal4_submitted_final_black.pdf,12,reference,0.7458549555365365,0.7634068304489859,0.7622340875514892,0.7064169950106522
CERMINE,52.tar_1404.7416.gz_5_black.pdf,12,reference,0.9104235855591886,0.7960305874583942,0.7059776283315041,0.7443774825980527
CERMINE,42.tar_1404.1043.gz_CurApp2303_5_black.pdf,33,reference,0.7242325877173034,0.6597201892258215,0.7710223316751765,0.8323383781086313
CERMINE,42.tar_1404.1171.gz_sym-breaking-k-spectrum_black.pdf,48,reference,0.701690838816842,0.9894321459607116,0.7536701577435644,0.8814554941341972
CERMINE,42.tar_1404.0962.gz_RademacherRevision6_black.pdf,45,reference,0.8490285587841427,0.7749267295750408,0.7049826599164027,0.8136931532969998
CERMINE,42.tar_1404.1105.gz_entropyminimalsurfaces__Andy_s_conflicted_copy_2014-04-02__black.pdf,41,reference,0.7827925483553456,0.861954766743688,0.7640277848811909,0.7741003717119745
CERMINE,53.tar_1404.7641.gz_ammp_black.pdf,28,reference,0.8802365365960401,0.783414209719193,0.7605781152444412,0.8010801878889082
CERMINE,49.tar_1404.5097.gz_binary-regression-BA_black.pdf,24,reference,0.8092699701782124,0.8481520629735726,0.7020594739323349,0.7215018430074214
CERMINE,51.tar_1404.6411.gz_IME1831_black.pdf,24,reference,0.7894266607090275,0.9348430814634604,0.7555662913434448,0.7416516853169527
CERMINE,44.tar_1404.2224.gz_icmarxiv_black.pdf,28,reference,0.7865330009620326,0.6711620894080875,0.7252156918233442,0.8932354186639209
CERMINE,50.tar_1404.6117.gz_t3_reid_ratcliffe_ms1742_black.pdf,27,reference,0.9807590298637847,0.6100055625521764,0.785814781556714,0.7754788742290183
CERMINE,41.tar_1404.0015.gz_bacterial_growth_arxiv_v2_black.pdf,6,reference,0.8604677552052395,0.853727942928153,0.7963515639084713,0.8052585927326732
CERMINE,43.tar_1404.1854.gz_Full_article_black.pdf,47,reference,0.8661127185389154,0.7292114577926258,0.7880297219088375,0.8694542493979501
CERMINE,44.tar_1404.2348.gz_flexauc-twc-arxiv_black.pdf,10,reference,0.8083539460265342,0.8660453655312202,0.7155797934528099,0.8527030412154698
CERMINE,49.tar_1404.5453.gz_main_black.pdf,17,reference,0.7871190920221439,0.9186227850936379,0.7438732602914565,0.8623372752171211
CERMINE,42.tar_1404.0749.gz_DPIE_arxiv_black.pdf,38,reference,0.9869708405177198,0.921778358928971,0.7660880663809972,0.8183960105835026
CERMINE,41.tar_1404.0178.gz_bose-fermi-duality.300314_black.pdf,15,reference,0.9677757204862666,0.9626539562663519,0.7253435463478083,0.7901562555257992
CERMINE,50.tar_1404.5628.gz_paper_black.pdf,14,reference,0.7199275026341844,0.9384371393282014,0.7150979507050534,0.7438541100167522
CERMINE,53.tar_1404.7737.gz_antiferromagnetism2_black.pdf,11,reference,0.7921853989416787,0.6491616186293462,0.7870452354597122,0.8121931110003826
CERMINE,50.tar_1404.5692.gz_COGENT_IEEE_tsp_SW2_black.pdf,12,reference,0.9272696948525877,0.7713953059269374,0.7039364225440816,0.764551092366808
CERMINE,41.tar_1404.0530.gz_elsarticle-template-1-num_black.pdf,23,reference,0.9546235380635767,0.6731514452361268,0.7478578223218934,0.8458632460019342
CERMINE,41.tar_1404.0380.gz_disc-relax_black.pdf,16,reference,0.8316239811996842,0.9947380676103657,0.7791537373615917,0.7987001442260412
CERMINE,41.tar_1404.0092.gz_paper_actual_black.pdf,15,reference,0.7684013821899918,0.720814151078822,0.7194601148078026,0.7462164663987176
CERMINE,45.tar_1404.2676.gz_manuscript_black.pdf,34,reference,0.7012358181902725,0.6314470292016049,0.79213097984883,0.8121213604015021
CERMINE,51.tar_1404.6570.gz_eagrArxiv_black.pdf,16,reference,0.7543629151422269,0.6982890316806191,0.7188509410015478,0.7733729305479652
CERMINE,51.tar_1404.6632.gz_atoms-major_black.pdf,6,reference,0.9853262660776141,0.8596946328045918,0.70588948672456,0.7580895600890626
CERMINE,50.tar_1404.5957.gz_ppr_black.pdf,20,reference,0.9377618221315983,0.9825321403712481,0.7470334738969312,0.896042682314827
CERMINE,47.tar_1404.4201.gz_Gkinisetal2013_rev1_arxiv_black.pdf,9,reference,0.9774350184900078,0.8986288770113751,0.7641017416594396,0.7096846543146077
CERMINE,49.tar_1404.5349.gz_FLL3_arxiv__black.pdf,25,reference,0.7489065644140583,0.6792628037901287,0.7044099366534238,0.856442865278322
CERMINE,46.tar_1404.3641.gz_brauermanin_black.pdf,11,reference,0.8467498851191391,0.6721482566340841,0.7582443739747562,0.8835153368685633
CERMINE,51.tar_1404.6768.gz_gmu13_arxiv_black.pdf,5,reference,0.8939849013563242,0.9906559411449298,0.7178285535609542,0.7765817738753829
CERMINE,43.tar_1404.1978.gz_ACC14-Detection-arXiv_black.pdf,6,reference,0.9390039380333661,0.7675060068120679,0.770772365215949,0.8821868785000813
CERMINE,42.tar_1404.1016.gz_overlaps_black.pdf,21,reference,0.9408115115731356,0.6776886321008431,0.7291391224936685,0.7368699647657481
CERMINE,46.tar_1404.3471.gz_netsu_black.pdf,4,reference,0.7308314119148339,0.7501406153424197,0.7901295720044562,0.7339632670796061
CERMINE,43.tar_1404.1330.gz_3state_1d_black.pdf,5,reference,0.9059059499788444,0.6866613929702958,0.7529368312131296,0.7915480383983756
CERMINE,51.tar_1404.6448.gz_Paper_black.pdf,15,reference,0.8630194968461351,0.7795981321805254,0.7832976561089527,0.8245062385634776
CERMINE,47.tar_1404.4178.gz_SpeedingUpMCMCarXiV_version3_black.pdf,30,reference,0.7725549432993063,0.8093678825917953,0.7514754948799938,0.7033137224374636
CERMINE,53.tar_1404.7828.gz_DeepLearning8Oct2014_black.pdf,66,reference,0.8550464647632684,0.7779131921201634,0.7696712668034247,0.8959758901899799
CERMINE,49.tar_1404.4973.gz_HatPuzzlesPaper_black.pdf,5,reference,0.8825071567350427,0.7728345000307443,0.7121378684083172,0.7272791012237245
CERMINE,48.tar_1404.4388.gz_Partially_Observed_Multiobjective_Markov_Games_black.pdf,28,reference,0.7107136385905789,0.6591310308342861,0.7422485230807947,0.8356007363993319
CERMINE,47.tar_1404.4057.gz_nuguts_black.pdf,11,reference,0.7853900170264391,0.9752120422388318,0.7515719588930997,0.8775444712153221
CERMINE,52.tar_1404.7232.gz_rainbow_black.pdf,18,reference,0.8826014143986245,0.9580125597032392,0.7612039562219447,0.7759806647762774
CERMINE,44.tar_1404.2168.gz_Fluctuation_of_Hubble_parameter_black.pdf,13,reference,0.9953627430172234,0.8375523607675396,0.7566993527331521,0.7067486306930315
CERMINE,45.tar_1404.2702.gz_GPDPDFd7b_black.pdf,9,reference,0.7969418235546257,0.9175357406973195,0.7318799404766484,0.7331865037870531
CERMINE,50.tar_1404.5919.gz_Approximating_C_0_foliations_black.pdf,49,reference,0.7686475726594921,0.8336749812660647,0.7278322761456479,0.7750943776571033
CERMINE,42.tar_1404.0968.gz_manuscriptCLMM_Revision1_black.pdf,16,reference,0.881254177315056,0.7485536773525684,0.7925208060754518,0.7070941162882347
CERMINE,50.tar_1404.5741.gz_LQMFG_revised_June4_black.pdf,29,reference,0.7774942060847164,0.797909497347496,0.7452500094057394,0.7554518624688463
CERMINE,43.tar_1404.1318.gz_SeibergFlavour7_black.pdf,23,reference,0.8855934779087049,0.7653727385477931,0.7942806040193781,0.877310276858596
