Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
GROBID,140.tar_1410.7373.gz_2014-01-31-192941_black.pdf,3,paragraph,0.9747337176392463,0.8933958629271261,0.9855266885323469,0.8114412674236113
GROBID,142.tar_1410.8407.gz_3DSkyrmion-toroidal-wall08_v2_black.pdf,2,paragraph,0.8398825838775957,0.8500524353644112,0.984700128200798,0.982831057904842
GROBID,131.tar_1410.2389.gz_TD_14_12_23_black.pdf,3,paragraph,0.8344330181424934,0.8352434280541963,0.9085723582640294,0.8264844236406663
GROBID,142.tar_1410.8483.gz_TEXT_black.pdf,1,paragraph,0.989147308251632,0.902852169970128,0.8362765722272094,0.8843008277591278
GROBID,134.tar_1410.4191.gz_Proptime12_black.pdf,12,paragraph,0.984145400450654,0.8933740383739415,0.8550625082301627,0.9076892353652835
GROBID,133.tar_1410.3421.gz_making_the_earth_astro-ph_black.pdf,7,paragraph,0.930936193432875,0.9182385284549468,0.9022426343439148,0.9078073839413692
GROBID,135.tar_1410.4800.gz_curvature18_black.pdf,36,paragraph,0.8224685839590556,0.965808371852177,0.8353615900261916,0.9212304806542565
GROBID,131.tar_1410.2312.gz_inverseSatake-arXiv141111_black.pdf,1,paragraph,0.8314633827238176,0.8894523274417873,0.8810996184368591,0.9049677469672028
GROBID,128.tar_1410.0946.gz_LMZ_Aug_10_2016_KL_black.pdf,24,paragraph,0.9794685002138431,0.8039343909821806,0.8433246158147037,0.9358651452256126
GROBID,139.tar_1410.6970.gz_ABWZ-NP_black.pdf,1,paragraph,0.8477925749673199,0.8061889419905823,0.9416417354606613,0.9555685804806915
GROBID,128.tar_1410.0708.gz_Semilinear_FEM_black.pdf,4,paragraph,0.8852653165600585,0.8472069319322714,0.851653457731308,0.8127858612147699
GROBID,135.tar_1410.4432.gz_giry_arxiv_final_black.pdf,14,paragraph,0.9440935122122333,0.9662155514728662,0.9986964975284945,0.8953643386366501
GROBID,135.tar_1410.4812.gz_megArxiv_black.pdf,16,paragraph,0.9919831088397206,0.92478021936955,0.8832156876046878,0.935373760552976
GROBID,136.tar_1410.4995.gz_OpenIntermittentMaps8_black.pdf,4,paragraph,0.8499901323156885,0.9781352411851574,0.916737736826874,0.8258476517338963
GROBID,129.tar_1410.1228.gz_interactivefpc_black.pdf,15,paragraph,0.8877669186809911,0.824341338826959,0.9237649547309517,0.8323481950391249
GROBID,127.tar_1410.0153.gz_paper_black.pdf,3,paragraph,0.9210895955648776,0.8094922714459062,0.8460001658885377,0.901529968157766
GROBID,140.tar_1410.7323.gz_QLatticeDipoleJHEPR1229_black.pdf,7,paragraph,0.9701600775764804,0.835335900025445,0.9670063920491287,0.9005883792109939
GROBID,132.tar_1410.3051.gz_REXIS_SPIE2014_Inamdar_small_black.pdf,3,paragraph,0.8185846659110667,0.9740534012050261,0.864968820845852,0.9274055367823174
GROBID,134.tar_1410.4336.gz_NerveComplexesOfCircularArcs_black.pdf,10,paragraph,0.9306395578527694,0.9415366836010626,0.928784281094232,0.9701815421217223
GROBID,136.tar_1410.4894.gz_REdyn_v5_black.pdf,19,paragraph,0.8951558520725476,0.8051703004818515,0.9229092377207894,0.9128913552237042
GROBID,139.tar_1410.6820.gz_thesis_black.pdf,30,paragraph,0.8220186018751483,0.9119976246274208,0.9258430869739317,0.8250482941703434
GROBID,128.tar_1410.0469.gz_clt_quicksort_ver5_black.pdf,18,paragraph,0.9834063257085516,0.8644130082276568,0.8178807359176563,0.8892904962046775
GROBID,141.tar_1410.7948.gz_solvent_pbc_black.pdf,18,paragraph,0.9000406611627485,0.8363959658711905,0.8329520459878371,0.8923469109134876
GROBID,135.tar_1410.4652.gz_RCDSLS_black.pdf,4,paragraph,0.9645989472689214,0.9954674884170415,0.8372800646445877,0.8934252821645241
GROBID,132.tar_1410.2997.gz_IST2014razeghi_black.pdf,1,paragraph,0.9755666236798773,0.9570738304238124,0.9738769335925205,0.8730070233171431
GROBID,134.tar_1410.3926.gz_MossinghoffTrudgianZeroFreeZeta_black.pdf,5,paragraph,0.9161004182652612,0.951521638778419,0.9367214277624083,0.9297519179238172
GROBID,131.tar_1410.2560.gz_wcmdoc_black.pdf,16,paragraph,0.8675066674724932,0.8585946454452015,0.8567798540462798,0.8921119573204463
GROBID,138.tar_1410.6230.gz_NonQGorMMP3_black.pdf,21,paragraph,0.9369039934905393,0.9791281455809923,0.9746539966232245,0.8392561344854792
GROBID,141.tar_1410.7652.gz_scaling_damage4.2_black.pdf,62,paragraph,0.9226175712384757,0.8897178048327253,0.9102185677322472,0.9798959437995082
GROBID,139.tar_1410.6881.gz_Resolvent_construction.rv2_black.pdf,20,paragraph,0.8715399463870568,0.922859531596572,0.9675025073335438,0.8752217078077476
GROBID,138.tar_1410.6115.gz_CrastaFragala-arxiv2_black.pdf,18,paragraph,0.9753620793849516,0.9145272752731349,0.974599020610804,0.9918211571384159
GROBID,128.tar_1410.0736.gz_hdcnn_black.pdf,0,paragraph,0.9534431793071286,0.8945468585269872,0.8238435059866259,0.8686081890283549
GROBID,141.tar_1410.7892.gz_kloosterman-paths_black.pdf,24,paragraph,0.8543404603297351,0.8826373016505487,0.9436187847562543,0.9853126231914155
GROBID,142.tar_1410.8555.gz_Hpotv2_black.pdf,43,paragraph,0.9694988753770726,0.9846821995268915,0.9530910296003869,0.8458125155639544
GROBID,129.tar_1410.1433.gz_Remainder_Terms_for_Several_Inequalities_on_Some_Groups_of_Heisenberg-type_black.pdf,14,paragraph,0.9029365552857441,0.9677411385256922,0.9567407532405462,0.8980572625724891
GROBID,135.tar_1410.4589.gz_main_black.pdf,25,paragraph,0.991528653985221,0.9548227155342223,0.953264892555457,0.827195725070947
GROBID,141.tar_1410.7554.gz_Paper_TrackingODEv2_black.pdf,17,paragraph,0.8123355383479888,0.8497765400156734,0.8058385925151228,0.8352177389747657
GROBID,142.tar_1410.8435.gz_DPV_PAVI14_black.pdf,1,paragraph,0.8057859273587339,0.8745583117033036,0.8547279952646618,0.9983983568546558
GROBID,141.tar_1410.7710.gz_Asymptotic_Stability_of_decorated_Swamps_black.pdf,1,paragraph,0.9566931174364341,0.9243489409635068,0.9407647678425661,0.9708620019858961
GROBID,138.tar_1410.6128.gz_honeycomb_stability6_black.pdf,15,paragraph,0.8478860434484792,0.9791613053413022,0.9525134570298842,0.9347885380753149
GROBID,139.tar_1410.6693.gz_Bauer_article_black.pdf,15,paragraph,0.9727612790710032,0.848855878072546,0.9026974496471195,0.8645557491496232
GROBID,138.tar_1410.6382.gz_arxiv_black.pdf,35,paragraph,0.9242587529063838,0.9481430353583296,0.9025128885019913,0.9409312416923288
GROBID,140.tar_1410.7300.gz_Conformism-driven_phases_of_opinion_formation_on_heterogeneous_networks_black.pdf,5,paragraph,0.9672440689170019,0.8680507858211316,0.8034285222326119,0.9996261075092028
GROBID,127.tar_1410.0243.gz_PENS_pizurica2014_black.pdf,26,paragraph,0.9007384443585882,0.9858137486476533,0.9780362205730726,0.8092963081186364
GROBID,139.tar_1410.6739.gz_AC_black.pdf,9,paragraph,0.8862450455953175,0.9872078547233025,0.9953806190528085,0.9054370581351073
GROBID,137.tar_1410.5886.gz_8f_beta_black.pdf,2,paragraph,0.8153239703226162,0.935443046837387,0.9637231918293221,0.9746583505116952
GROBID,129.tar_1410.1164.gz_infinite-root-stacks_final_black.pdf,29,paragraph,0.8920599277505609,0.9872678619014671,0.8774385491928266,0.9487120453288423
GROBID,134.tar_1410.3869.gz_RuizArriola_black.pdf,41,paragraph,0.8362790328103105,0.9744986724853633,0.9024296711052313,0.9182606067434671
GROBID,131.tar_1410.2392.gz_document_black.pdf,28,paragraph,0.8316559805453053,0.8824830544112878,0.9209786308541636,0.8087721412376166
GROBID,143.tar_1410.8729.gz_ForMathArXiV_black.pdf,6,paragraph,0.9085679305511252,0.8227465062814343,0.9684872191258324,0.8752241801310655
GROBID,141.tar_1410.7971.gz_Overconvergent-Global-Analytic-Geometry_black.pdf,65,paragraph,0.9507790443421394,0.8978845494321988,0.9357119464929009,0.937547979492575
GROBID,127.tar_1410.0089.gz_Thesis_black.pdf,168,paragraph,0.8873663560530186,0.9834425963515543,0.8483603462728209,0.9962650275931538
GROBID,137.tar_1410.6011.gz_ms_black.pdf,10,paragraph,0.9463664685785768,0.9130758185129322,0.8704470566686321,0.9349796824622053
GROBID,134.tar_1410.4315.gz_LpHam_black.pdf,3,paragraph,0.9461451369778163,0.8738558997169241,0.9411561796055619,0.8262500482767908
GROBID,136.tar_1410.5112.gz_bestmixtree_black.pdf,2,paragraph,0.8411833405694547,0.9513118274390062,0.8829077187529861,0.8484281070011788
GROBID,136.tar_1410.4885.gz_paper_black.pdf,7,paragraph,0.9249477712382698,0.9090555370452498,0.8546842405020466,0.9988985102097672
GROBID,136.tar_1410.5492.gz_SDS2014a_black.pdf,3,paragraph,0.8592280076957802,0.9338356328958433,0.9251527815046375,0.9947885641776407
GROBID,141.tar_1410.7686.gz_Saratz_condmat_v2_black.pdf,1,paragraph,0.9160220551281021,0.9413876489082618,0.8915505728339137,0.8604820424358155
GROBID,138.tar_1410.6478.gz_notes_black.pdf,32,paragraph,0.9578609290899327,0.954796326638288,0.9134776468134654,0.9638820923573189
GROBID,140.tar_1410.7450.gz_2ndorderarXivII_black.pdf,19,paragraph,0.9351388562928045,0.8587599162268728,0.8114521630555309,0.9524262509102996
GROBID,129.tar_1410.1304.gz_Spectral_fct_any_M3_black.pdf,21,paragraph,0.8680366639487431,0.8316865157447689,0.8116799022973018,0.8833136627410467
GROBID,132.tar_1410.2962.gz_ETH-Floquet-arXiv_black.pdf,4,paragraph,0.8473586782666714,0.9921093393525922,0.9879876705493778,0.9379021966735116
GROBID,138.tar_1410.6441.gz_background_black.pdf,31,paragraph,0.833280479296947,0.9379286353055125,0.8539564306359255,0.9077564305746273
GROBID,142.tar_1410.8519.gz_ms_black.pdf,7,paragraph,0.8799858621213985,0.8943387375859658,0.904786174579915,0.8336484924931025
GROBID,142.tar_1410.8479.gz_ADMMprecond_black.pdf,2,paragraph,0.8628017758220032,0.882708292946399,0.8522645514870759,0.8527659099950683
GROBID,133.tar_1410.3629.gz_ICHEP_Campanario_GF_black.pdf,0,paragraph,0.8705144015965459,0.9092711273327356,0.9010060175821533,0.9115642431465227
GROBID,130.tar_1410.1807.gz_ymce_black.pdf,8,paragraph,0.9774393520869885,0.809408601513997,0.8300112330975679,0.9219301250532301
GROBID,137.tar_1410.5627.gz_Calaga38-final_black.pdf,6,paragraph,0.9368306754448013,0.9939194443559156,0.9800208604914975,0.9571155591419048
GROBID,129.tar_1410.1089.gz_cs_black.pdf,4,paragraph,0.8728056587986186,0.8033215868399142,0.8842465960598413,0.9709618175141268
GROBID,128.tar_1410.0960.gz_Stuckorama_17_black.pdf,8,paragraph,0.8649358322081739,0.8578988670356299,0.9735337859363016,0.9334307058768647
GROBID,130.tar_1410.1845.gz_multipliablity_black.pdf,1,paragraph,0.8476936830244997,0.8618317021401345,0.8021566007245258,0.8790635347409754
GROBID,132.tar_1410.3016.gz_scft_first_a_5d_black.pdf,4,paragraph,0.8019051383771111,0.8222296685942434,0.9332657902086866,0.828557465024381
GROBID,142.tar_1410.8582.gz_V13_black.pdf,37,paragraph,0.9969361713221896,0.9396623082480376,0.8366353470903795,0.8658222174693307
GROBID,133.tar_1410.3735.gz_FCF_TR_black.pdf,4,paragraph,0.8446336841803794,0.9807207019454361,0.9738019523581756,0.9527886677468809
GROBID,139.tar_1410.7144.gz_0948_2013_revised_final4_black.pdf,7,paragraph,0.8324634618469858,0.8436569168947565,0.8630256724647796,0.8432719531615986
GROBID,135.tar_1410.4427.gz_PracaMGRvA1_black.pdf,43,paragraph,0.9356122633347171,0.8518169646511005,0.9120299276526797,0.892174546030289
GROBID,136.tar_1410.5269.gz_ASS_rev4_arXiv_black.pdf,20,paragraph,0.9615583013745148,0.8022833457957381,0.9910198250137707,0.8161364814538195
GROBID,141.tar_1410.7742.gz_autf2_black.pdf,4,paragraph,0.9647699070252624,0.8811040742624712,0.9546580803907764,0.9904356119398212
GROBID,133.tar_1410.3453.gz_majorana.final_black.pdf,10,paragraph,0.802558138793024,0.8465779307689099,0.8647294883890866,0.9760610355565175
GROBID,127.tar_1410.0208.gz_perco_corr_physicaa_RESUB_final_v1_black.pdf,11,paragraph,0.9109052401920985,0.9084019354295993,0.9627700307646216,0.8099468169230354
GROBID,135.tar_1410.4804.gz_mpk_black.pdf,4,paragraph,0.8782450636807821,0.9543654547908395,0.8887906543401517,0.8405816766139876
GROBID,138.tar_1410.6374.gz_groupdft_black.pdf,21,paragraph,0.8014041087198351,0.9032531420212623,0.861738707383265,0.8307177179002312
GROBID,136.tar_1410.5185.gz_egg2014-paper5_black.pdf,1,paragraph,0.9935716512802779,0.9022130482896186,0.886316963793336,0.8440168421357046
GROBID,131.tar_1410.2150.gz_huber_black.pdf,37,paragraph,0.8867220534336973,0.8210283171732985,0.8070228232670996,0.8231191636435946
GROBID,142.tar_1410.8292.gz_Article_ICCAR_2015_V0_black.pdf,3,paragraph,0.9045587275937245,0.8022725413447125,0.9410799568720352,0.8839285288244733
GROBID,136.tar_1410.5187.gz_CompoundBCNUD_MultipleDescriptions_black.pdf,17,paragraph,0.8354610442168426,0.8705011850337608,0.8063145200661803,0.9292340525199001
GROBID,135.tar_1410.4631.gz_Stress4_black.pdf,9,paragraph,0.9203328617098098,0.8883893318905856,0.99816682900621,0.9465305636308119
GROBID,142.tar_1410.8500.gz_QSGaugeRelativistic_04_02_2015_black.pdf,7,paragraph,0.9139620611350583,0.9884016160482627,0.8434021206580061,0.8987758308277157
GROBID,135.tar_1410.4493.gz_SOLA_D_14_00144_black.pdf,13,paragraph,0.8857010439667863,0.9331696932178709,0.9149578579099313,0.8443436880148862
GROBID,128.tar_1410.0954.gz_ding-wu_black.pdf,18,paragraph,0.8114703042416496,0.9916343797592974,0.9611984954438,0.9576876139186633
GROBID,129.tar_1410.1206.gz_draft29_black.pdf,1,paragraph,0.9272732772011745,0.9019257928352578,0.8039799794885932,0.9003694238314289
