Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
GROBID,195.tar_1610.03271.gz_ch4_initial_abinit.rev1.arxiv_black.pdf,26,reference,0.19743589743589743,0.19743589743589743,0.1974358974358974,0.33600885690561855
GROBID,209.tar_1610.09901.gz_text21_black.pdf,19,reference,0.0,0.0,0.0,0.0
GROBID,197.tar_1610.04175.gz_paper_model_arxiv_black.pdf,18,reference,0.6915254237288135,0.6915254237288135,0.6915254237288135,0.6798979302523391
GROBID,188.tar_1610.00057.gz_Polar_Code_arxiv_version_black.pdf,5,reference,0.717032967032967,0.7521613832853026,0.7341772151898734,0.5957543939739786
GROBID,201.tar_1610.05926.gz_p1v4a_black.pdf,30,reference,0.0,0.0,0.0,0.0
GROBID,196.tar_1610.03839.gz_steiner_tree_black.pdf,27,reference,0.241635687732342,0.241635687732342,0.241635687732342,0.3656103286384977
GROBID,192.tar_1610.02229.gz_new_matt_black.pdf,16,reference,0.0,0.0,0.0,0.0
GROBID,207.tar_1610.09030.gz_directEntDisc0_black.pdf,12,reference,0.0,0.0,0.0,0.0
GROBID,202.tar_1610.06587.gz_PR_LFV_muonnewversion_black.pdf,145,reference,0.205607476635514,0.205607476635514,0.205607476635514,0.36107091172214184
GROBID,198.tar_1610.04758.gz_coling2016_black.pdf,4,reference,0.5072697899838449,0.5072697899838449,0.5072697899838449,0.5339249928428285
GROBID,190.tar_1610.00985.gz_Attributes_black.pdf,26,reference,0.7795918367346939,0.7795918367346939,0.779591836734694,0.7369634111207145
GROBID,190.tar_1610.00969.gz_paper_ref_v5_black.pdf,7,reference,0.3492647058823529,0.5900621118012422,0.4387990762124711,0.40746500777604977
GROBID,202.tar_1610.06716.gz_NCspaces-v16_10Jan2017_black.pdf,6,reference,0.09849749582637729,0.09849749582637729,0.09849749582637729,0.20202455309067419
GROBID,193.tar_1610.02532.gz_Decoupling_MC_V17_black.pdf,39,reference,0.0,0.0,0.0,0.0
GROBID,210.tar_1610.10039.gz_DELTORORUIZ_black.pdf,60,reference,0.0,0.0,0.0,0.0
GROBID,203.tar_1610.06953.gz_main_black.pdf,24,reference,0.622093023255814,0.722972972972973,0.66875,0.6078066914498141
GROBID,207.tar_1610.08901.gz_Review_JPhysD_ps_KN_DL_black.pdf,17,reference,0.21668742216687423,0.21668742216687423,0.21668742216687423,0.31817456518270304
