Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
GROBID,11.tar_1401.6965.gz_1822_timing_black.pdf,2,abstract,0.025974025974025976,0.26666666666666666,0.047337278106508875,0.1442125237191651
GROBID,11.tar_1401.6965.gz_1822_timing_black.pdf,2,author,0.375,0.375,0.375,0.767123287671233
GROBID,1.tar_1401.0335.gz_zm_black.pdf,0,abstract,0.0,0.0,0.0,0.0
GROBID,1.tar_1401.0335.gz_zm_black.pdf,0,author,0.0,0.0,0.0,0.0
GROBID,6.tar_1401.3805.gz_paper-arXiv-v1_black.pdf,0,abstract,0.8852459016393442,0.8852459016393442,0.8852459016393442,0.9491039426523298
GROBID,6.tar_1401.3805.gz_paper-arXiv-v1_black.pdf,0,title,0.9,0.9,0.9,0.975
GROBID,1.tar_1401.0223.gz_UnbalAlarxiv_black.pdf,0,abstract,1.0,1.0,1.0,0.9963031423290204
GROBID,1.tar_1401.0223.gz_UnbalAlarxiv_black.pdf,0,title,1.0,1.0,1.0,1.0
GROBID,1.tar_1401.0223.gz_UnbalAlarxiv_black.pdf,0,author,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.903225806451613
GROBID,9.tar_1401.5571.gz_geo_elliptic_black.pdf,15,title,1.0,1.0,1.0,0.904109589041096
GROBID,10.tar_1401.6434.gz_Extractig_a_basis_with_fixed_block_inside_a_matrix_black.pdf,0,abstract,0.8269230769230769,0.8269230769230769,0.8269230769230769,0.9017013232514178
GROBID,7.tar_1401.4198.gz_OverdampedIB_black.pdf,0,abstract,0.9804878048780488,0.9804878048780488,0.9804878048780488,0.9837618403247632
GROBID,7.tar_1401.4198.gz_OverdampedIB_black.pdf,0,title,1.0,1.0,1.0,0.9302325581395349
GROBID,7.tar_1401.4198.gz_OverdampedIB_black.pdf,0,author,0.15625,0.15625,0.15625,0.33564013840830453
GROBID,4.tar_1401.2257.gz_RepovsSemenov_black.pdf,20,title,1.0,1.0,1.0,0.9333333333333332
GROBID,5.tar_1401.3254.gz_Model_for_Bacterial_DNA_19_BBRC_black.pdf,0,abstract,0.9928057553956835,0.9928057553956835,0.9928057553956835,0.9883785279468732
GROBID,5.tar_1401.3254.gz_Model_for_Bacterial_DNA_19_BBRC_black.pdf,0,title,1.0,1.0,1.0,1.0
GROBID,5.tar_1401.3254.gz_Model_for_Bacterial_DNA_19_BBRC_black.pdf,0,author,0.5,0.5,0.5,0.8695652173913043
GROBID,5.tar_1401.3000.gz_ncr-ALGE-revised-oct28_black.pdf,0,abstract,1.0,1.0,1.0,0.9940405244338498
GROBID,7.tar_1401.4209.gz_exactSolMinControl_black.pdf,0,abstract,0.4880952380952381,0.4880952380952381,0.4880952380952381,0.4758364312267658
GROBID,7.tar_1401.4209.gz_exactSolMinControl_black.pdf,0,title,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6862745098039216
GROBID,7.tar_1401.4209.gz_exactSolMinControl_black.pdf,0,author,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.7431693989071039
GROBID,3.tar_1401.1807.gz_Zawada_arxiv_black.pdf,0,abstract,0.9705014749262537,0.9705014749262537,0.9705014749262537,0.9762185071815399
GROBID,3.tar_1401.1807.gz_Zawada_arxiv_black.pdf,0,title,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.9861111111111112
GROBID,3.tar_1401.1807.gz_Zawada_arxiv_black.pdf,0,author,0.75,0.75,0.75,0.8439306358381503
GROBID,10.tar_1401.6201.gz_paper3_black.pdf,9,abstract,0.013201320132013201,2.0,0.026229508196721308,0.025988700564971764
GROBID,10.tar_1401.6201.gz_paper3_black.pdf,9,author,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.8282828282828283
GROBID,8.tar_1401.5135.gz_RZ-Zel-arXiv_black.pdf,29,author,1.0,1.0,1.0,0.96
GROBID,5.tar_1401.3001.gz_ms_black.pdf,0,abstract,0.8805970149253731,0.8805970149253731,0.8805970149253731,0.9157862964080894
GROBID,5.tar_1401.3001.gz_ms_black.pdf,0,title,1.0,1.0,1.0,0.9574468085106383
GROBID,5.tar_1401.3001.gz_ms_black.pdf,0,author,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.7105263157894737
GROBID,12.tar_1401.7534.gz_pos-EPEM-2013-29012014-fin_black.pdf,2,author,0.0024390243902439024,0.0024390243902439024,0.0024390243902439024,0.0
GROBID,8.tar_1401.5294.gz_20140602-Evo-Survey_black.pdf,19,author,1.0,1.0,1.0,0.9247311827956989
GROBID,2.tar_1401.1161.gz_Meier_Distinguishing_Doubly_Slice_Knots_LMS_Revised_black.pdf,0,abstract,0.975609756097561,0.9876543209876543,0.9815950920245398,0.9884393063583815
GROBID,9.tar_1401.5537.gz_PolynomialRingsAndTopologicalStrings_black.pdf,11,author,0.0,0.0,0.0,0.14678899082568805
GROBID,2.tar_1401.0832.gz_meson_poles_final_black.pdf,0,abstract,0.883495145631068,0.883495145631068,0.883495145631068,0.9186390532544378
GROBID,2.tar_1401.0832.gz_meson_poles_final_black.pdf,0,title,1.0,1.0,1.0,1.0
GROBID,2.tar_1401.0832.gz_meson_poles_final_black.pdf,0,author,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.21359223300970867
GROBID,8.tar_1401.4961.gz_article_arXiv_final_black.pdf,11,title,1.0,1.0,1.0,1.0
GROBID,4.tar_1401.2570.gz_twoStage_black.pdf,0,abstract,0.9772727272727273,0.9772727272727273,0.9772727272727273,0.9877049180327869
GROBID,4.tar_1401.2570.gz_twoStage_black.pdf,0,title,1.0,1.0,1.0,1.0
GROBID,4.tar_1401.2570.gz_twoStage_black.pdf,0,author,1.0,1.0,1.0,0.9565217391304348
GROBID,11.tar_1401.6865.gz_moving-cateye-submit_black.pdf,0,abstract,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.9958791208791209
GROBID,11.tar_1401.6865.gz_moving-cateye-submit_black.pdf,0,author,0.6666666666666666,0.8571428571428571,0.75,0.8225806451612903
GROBID,11.tar_1401.7173.gz_estimates-lrbms-2014-ohlberger-schindler_black.pdf,0,abstract,0.95,0.95,0.9500000000000001,0.9586956521739132
GROBID,11.tar_1401.7173.gz_estimates-lrbms-2014-ohlberger-schindler_black.pdf,0,title,1.0,1.0,1.0,0.8860759493670887
GROBID,11.tar_1401.7173.gz_estimates-lrbms-2014-ohlberger-schindler_black.pdf,0,author,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8857142857142857
GROBID,8.tar_1401.4995.gz_praca_black.pdf,37,author,0.0,0.0,0.0,0.20930232558139536
GROBID,7.tar_1401.4230.gz_Elec_Pooling_Markets_Elastic_black.pdf,0,abstract,0.918918918918919,0.918918918918919,0.918918918918919,0.9327170005136106
GROBID,7.tar_1401.4230.gz_Elec_Pooling_Markets_Elastic_black.pdf,0,title,1.0,1.0,1.0,1.0
GROBID,7.tar_1401.4230.gz_Elec_Pooling_Markets_Elastic_black.pdf,0,author,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.37142857142857144
GROBID,12.tar_1401.7791.gz_ms_revised_black.pdf,2,abstract,0.055299539170506916,1.3333333333333333,0.10619469026548674,0.10542879622344614
GROBID,12.tar_1401.7791.gz_ms_revised_black.pdf,2,author,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.7796610169491526
GROBID,1.tar_1401.0545.gz_ms_black.pdf,15,abstract,0.061068702290076333,0.48484848484848486,0.10847457627118644,0.1962944416624937
GROBID,1.tar_1401.0545.gz_ms_black.pdf,15,author,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.24651661307609857
