Tool,ID,Page,Label,SpatialDist
PdfAct,144.tar_1509.03966.gz_arxiv_black.pdf,0,footer,"(0.2328767123287671, 0.2328767123287671, 0.2328767123287671, 0.4225352112676056)"
PdfAct,142.tar_1509.03061.gz_Milan_wind_farm_arxiv_black.pdf,7,footer,"(0.9714285714285713, 0.9622641509433962, 0.9807692307692307, 0.986970684039088)"
PdfAct,140.tar_1509.02401.gz_ms2-v2_black.pdf,3,footer,"(0.8727272727272727, 0.7741935483870968, 1.0, 0.8833333333333333)"
PdfAct,140.tar_1509.02228.gz_Coherent_Quantum_control_for_Translation_Invariant_Networks_arXive_black.pdf,3,footer,"(0, 0, 0, 0.0)"
PdfAct,149.tar_1509.06720.gz_cvpr2016_3dpose_black.pdf,0,footer,"(0, 0, 0, 0.0)"
PdfAct,149.tar_1509.06640.gz_RobustStabilityPaperGeneric_black.pdf,3,footer,"(0, 0, 0, 0.0)"
PdfAct,145.tar_1509.04794.gz_well-pi-for-compressible-fluids-gas-arxiv-01_black.pdf,0,footer,"(0, 0, 0, 0.0)"
PdfAct,152.tar_1509.08091.gz_transcoder_migration_arxiv_black.pdf,0,footer,"(0.19480519480519481, 0.12096774193548387, 0.5, 0.24849699398797598)"
PdfAct,141.tar_1509.02675.gz_orbitalmajorana_black.pdf,1,footer,"(0.3666666666666667, 0.275, 0.55, 0.3536585365853658)"
PdfAct,140.tar_1509.02342.gz_vcselfb_black.pdf,0,footer,"(0.6666666666666666, 0.5, 1.0, 0.7384615384615384)"
PdfAct,148.tar_1509.05971.gz_paper_black.pdf,6,footer,"(0, 0, 0, 0.15322580645161296)"
PdfAct,145.tar_1509.04865.gz_ObsOriginalCoordinates_Final_corr_black.pdf,2,footer,"(0, 0, 0, 0.0)"
PdfAct,154.tar_1509.09058.gz_paper_arXiv_black.pdf,7,footer,"(0, 0, 0, 0.1528662420382166)"
PdfAct,139.tar_1509.01938.gz_bolt-arXiv_black.pdf,0,footer,"(0.04615384615384615, 0.025, 0.3, 0.12198221092757308)"
PdfAct,152.tar_1509.08095.gz_arxiv_Karsai_black.pdf,3,footer,"(0, 0, 0, 0.0)"
PdfAct,150.tar_1509.07098.gz_prep_pts_small_cycles_black.pdf,14,footer,"(0, 0, 0, 0.022727272727272662)"
PdfAct,147.tar_1509.05632.gz_per_rainbow_final_black.pdf,10,footer,"(0, 0, 0, 0.1578947368421052)"
PdfAct,140.tar_1509.02143.gz_monotone-path_black.pdf,0,footer,"(0, 0, 0, 0.0)"
PdfAct,153.tar_1509.08655.gz_FilippoSala_v2_black.pdf,17,footer,"(0, 0, 0, 0.004123711340206171)"
PdfAct,153.tar_1509.08597.gz_SurfaceBoundaryNoMap-V5-arXiv_black.pdf,0,footer,"(0, 0, 0, 0.004175365344467679)"
PdfAct,141.tar_1509.02670.gz_RuCl3_post_proof_black.pdf,11,footer,"(0, 0, 0, 0.16822429906542055)"
PdfAct,144.tar_1509.04227.gz_WSDM2016_black.pdf,1,footer,"(0, 0, 0, 0.03225806451612897)"
PdfAct,152.tar_1509.08299.gz_paperdraft_black.pdf,7,footer,"(0.14893617021276595, 0.14893617021276595, 0.14893617021276595, 0.3476482617586912)"
PdfAct,142.tar_1509.03095.gz_Submit2_black.pdf,17,footer,"(0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.29496402877697847)"
PdfAct,141.tar_1509.02626.gz_lattice_index_coding_black.pdf,0,footer,"(0.8235294117647058, 0.8235294117647058, 0.8235294117647058, 0.9626373626373627)"
PdfAct,144.tar_1509.04102.gz_categ-without-shortness_black.pdf,6,footer,"(0.9052631578947369, 0.8958333333333334, 0.9148936170212766, 0.919917864476386)"
PdfAct,151.tar_1509.07497.gz_ChenMaggioniWang_arXiv_black.pdf,0,footer,"(0, 0, 0, 0.003831417624521123)"
PdfAct,140.tar_1509.02110.gz_v830tau-arxiv_black.pdf,4,footer,"(0, 0, 0, 0.05172413793103445)"
PdfAct,144.tar_1509.04274.gz_techrep_submit_black.pdf,0,footer,"(0, 0, 0, 0.0)"
PdfAct,139.tar_1509.01772.gz_GRG_Soc_centenary_GFRE_new_black.pdf,3,footer,"(0.5, 0.5, 0.5, 0.7796610169491526)"
PdfAct,145.tar_1509.04839.gz_optimalinsurance_black.pdf,0,footer,"(0, 0, 0, 0.0025974025974025493)"
PdfAct,152.tar_1509.08010.gz_B-free_sets_and_dynamics_black.pdf,70,footer,"(0, 0, 0, 0.0)"
PdfAct,151.tar_1509.07538.gz_manuscript-r01-v03-arXiv_black.pdf,1,footer,"(0.24793388429752067, 0.24793388429752067, 0.24793388429752067, 0.4180790960451977)"
PdfAct,139.tar_1509.01488.gz_sym-op_black.pdf,0,footer,"(0, 0, 0, 0.0)"
PdfAct,152.tar_1509.08312.gz_ChivsRed_mnSep23_black.pdf,3,footer,"(0, 0, 0, 0.0246913580246914)"
PdfAct,150.tar_1509.06957.gz_RP_trees_arxiv_black.pdf,5,footer,"(0.044642857142857144, 0.044642857142857144, 0.044642857142857144, 0.37122557726465366)"
PdfAct,148.tar_1509.06316.gz_bluegammacorr_black.pdf,20,footer,"(0.1896551724137931, 0.1896551724137931, 0.1896551724137931, 0.3835616438356164)"
