Tool,ID,Page,Label,F1,SpatialDist
PdfAct,162.tar_1510.03269.gz_NovitskyChirp_black.pdf,0,title,1.0,1.0
PdfAct,168.tar_1510.06533.gz_Sidorenko_101815_black.pdf,0,title,1.0,0.95
PdfAct,156.tar_1510.00108.gz_GBBImassive_black.pdf,0,title,1.0,1.0
PdfAct,174.tar_1510.09174.gz_Block_graphs_v2_black.pdf,0,title,1.0,1.0
PdfAct,171.tar_1510.07790.gz_NRHC_for_multi-agent_consensus_problems_black.pdf,0,title,1.0,1.0
PdfAct,172.tar_1510.08043.gz_Soliton_Paper_2015_10_26_black.pdf,0,title,1.0,1.0
PdfAct,156.tar_1510.00034.gz_LQE_DM_15-j_black.pdf,0,title,1.0,1.0
PdfAct,168.tar_1510.06710.gz_IvanovDYuV1_black.pdf,0,title,1.0,1.0
PdfAct,169.tar_1510.07257.gz_1dHistones.4.Final.ArXiv_black.pdf,0,title,1.0,1.0
PdfAct,159.tar_1510.02066.gz_gb-tm.3_black.pdf,0,title,1.0,1.0
PdfAct,173.tar_1510.08482.gz_MCHM-final_black.pdf,0,title,1.0,1.0
PdfAct,172.tar_1510.08183.gz_MainPdf_black.pdf,0,title,1.0,1.0
PdfAct,171.tar_1510.07702.gz_lf_cmass_sdss_black.pdf,0,title,1.0,1.0
PdfAct,166.tar_1510.05676.gz_RR151019_black.pdf,17,title,1.0,1.0
PdfAct,172.tar_1510.07981.gz_WF_Mapping_AlDelta_v7_black.pdf,0,title,1.0,1.0
PdfAct,171.tar_1510.07555.gz_TemperatureMeasurementFinal_black.pdf,0,title,1.0,1.0
PdfAct,161.tar_1510.03152.gz_treetope_black.pdf,0,title,1.0,1.0
PdfAct,167.tar_1510.06084.gz_Taylor2.0_black.pdf,30,title,1.0,1.0
PdfAct,169.tar_1510.07279.gz_APhotoShowerPaper_v6_LaPlata_Oct7-corrLia-oct25_black.pdf,0,title,1.0,1.0
PdfAct,160.tar_1510.02256.gz_EnergyTransfer_PMdR_NJP_September2015_black.pdf,0,title,1.0,1.0
PdfAct,160.tar_1510.02716.gz_gluingpaper_lms_revised_black.pdf,0,title,1.0,1.0
PdfAct,168.tar_1510.06523.gz_SansotteraGrassiGiorgilli_IAU_black.pdf,0,title,1.0,1.0
PdfAct,169.tar_1510.07002.gz_LCO_xray_black.pdf,0,title,0.9090909090909091,0.9850746268656717
PdfAct,169.tar_1510.07132.gz_QBBHrj2_black.pdf,0,title,1.0,1.0
PdfAct,160.tar_1510.02328.gz_inertgrav10_black.pdf,0,title,1.0,1.0
PdfAct,156.tar_1510.00116.gz_main_black.pdf,0,title,1.0,1.0
PdfAct,168.tar_1510.06721.gz_steeringmodel_pra_v2_black.pdf,0,title,1.0,0.96
PdfAct,173.tar_1510.08473.gz_tendency-article_black.pdf,0,title,0.7999999999999999,0.9263157894736842
PdfAct,161.tar_1510.02895.gz_mgaafar_full_duplex_PIMRC_July9_2015-Camera_ready_black.pdf,0,title,0.6666666666666666,0.6818181818181819
PdfAct,159.tar_1510.01740.gz_SmoothCovariance_black.pdf,8,title,1.0,1.0
PdfAct,161.tar_1510.03059.gz_tbi_arXiv_black.pdf,0,title,1.0,0.9635036496350365
PdfAct,168.tar_1510.06651.gz_Bistabilities_PRA_black.pdf,0,title,1.0,0.9787234042553191
PdfAct,156.tar_1510.00358.gz_aasp-iakubovskyi_black.pdf,0,title,0.0,0.9648241206030151
PdfAct,159.tar_1510.02156.gz_Josephsonlosalamos_black.pdf,0,title,1.0,1.0
PdfAct,171.tar_1510.07927.gz_main_black.pdf,15,title,1.0,1.0
PdfAct,156.tar_1510.00281.gz_arxiv_black.pdf,0,title,1.0,1.0
PdfAct,173.tar_1510.08515.gz_Porter-Reichl_black.pdf,0,title,1.0,1.0
PdfAct,167.tar_1510.05815.gz_Curved_Space_black.pdf,0,title,0.0,0.0
PdfAct,161.tar_1510.03246.gz_Exposant_critique_surface_black.pdf,0,title,1.0,1.0
PdfAct,173.tar_1510.08450.gz_paper2_draft3_black.pdf,0,title,0.7659574468085107,0.9236947791164658
PdfAct,161.tar_1510.03233.gz_main_black.pdf,0,title,1.0,0.9723756906077348
PdfAct,171.tar_1510.07927.gz_main_black.pdf,12,title,1.0,1.0
PdfAct,173.tar_1510.08679.gz_MS_black.pdf,0,title,1.0,1.0
PdfAct,168.tar_1510.06834.gz_Riemann_localisation_2016_07_13_black.pdf,0,title,0.0,0.9066666666666667
PdfAct,168.tar_1510.06751.gz_V5589Sgr_black.pdf,0,title,1.0,1.0
PdfAct,160.tar_1510.02330.gz_CWIT_2015_black.pdf,0,title,1.0,1.0
PdfAct,162.tar_1510.03567.gz_arXiv_nawratil_neu_black.pdf,6,title,1.0,1.0
PdfAct,160.tar_1510.02333.gz_Final_Version_Corrected_black.pdf,0,title,1.0,0.9411764705882354
PdfAct,157.tar_1510.00758.gz_Stability_Conditions_for_Einstein-Maxwell-Kalb-Ramond_Wormholes_6_black.pdf,0,title,1.0,1.0
PdfAct,168.tar_1510.06772.gz_GeneralizedSpherical_black.pdf,0,title,1.0,1.0
PdfAct,156.tar_1510.00112.gz_paramcompl_black.pdf,0,title,1.0,1.0
PdfAct,158.tar_1510.01578.gz_Kokoulina_NSRT_black.pdf,0,title,1.0,1.0
PdfAct,163.tar_1510.04018.gz_Tellur_Shalygin_black.pdf,0,title,0.8571428571428571,0.9450549450549451
PdfAct,167.tar_1510.05967.gz_source-well_black.pdf,0,title,1.0,1.0
PdfAct,156.tar_1510.00091.gz_root_black.pdf,0,title,0.0,0.0
PdfAct,168.tar_1510.06546.gz_Syrotyuk_done_black.pdf,7,title,0.0,0.08294930875576043
PdfAct,161.tar_1510.03107.gz_JPCSLaTeXGuidelines_black.pdf,0,title,0.0,0.0
PdfAct,170.tar_1510.07384.gz_KEGroups_black.pdf,0,title,1.0,0.9514563106796117
PdfAct,167.tar_1510.06091.gz_swappaper_black.pdf,0,title,0.9166666666666666,0.9659863945578232
PdfAct,171.tar_1510.07673.gz_150916_Figures_Embedded_black.pdf,0,title,1.0,1.0
PdfAct,168.tar_1510.06671.gz_Glukhov_done_black.pdf,16,title,0.0,0.10071942446043167
PdfAct,160.tar_1510.02685.gz_1510.02685v4aa_black.pdf,0,title,1.0,0.9516129032258064
PdfAct,161.tar_1510.03049.gz_Emain_black.pdf,0,title,0.0,0.0
PdfAct,161.tar_1510.02822.gz_MTTPaperTwoColVersion_black.pdf,0,title,1.0,1.0
PdfAct,169.tar_1510.07190.gz_dec-c-Wilf-final_black.pdf,0,title,1.0,1.0
PdfAct,168.tar_1510.06810.gz_xqr_v3_cl_black.pdf,2,title,1.0,1.0
PdfAct,173.tar_1510.08765.gz_GaussLaplace_black.pdf,0,title,1.0,1.0
PdfAct,157.tar_1510.01156.gz_paper_black.pdf,0,title,0.8181818181818181,0.7777777777777777
PdfAct,173.tar_1510.08827.gz_n1377_ALMA_aalto_black.pdf,4,title,1.0,0.9946524064171123
PdfAct,157.tar_1510.00673.gz_RNS_Merger_CFS_black.pdf,0,title,1.0,1.0
