Tool,ID,Page,Label,SpatialDist
PdfAct,20.tar_1701.08967.gz_thesis_black.pdf,39,paragraph,"(0, 0, 0, 0.2672160094173043)"
PdfAct,6.tar_1701.02416.gz_FPF_LG_arXiv_black.pdf,3,paragraph,"(0, 0, 0, 0.8888888888888888)"
PdfAct,7.tar_1701.02772.gz_Local_Mixing_revision_black.pdf,32,paragraph,"(0, 0, 0, 0.3036322360953461)"
PdfAct,3.tar_1701.01276.gz_document_black.pdf,8,paragraph,"(0, 0, 0, 0.1296770262035345)"
PdfAct,2.tar_1701.00900.gz_Robust_localization_with_Bounded_errors_black.pdf,14,paragraph,"(0, 0, 0, 0.3779092702169626)"
PdfAct,3.tar_1701.01290.gz_bare_jrnl_black.pdf,38,paragraph,"(0, 0, 0, 0.45169385194479295)"
PdfAct,7.tar_1701.02840.gz_equiKuranishi_black.pdf,79,paragraph,"(0, 0, 0, 0.3378947368421052)"
PdfAct,20.tar_1701.08863.gz_IC79-SDM-v2_black.pdf,4,paragraph,"(0, 0, 0, 0.8153221714865551)"
PdfAct,3.tar_1701.01086.gz_manuscript_black.pdf,1,paragraph,"(0, 0, 0, 0.8145982239549491)"
PdfAct,7.tar_1701.02890.gz_fgk_dwarfs_arXiv_black.pdf,2,paragraph,"(0, 0, 0, 0.48555087296809146)"
PdfAct,9.tar_1701.03993.gz_main-v4_black.pdf,4,paragraph,"(0, 0, 0, 0.8116728876823889)"
PdfAct,6.tar_1701.02415.gz_IEEE_TCOM_black.pdf,18,paragraph,"(0, 0, 0, 0.5046227259170891)"
PdfAct,6.tar_1701.02227.gz_InterpolatingIVT-dec2017b_black.pdf,2,paragraph,"(0, 0, 0, 0.6884256719692814)"
PdfAct,20.tar_1701.08894.gz_Akras2017_black.pdf,0,paragraph,"(0, 0, 0, 0.5544948289578361)"
PdfAct,5.tar_1701.02083.gz_preprint_black.pdf,22,paragraph,"(0, 0, 0, 0.38566243194192373)"
PdfAct,8.tar_1701.03095.gz_main_black.pdf,22,paragraph,"(0, 0, 0, 0.04765146358066716)"
PdfAct,8.tar_1701.03186.gz_Network_Feedback_Capacity_2017_black.pdf,19,paragraph,"(0, 0, 0, 0.3306306306306307)"
PdfAct,7.tar_1701.02886.gz_christo-stat_black.pdf,10,paragraph,"(0, 0, 0, 0.6386962552011096)"
PdfAct,8.tar_1701.03083.gz_Cauchy-BMO-LLG-arxiv_black.pdf,7,paragraph,"(0, 0, 0, 0.7213438735177866)"
PdfAct,1.tar_1701.00113.gz_toposAlgebra_black.pdf,0,paragraph,"(0, 0, 0, 0.4342273307790549)"
PdfAct,8.tar_1701.03496.gz_LaCaCoMnO_manuscript_black.pdf,0,paragraph,"(0, 0, 0, 0.5462277091906721)"
PdfAct,19.tar_1701.08725.gz_v19_v4_black.pdf,50,paragraph,"(0, 0, 0, 0.3150901613413477)"
PdfAct,4.tar_1701.01481.gz_LowRegPE-proceedings-corrected_black.pdf,9,paragraph,"(0, 0, 0, 0.33690003057169066)"
PdfAct,3.tar_1701.01116.gz_Love_published_black.pdf,5,paragraph,"(0, 0, 0, 0.6192145862552594)"
PdfAct,2.tar_1701.00790.gz_bir_simplearxiv_v2_black.pdf,8,paragraph,"(0, 0, 0, 0.3490533562822719)"
PdfAct,3.tar_1701.01013.gz_Diss4_black.pdf,6,paragraph,"(0, 0, 0, 0.31100478468899523)"
PdfAct,7.tar_1701.02750.gz_ms_black.pdf,2,paragraph,"(0, 0, 0, 0.5306647940074907)"
PdfAct,1.tar_1701.00327.gz_NSI-Final-Dec_black.pdf,1,paragraph,"(0, 0, 0, 0.31687041564792184)"
PdfAct,10.tar_1701.04056.gz_main_black.pdf,0,paragraph,"(0, 0, 0, 0.5923859533967837)"
PdfAct,5.tar_1701.02129.gz_estimation_oscillating_brownian_motion_black.pdf,10,paragraph,"(0, 0, 0, 0.5197438633938101)"
PdfAct,5.tar_1701.01880.gz_pyrochloreladder_black.pdf,8,paragraph,0
PdfAct,9.tar_1701.03790.gz_ms_black.pdf,2,paragraph,"(0, 0, 0, 0.42028828438278965)"
PdfAct,5.tar_1701.02129.gz_estimation_oscillating_brownian_motion_black.pdf,1,paragraph,"(0, 0, 0, 0.680304311073542)"
PdfAct,9.tar_1701.03557.gz_fvh2016_black.pdf,2,paragraph,"(0, 0, 0, 0.4052646803586925)"
PdfAct,4.tar_1701.01641.gz_LongGFFK_10_black.pdf,6,paragraph,"(0, 0, 0, 0.5722460658082976)"
PdfAct,7.tar_1701.03041.gz_grasping_learning_black.pdf,2,paragraph,"(0, 0, 0, 0.5666955124242798)"
