Tool,ID,Page,Label,F1,SpatialDist
PdfAct,71.tar_1604.05976.gz_kuang2016_black.pdf,9,reference,0.005452067242162653,0.49083736319674215
PdfAct,65.tar_1604.03311.gz_vdHeydt_ClimSensNonlin_arxiv_black.pdf,21,reference,0.007785130400934216,0.31551079136690646
PdfAct,73.tar_1604.07109.gz_main_black.pdf,7,reference,0.021482277121374866,0.5089803012746235
PdfAct,75.tar_1604.07926.gz_champ_vfinal3_black.pdf,13,reference,0.0,0.0
PdfAct,75.tar_1604.07561.gz_ASR_FD_R2_black.pdf,13,reference,0.0,0.0
PdfAct,73.tar_1604.06677.gz_ATGC_VecPol_black.pdf,21,reference,0.0,0.0
PdfAct,76.tar_1604.08100.gz_ms_arxiv_black.pdf,31,reference,0.0,0.0
PdfAct,77.tar_1604.08420.gz_DRS_black.pdf,4,reference,0.0,0.0
PdfAct,68.tar_1604.04525.gz_cond_SJ_black.pdf,9,reference,0.0037950664136622396,0.553519768563163
PdfAct,70.tar_1604.05246.gz_NaisseVaz_HnOdd_black.pdf,33,reference,0.03466955579631636,0.6182707993474714
PdfAct,70.tar_1604.05326.gz_numerical-attractor_v2_black.pdf,17,reference,0.009313154831199068,0.8975797965626096
PdfAct,69.tar_1604.04867.gz_KIC_10684673_and_KIC_12216817_black.pdf,4,reference,0.030456852791878174,0.34246575342465746
PdfAct,69.tar_1604.04795.gz_urbani_black.pdf,6,reference,0.008567931456548347,0.37032258064516127
PdfAct,66.tar_1604.03682.gz_20160606_-_QSim_with_a_Boson_Sampling_Circuit_black.pdf,7,reference,0.0,0.0
PdfAct,74.tar_1604.07401.gz_shocksII_black.pdf,21,reference,0.0,0.0
PdfAct,65.tar_1604.03422.gz_AsSb2_black.pdf,13,reference,0.0,0.0
PdfAct,70.tar_1604.05250.gz_report_black.pdf,141,reference,0.006281900274833137,0.14010868725371523
PdfAct,66.tar_1604.03614.gz_EPL_1114-3_black.pdf,22,reference,0.01834862385321101,0.5914954610606784
PdfAct,70.tar_1604.05553.gz_Robots_note_black.pdf,6,reference,0.0,0.0
PdfAct,70.tar_1604.05291.gz_paperv4.1_black.pdf,10,reference,0.0,0.0
PdfAct,67.tar_1604.04222.gz_paperv2_black.pdf,8,reference,0.0,0.0
PdfAct,74.tar_1604.07304.gz_DraftConj_arXiv_NEW_black.pdf,11,reference,0.006042296072507553,0.9879310344827585
PdfAct,66.tar_1604.03595.gz_Resuts_13_black.pdf,20,reference,0.0,0.0
PdfAct,68.tar_1604.04685.gz_Zak-FD_black.pdf,23,reference,0.0,0.0
PdfAct,72.tar_1604.06340.gz_BBD2015_SIAM_revised_black.pdf,21,reference,0.11547344110854502,0.8224076281287247
PdfAct,66.tar_1604.03644.gz_HSEEv8_black.pdf,27,reference,0.048068669527897,0.414169544391222
PdfAct,75.tar_1604.07929.gz_Symmetry-Breaking_black.pdf,25,reference,0.08547008547008547,0.7193916349809887
PdfAct,72.tar_1604.06256.gz_ms8_black.pdf,17,reference,0.0,0.0
PdfAct,64.tar_1604.02750.gz_EWi2016April_Camera_Upload_X_black.pdf,6,reference,0.0,0.0
PdfAct,73.tar_1604.07132.gz_GRB_BBH_v08_black.pdf,17,reference,0.0,0.0
PdfAct,65.tar_1604.03457.gz_GRB_v2_black.pdf,10,reference,0.0,0.0
PdfAct,76.tar_1604.08269.gz_main_black.pdf,12,reference,0.21803766105054512,0.7723930982745686
PdfAct,75.tar_1604.07753.gz_Phenomenology3_black.pdf,12,reference,0.07058823529411765,0.06624934793948882
PdfAct,76.tar_1604.08280.gz_Universal_resonance_black.pdf,12,reference,0.0,0.0
PdfAct,77.tar_1604.08426.gz_writing_black.pdf,9,reference,0.0,0.0
PdfAct,70.tar_1604.05277.gz_manuscript_black.pdf,10,reference,0.0,0.0
PdfAct,75.tar_1604.07795.gz_SSTRPV.1.2.0_black.pdf,23,reference,0.0,0.0
PdfAct,70.tar_1604.05378.gz_CDC2016_finalrevision_arxiv_black.pdf,17,reference,0.00718562874251497,0.6943408464407329
PdfAct,69.tar_1604.04804.gz_IC2E_final_ARXIV_black.pdf,10,reference,0.0,0.0
PdfAct,64.tar_1604.02706.gz_dir_mod_black.pdf,4,reference,0.0,0.0
PdfAct,75.tar_1604.07681.gz_Efficient_global_smoothing_YJKim_black.pdf,14,reference,0.0,0.7548199345216443
PdfAct,65.tar_1604.03414.gz_RW_MFCCA_black.pdf,6,reference,0.0,0.045203415369161205
PdfAct,64.tar_1604.02990.gz_VacuumIncalescence+supp_ArxivV6T_black.pdf,4,reference,0.0,0.0
PdfAct,73.tar_1604.06961.gz_Sparse_p-adic_data_coding_FMurtagh_black.pdf,18,reference,0.0077669902912621365,0.591755489919096
PdfAct,64.tar_1604.02921.gz_FeSe_pap_black.pdf,3,reference,0.0,0.0
PdfAct,63.tar_1604.02643.gz_draft3_black.pdf,4,reference,0.0,0.0
PdfAct,72.tar_1604.06588.gz_final_black.pdf,16,reference,0.0,0.0
PdfAct,66.tar_1604.03644.gz_HSEEv8_black.pdf,29,reference,0.005080440304826418,0.4470202296336796
PdfAct,67.tar_1604.04388.gz_Manuscript_black.pdf,15,reference,0.0,0.0
PdfAct,69.tar_1604.04846.gz_manuscript_JPCM_Junqing_Xu_black.pdf,13,reference,0.0,0.0
PdfAct,63.tar_1604.02509.gz_paper_black.pdf,19,reference,0.006525285481239804,0.13677627597337094
PdfAct,69.tar_1604.04976.gz_sw_spiral201604arxiv_black.pdf,15,reference,0.0,0.0
PdfAct,65.tar_1604.03354.gz_WeekGreedy6_black.pdf,12,reference,0.0033057851239669425,0.5558653227535921
PdfAct,71.tar_1604.05835.gz_MC_Detect_arXiv_black.pdf,21,reference,0.006611570247933884,0.3590569877883311
PdfAct,73.tar_1604.07125.gz_approx_balance_submission_black.pdf,17,reference,0.005115089514066497,0.05679758308157105
PdfAct,64.tar_1604.02985.gz_manuscript_black.pdf,6,reference,0.0,0.0
PdfAct,75.tar_1604.07560.gz_Raptor_black.pdf,4,reference,0.0,0.0
PdfAct,74.tar_1604.07212.gz_Manuscript_and_appendix_ArXiv_170120_black.pdf,13,reference,0.0088261253309797,0.2977299880525688
