Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
PdfAct,212.tar_1709.07413.gz_orbilink-I-arXiv_black.pdf,48,section,0.0,0.0,0.0,0.0
PdfAct,197.tar_1709.01651.gz_main_black.pdf,3,section,0.0,0.0,0.0,0.11267605633802816
PdfAct,202.tar_1709.03523.gz_HIGal_arxiv_black.pdf,8,section,0.0,0.0,0.0,0.0
PdfAct,198.tar_1709.02116.gz_main_tkde_black.pdf,0,section,0.0,0.0,0.0,0.0882352941176471
PdfAct,196.tar_1709.01359.gz_hybrid_dynamics_v2_black.pdf,3,section,0.0,0.0,0.0,0.0
PdfAct,212.tar_1709.07575.gz_stabilizer_test_adaptive_resubmit_black.pdf,9,section,0.0,0.0,0.0,0.08333333333333329
PdfAct,198.tar_1709.02196.gz_QHD_zhandos_black.pdf,5,section,0.0,0.0,0.0,0.0
PdfAct,198.tar_1709.02041.gz_GM_IrrationalFamily_black.pdf,3,section,0.0,0.0,0.0,0.0
PdfAct,199.tar_1709.02701.gz_PAPER2_REAL_FINAL_black.pdf,11,section,0.0,0.0,0.0,0.0
PdfAct,194.tar_1709.00789.gz_Collision_new_black.pdf,15,section,0.0,0.0,0.0,0.2083333333333333
PdfAct,217.tar_1709.09443.gz_prosody_aoa_black.pdf,7,section,0.0,0.0,0.0,0.17733990147783246
PdfAct,196.tar_1709.01242.gz_MorseThy-Roberts-arXiv_black.pdf,3,section,0.0,0.0,0.0,0.14545454545454548
PdfAct,193.tar_1709.00101.gz_schubertEA2017_black.pdf,24,section,0.0,0.0,0.0,0.0
PdfAct,203.tar_1709.04005.gz_main_arxiv_black.pdf,0,section,0.375,0.6,0.4615384615384615,0.4745762711864407
PdfAct,215.tar_1709.08837.gz_flat_plumbing_basket_arXiv_black.pdf,0,section,0.028985507246376812,1.0,0.05633802816901409,0.06698564593301441
PdfAct,203.tar_1709.04163.gz_OnebitSphere_1stRev_Manuscript_semifin_black.pdf,11,section,0.0,0.0,0.0,0.0
PdfAct,197.tar_1709.01703.gz_gan_daniel_black.pdf,0,section,0.35294117647058826,0.75,0.48,0.38738738738738737
PdfAct,196.tar_1709.01224.gz_final_black.pdf,6,section,0.0,0.0,0.0,0.0
PdfAct,198.tar_1709.01979.gz_Final_black.pdf,15,section,0.0,0.0,0.0,0.1355932203389831
PdfAct,217.tar_1709.09416.gz_ana_num_agreg_hal_black.pdf,28,section,0.022222222222222223,0.16666666666666666,0.0392156862745098,0.19246861924686187
PdfAct,193.tar_1709.00114.gz_msarXiv_black.pdf,2,section,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.5555555555555556
PdfAct,215.tar_1709.08837.gz_flat_plumbing_basket_arXiv_black.pdf,10,section,0.07894736842105263,0.375,0.13043478260869565,0.2580645161290323
PdfAct,211.tar_1709.07199.gz_honeycomb-kagome_black.pdf,19,section,0.0,0.0,0.0,0.0
PdfAct,201.tar_1709.03346.gz_NMF-EM-JCGS-arxiv_black.pdf,8,section,0.0,0.0,0.0,0.2894736842105263
PdfAct,197.tar_1709.01896.gz_multicoalpaper_black.pdf,27,section,0.0,0.0,0.0,0.09224318658280922
PdfAct,202.tar_1709.03783.gz_nonsingular_sylvester_arxiv_black.pdf,7,section,0.08955223880597014,0.9230769230769231,0.16326530612244897,0.149812734082397
PdfAct,200.tar_1709.03033.gz_routing5OneWay_TR_black.pdf,12,section,0.006,0.5,0.011857707509881424,0.024548244118649906
PdfAct,193.tar_1709.00269.gz_qp-transmission_black.pdf,7,section,0.0,0.0,0.0,0.13822894168466518
PdfAct,202.tar_1709.03749.gz_nips_2017_black.pdf,4,section,0.12,0.75,0.20689655172413793,0.3827160493827161
PdfAct,214.tar_1709.08281.gz_SNMM1.12_black.pdf,5,section,0.0,0.0,0.0,0.0
PdfAct,214.tar_1709.08584.gz_main_no170814_black.pdf,7,section,0.0,0.0,0.0,0.28301886792452835
PdfAct,216.tar_1709.09026.gz_KitsonSchulze_arxiv_black.pdf,2,section,0.14285714285714285,0.25,0.18181818181818182,0.3816793893129771
PdfAct,215.tar_1709.08768.gz_ms_black.pdf,0,section,0.5,0.5,0.5,0.7894736842105263
PdfAct,199.tar_1709.02554.gz_medBib_black.pdf,1,section,0.0,0.0,0.0,0.0
PdfAct,204.tar_1709.04453.gz_kernel-vis_black.pdf,2,section,0.5,0.8333333333333334,0.625,0.671875
PdfAct,201.tar_1709.03413.gz_gigamachine-draft_black.pdf,5,section,0.0,0.0,0.0,0.3
PdfAct,203.tar_1709.04258.gz_049_black.pdf,10,section,0.0,0.0,0.0,0.0
PdfAct,216.tar_1709.09138.gz_Rao-Blackwellization_to_Give_Improved_Estimates_in_Multi-List_Studies_black.pdf,15,section,0.0,0.0,0.0,0.07468879668049794
PdfAct,194.tar_1709.00509.gz_main_black.pdf,22,section,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8545454545454545
PdfAct,212.tar_1709.07722.gz_Super_imposed_pilots_Journal_16032017_-_rev_1_3_black.pdf,7,section,0.0,0.0,0.0,0.2666666666666667
PdfAct,197.tar_1709.01925.gz_clashphotometry_black.pdf,8,section,0.0,0.0,0.0,0.0
PdfAct,193.tar_1709.00007.gz_gw-b3ks-vfinal_black.pdf,19,section,0.0,0.0,0.0,0.0
PdfAct,197.tar_1709.01838.gz_180112_PolaronPRA-resub_black.pdf,4,section,0.0,0.0,0.0,0.0
PdfAct,196.tar_1709.01263.gz_ArticleV4_black.pdf,1,section,0.0,0.0,0.0,0.04347826086956516
PdfAct,197.tar_1709.01560.gz_shape_estimation_black.pdf,1,section,0.4375,0.4375,0.4375,0.3259911894273128
PdfAct,196.tar_1709.01177.gz_sutera17_black.pdf,1,section,0.10638297872340426,1.25,0.19607843137254902,0.17261219792865362
PdfAct,202.tar_1709.03600.gz_bk_compression_black.pdf,9,section,1.0,1.0,1.0,1.0
PdfAct,194.tar_1709.00665.gz_Paper_black.pdf,15,section,0.0,0.0,0.0,0.0
PdfAct,213.tar_1709.08071.gz_survey_aij_black.pdf,24,section,0.009216589861751152,0.6666666666666666,0.018181818181818184,0.025880661394680118
PdfAct,193.tar_1709.00244.gz_GravityCam_PASA3_black.pdf,11,section,0.0,0.0,0.0,0.0
PdfAct,212.tar_1709.07476.gz_hitep2_accepted_20170921_black.pdf,1,section,0.0,0.0,0.0,0.01734104046242777
PdfAct,203.tar_1709.04165.gz_matter-dipole-spectro-8dec17_black.pdf,7,section,0.0,0.0,0.0,0.17582417582417575
PdfAct,201.tar_1709.03386.gz_MS_limit2_black.pdf,8,section,0.0,0.0,0.0,0.02448979591836732
PdfAct,198.tar_1709.02205.gz_arXiv_version2_black.pdf,0,section,0.5,0.5,0.5,0.7894736842105263
PdfAct,194.tar_1709.00740.gz_variations_black.pdf,4,section,0.0,0.0,0.0,0.045801526717557266
PdfAct,214.tar_1709.08503.gz_BCJNumerator_ver2_black.pdf,16,section,0.0,0.0,0.0,0.0
PdfAct,195.tar_1709.01014.gz_mnras_template_black.pdf,5,section,0.0,0.0,0.0,0.07453416149068318
PdfAct,214.tar_1709.08205.gz_Bishop_nmp17_honey_bilayer_j1j2j1perp_Ext-M-Field_black.pdf,0,section,0.043478260869565216,0.5,0.08,0.14659685863874344
PdfAct,211.tar_1709.07283.gz_cold_kevins_2_black.pdf,29,section,0.0,0.0,0.0,0.19811320754716988
PdfAct,212.tar_1709.07722.gz_Super_imposed_pilots_Journal_16032017_-_rev_1_3_black.pdf,0,section,0.0,0.0,0.0,0.05747126436781613
PdfAct,199.tar_1709.02455.gz_eigen_paper_for_arxiv_black.pdf,0,section,0.0,0.0,0.0,0.0
PdfAct,203.tar_1709.04284.gz_ankerdb_arxiv_black.pdf,14,section,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.6144578313253012
PdfAct,210.tar_1709.06695.gz_article-raw_black.pdf,13,section,0.0,0.0,0.0,0.22093023255813946
PdfAct,194.tar_1709.00454.gz_Chromatic_Quasisymmetric_Functions_of_Directed_Graphs_black.pdf,33,section,0.0,0.0,0.0,0.0
PdfAct,199.tar_1709.02532.gz_Paper_black.pdf,21,section,0.0,0.0,0.0,0.0
PdfAct,214.tar_1709.08404.gz_ms2_black.pdf,1,section,0.0,0.0,0.0,0.0
PdfAct,216.tar_1709.09114.gz_Eisenstein_superieurs3_black.pdf,35,section,0.08,0.2,0.11428571428571428,0.22680412371134026
PdfAct,203.tar_1709.03993.gz_CO_highz_revision_clean_black.pdf,14,section,0.0,0.0,0.0,0.1578947368421052
PdfAct,193.tar_1709.00112.gz_Arxiv_submission_black.pdf,2,section,0.0,0.0,0.0,0.04784688995215305
PdfAct,213.tar_1709.08110.gz_Interphase_Boundaries_black.pdf,3,section,0.0,0.0,0.0,0.0
PdfAct,203.tar_1709.04266.gz_bang-in-bang-hal_black.pdf,24,section,0.0,0.0,0.0,0.15469613259668505
PdfAct,215.tar_1709.08972.gz_jinst-SHiP_TD_2017_black.pdf,1,section,0.2857142857142857,2.0,0.5,0.2718446601941747
PdfAct,198.tar_1709.02289.gz_Honey_Coul_black.pdf,2,section,0.0,0.0,0.0,0.0
PdfAct,201.tar_1709.03466.gz_motifs5_black.pdf,15,section,0.017094017094017096,1.0,0.033613445378151266,0.033485540334855415
PdfAct,213.tar_1709.07852.gz_spin_torque_prd_resubmit_black.pdf,15,section,0.0,0.0,0.0,0.18181818181818188
PdfAct,212.tar_1709.07681.gz_STAR_2017_R2_black.pdf,13,section,0.0,0.0,0.0,0.0
PdfAct,194.tar_1709.00672.gz_bare_conf_black.pdf,3,section,0.3,0.75,0.4285714285714285,0.4761904761904762
PdfAct,201.tar_1709.03492.gz_Mean_field_black.pdf,0,section,0.0,0.0,0.0,0.0
PdfAct,197.tar_1709.01914.gz_wileyarticle-template_black.pdf,0,section,0.05555555555555555,0.5,0.09999999999999999,0.23333333333333328
PdfAct,212.tar_1709.07616.gz_w-setting_black.pdf,2,section,0.0,0.0,0.0,0.0
PdfAct,213.tar_1709.07968.gz_SPIE_paper_10_ARXIV_editing_black.pdf,6,section,0.0,0.0,0.0,0.0
PdfAct,197.tar_1709.01861.gz_prx_third_submission_31_05_2018_black.pdf,1,section,0.0,0.0,0.0,0.0
PdfAct,213.tar_1709.07874.gz_versality_black.pdf,44,section,0.09523809523809523,0.4,0.15384615384615385,0.1964285714285714
PdfAct,201.tar_1709.03326.gz_eQCD2017_CONTANT_black.pdf,4,section,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7317073170731707
PdfAct,210.tar_1709.06965.gz_sigma-arxiv_black.pdf,2,section,0.06896551724137931,0.6666666666666666,0.125,0.17391304347826092
PdfAct,213.tar_1709.08085.gz_wcl_black.pdf,7,section,0.0,0.0,0.0,0.15
PdfAct,201.tar_1709.03262.gz_mainv2_black.pdf,29,section,0.0,0.0,0.0,0.10928961748633881
PdfAct,202.tar_1709.03696.gz_proceedings_black.pdf,1,section,1.0,1.0,1.0,1.0
PdfAct,213.tar_1709.07874.gz_versality_black.pdf,95,section,0.0,0.0,0.0,0.1428571428571429
PdfAct,203.tar_1709.04072.gz_INexact-nonconvex_black.pdf,4,section,0.025423728813559324,0.75,0.04918032786885246,0.08777429467084645
PdfAct,213.tar_1709.07941.gz_17arxiv_black.pdf,2,section,0.24509803921568626,1.4705882352941178,0.4201680672268907,0.236722306525038
PdfAct,199.tar_1709.02456.gz_root_black.pdf,1,section,0.5,0.5,0.5,0.5555555555555556
PdfAct,212.tar_1709.07749.gz_Torsion_rev-Matt_black.pdf,4,section,0.0,0.0,0.0,0.0
PdfAct,198.tar_1709.02302.gz_paper_black.pdf,1,section,0.2,1.0,0.33333333333333337,0.2142857142857143
PdfAct,199.tar_1709.02457.gz_FHDDMS_MLJ_2017_black.pdf,2,section,0.0,0.0,0.0,0.0
PdfAct,213.tar_1709.08080.gz_TDGB_black.pdf,0,section,0.0,0.0,0.0,0.0
PdfAct,215.tar_1709.08641.gz_main_black.pdf,4,section,0.0,0.0,0.0,0.1836734693877551
PdfAct,204.tar_1709.04456.gz_PEPICOBayes_paper_black.pdf,3,section,0.0,0.0,0.0,0.10101010101010104
PdfAct,213.tar_1709.07892.gz_highz_CDFields_clean_black.pdf,13,section,1.0,1.0,1.0,1.0
PdfAct,194.tar_1709.00452.gz_aschwarz_black.pdf,0,section,0.2,0.5,0.28571428571428575,0.4242424242424242
PdfAct,215.tar_1709.08977.gz_Quantum_pigeonhole_principle_as_a_violation_of_bivalence_black.pdf,0,section,0.07692307692307693,0.5,0.13333333333333336,0.23728813559322035
PdfAct,199.tar_1709.02618.gz_shapes20170915_Long_black.pdf,0,section,1.0,1.0,1.0,1.0
PdfAct,193.tar_1709.00312.gz_ms_black.pdf,1,section,0.75,0.75,0.75,0.9658119658119658
PdfAct,196.tar_1709.01212.gz_ijcai17_black.pdf,8,section,0.0,0.0,0.0,0.2307692307692308
PdfAct,215.tar_1709.08617.gz_waten_black.pdf,4,section,0.04938271604938271,0.4,0.0879120879120879,0.19282511210762338
PdfAct,213.tar_1709.07835.gz_OddFreqSilicene_arXiv2_black.pdf,2,section,0.0,0.0,0.0,0.12121212121212124
PdfAct,210.tar_1709.06725.gz_Complete_Dirac_black.pdf,1,section,0.0,0.0,0.0,0.03712296983758705
PdfAct,193.tar_1709.00195.gz_NdCeCoIn5_switching_v2_black.pdf,1,section,0.0,0.0,0.0,0.0
PdfAct,211.tar_1709.07268.gz_composite_hypothesis_black.pdf,2,section,0.0,0.0,0.0,0.09090909090909094
PdfAct,195.tar_1709.01079.gz_ms_black.pdf,3,section,1.0,1.0,1.0,1.0
