Tool,ID,Page,Label,SpatialDist
PdfAct,243.tar_1710.09221.gz_manuscript_black.pdf,6,section,"(0.55, 0.55, 0.55, 0.6555555555555556)"
PdfAct,233.tar_1710.05114.gz_AF_REG_v3_Hyndman_Kratsios_nc_black.pdf,0,section,"(0.023809523809523808, 0.012195121951219513, 0.5, 0.03439803439803441)"
PdfAct,245.tar_1710.10304.gz_iclr2018_black.pdf,2,section,0
PdfAct,238.tar_1710.07178.gz_Veronelli_ScalarLocExtent_new_black.pdf,14,section,"(0.08247422680412372, 0.04395604395604396, 0.6666666666666666, 0.11900191938579653)"
PdfAct,234.tar_1710.05359.gz_pu_smi_arXiv_20180212_black.pdf,9,section,"(0.016393442622950817, 0.008403361344537815, 0.3333333333333333, 0.062360801781737224)"
PdfAct,231.tar_1710.04052.gz_UWBTrajectory_black.pdf,0,section,"(0, 0, 0, 0.15384615384615385)"
PdfAct,240.tar_1710.08233.gz_GNS_black.pdf,13,section,"(0, 0, 0, 0.0393442622950819)"
PdfAct,243.tar_1710.09385.gz_FlaringStars_paper_black.pdf,0,section,"(0.00806451612903226, 0.0040650406504065045, 0.5, 0.016887816646562186)"
PdfAct,224.tar_1710.01450.gz_apstemplate_black.pdf,9,section,0
PdfAct,245.tar_1710.10348.gz_iclr2018_conference_black.pdf,2,section,0
PdfAct,232.tar_1710.04828.gz_Lattice2017_indicoID_NAME_black.pdf,1,section,0
PdfAct,236.tar_1710.06112.gz_CASICT_MLWS2017_black.pdf,6,section,"(0.5714285714285714, 0.5714285714285714, 0.5714285714285714, 0.75)"
PdfAct,233.tar_1710.05021.gz_scan-v17_black.pdf,28,section,0
PdfAct,236.tar_1710.06251.gz_JPCS_Final_Version_black.pdf,0,section,"(0.22222222222222224, 0.14285714285714285, 0.5, 0.44776119402985076)"
PdfAct,236.tar_1710.06242.gz_Perturbative_four_point_black.pdf,34,section,0
PdfAct,232.tar_1710.04822.gz_zhang_black.pdf,1,section,"(0.30434782608695654, 0.1794871794871795, 1.0, 0.30612244897959184)"
PdfAct,239.tar_1710.07441.gz_sample_black.pdf,8,section,"(0.28571428571428575, 0.2, 0.5, 0.44)"
PdfAct,241.tar_1710.08323.gz_TR_Bilayer_BEC-PRAsub_black.pdf,0,section,"(0, 0, 0, 0.042553191489361666)"
PdfAct,235.tar_1710.05684.gz_Stark-09-09-2018-torsion_generated_black.pdf,6,section,0
PdfAct,245.tar_1710.10352.gz_iclr2018_conference_black.pdf,1,section,0
PdfAct,239.tar_1710.07508.gz_utrecht2017_blume_black.pdf,6,section,"(0, 0, 0, 0.3571428571428571)"
PdfAct,241.tar_1710.08588.gz_kondoflatband_black.pdf,4,section,"(0.022988505747126436, 0.011627906976744186, 1.0, 0.03621495327102806)"
PdfAct,230.tar_1710.04041.gz_arxiv_black.pdf,1,section,"(0, 0, 0, 0.1649484536082474)"
PdfAct,237.tar_1710.06901.gz_ms_black.pdf,4,section,"(0.01324503311258278, 0.006802721088435374, 0.25, 0.07392197125256672)"
PdfAct,235.tar_1710.06046.gz_OL_black.pdf,0,section,0
PdfAct,246.tar_1710.10577.gz_neuralFlaw_black.pdf,2,section,"(0.15384615384615385, 0.125, 0.2, 0.5882352941176471)"
PdfAct,247.tar_1710.11041.gz_iclr2018_conference_black.pdf,1,section,0
PdfAct,220.tar_1710.00353.gz_C60_Manuscript_black.pdf,14,section,0
PdfAct,242.tar_1710.08974.gz_template_black.pdf,5,section,"(0, 0, 0, 0.21739130434782608)"
PdfAct,242.tar_1710.08638.gz_thesisBib_black.pdf,71,section,0
PdfAct,222.tar_1710.00866.gz_symsq.en24.08_black.pdf,10,section,"(0, 0, 0, 0.20242914979757087)"
PdfAct,243.tar_1710.09357.gz_fermionic_tensors_draft_arxiv_black.pdf,19,section,0
PdfAct,240.tar_1710.08063.gz_LS6arxiv_black.pdf,10,section,"(0, 0, 0, 0.33043478260869563)"
PdfAct,243.tar_1710.09529.gz_kaon_PDF_v10_black.pdf,1,section,0
PdfAct,234.tar_1710.05332.gz_regret_black.pdf,1,section,0
PdfAct,242.tar_1710.09040.gz_UGC4703_R2_black.pdf,0,section,0
PdfAct,232.tar_1710.04649.gz_continuous_prod_black.pdf,3,section,0
PdfAct,223.tar_1710.01169.gz_Template_black.pdf,0,section,"(0.125, 0.07142857142857142, 0.5, 0.2095238095238095)"
PdfAct,224.tar_1710.01524.gz_ms_black.pdf,10,section,"(0.5555555555555556, 0.5555555555555556, 0.5555555555555556, 0.65625)"
PdfAct,232.tar_1710.04660.gz_smarrnlecqg3_black.pdf,12,section,"(1.0, 1.0, 1.0, 1.0)"
PdfAct,231.tar_1710.04438.gz_NRS-SU3bifund-v1_black.pdf,45,section,0
PdfAct,247.tar_1710.10937.gz_gamma_self-conf_black.pdf,5,section,"(0.8000000000000002, 0.8, 0.8, 0.9655172413793103)"
PdfAct,243.tar_1710.09339.gz_Wpol_VBF2_jhep_black.pdf,23,section,0
PdfAct,245.tar_1710.10323.gz_PSP_JET_PAPER_APJ_ROUND2_FINAL_ARXIV_black.pdf,7,section,"(1.0, 1.0, 1.0, 1.0)"
PdfAct,234.tar_1710.05322.gz_sdam6_black.pdf,5,section,0
PdfAct,240.tar_1710.08304.gz_qexsphere_black.pdf,13,section,"(0, 0, 0, 0.12799999999999997)"
PdfAct,236.tar_1710.06443.gz_ms_black.pdf,15,section,"(1.0, 1.0, 1.0, 1.0)"
PdfAct,239.tar_1710.07542.gz_agmonstrick_black.pdf,34,section,"(0.021857923497267756, 0.011428571428571429, 0.25, 0.11224489795918373)"
PdfAct,246.tar_1710.10398.gz_Template_black.pdf,1,section,"(0.5405405405405405, 0.45454545454545453, 0.6666666666666666, 0.6554621848739495)"
PdfAct,220.tar_1710.00300.gz_Casimir-Polder_force_with_dissipation_with_corrections_black.pdf,2,section,"(0, 0, 0, 0.14814814814814808)"
PdfAct,231.tar_1710.04457.gz_DainGabach_black.pdf,21,section,"(0, 0, 0, 0.19178082191780818)"
PdfAct,238.tar_1710.07118.gz_focalplane_black.pdf,12,section,"(0, 0, 0, 0.08759124087591247)"
PdfAct,231.tar_1710.04288.gz_main_black.pdf,0,section,"(0.13333333333333336, 0.07692307692307693, 0.5, 0.2678571428571429)"
PdfAct,245.tar_1710.10078.gz_ASMPS-Karlovich-2017-04-05_black.pdf,0,section,"(0.0136986301369863, 0.006944444444444444, 0.5, 0.040983606557377074)"
PdfAct,221.tar_1710.00430.gz_ecff_black.pdf,13,section,"(0.30612244897959184, 0.16304347826086957, 2.5, 0.1573498964803312)"
PdfAct,239.tar_1710.07460.gz_ms_black.pdf,7,section,"(0, 0, 0, 0.04264392324093819)"
PdfAct,234.tar_1710.05375.gz_SimpleKTS_black.pdf,0,section,0
PdfAct,242.tar_1710.08638.gz_thesisBib_black.pdf,76,section,0
PdfAct,238.tar_1710.07209.gz_2DMicroToMacro_black.pdf,22,section,"(0.25, 0.25, 0.25, 0.5714285714285715)"
PdfAct,244.tar_1710.09815.gz_LCS-1_27_11-17_black.pdf,3,section,"(0, 0, 0, 0.13186813186813182)"
PdfAct,235.tar_1710.05923.gz_AdS5ArXivv2_black.pdf,36,section,"(0, 0, 0, 0.18018018018018012)"
PdfAct,239.tar_1710.07493.gz_struct17_black.pdf,35,section,"(1.0, 1.0, 1.0, 1.0)"
PdfAct,238.tar_1710.07123.gz_Paper2_101917_black.pdf,1,section,"(0, 0, 0, 0.20408163265306128)"
PdfAct,245.tar_1710.10293.gz_PPPP_black.pdf,2,section,0
PdfAct,243.tar_1710.09483.gz_Schmerling.Leung.Vollprecht.Pavone.ICRA18.ARXIV_black.pdf,3,section,"(0.42857142857142855, 0.42857142857142855, 0.42857142857142855, 0.6060606060606061)"
PdfAct,238.tar_1710.07168.gz_avsp2017_black.pdf,1,section,"(0.32, 0.2222222222222222, 0.5714285714285714, 0.36666666666666664)"
PdfAct,232.tar_1710.04660.gz_smarrnlecqg3_black.pdf,15,section,"(0.7499999999999999, 0.6, 1.0, 0.7714285714285714)"
