Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
PdfAct,15.tar_1402.0794.gz_AnandArazyMandayamNovGameSec2013CameraReady_black.pdf,3,table,0,0,0,0
PdfAct,26.tar_1402.6994.gz_Quantization_black.pdf,33,table,0,0,0,0
PdfAct,14.tar_1402.0402.gz_arxiv2_black.pdf,16,table,0,0,0,0
PdfAct,20.tar_1402.3303.gz_IJNME-PDD-sensitivity-revised-arxiv_black.pdf,29,table,0,0,0,0
PdfAct,23.tar_1402.5201.gz_twistedexpfinREV3_black.pdf,8,table,0,0,0,0
PdfAct,17.tar_1402.1760.gz_AnisotropicSNV2_black.pdf,7,table,0,0,0,0
PdfAct,23.tar_1402.5308.gz_paper_black.pdf,7,table,0,0,0,0
PdfAct,20.tar_1402.3146.gz_QED_sim_submitted_black.pdf,13,table,0,0,0,0
PdfAct,23.tar_1402.5263.gz_J1622_accepted_black.pdf,4,table,0,0,0,0
PdfAct,26.tar_1402.6855.gz_paper_hep_black.pdf,2,table,0,0,0,0
PdfAct,23.tar_1402.5335.gz_Jung_Simulations_of_a_model_for_Arxiv_black.pdf,1,table,0,0,0,0
PdfAct,25.tar_1402.6656.gz_LSD-SU4_black.pdf,5,table,0,0,0,0
PdfAct,23.tar_1402.5293.gz_baryonc_HQSS_black.pdf,15,table,0,0,0,0
PdfAct,17.tar_1402.1973.gz_softthresh_classification_rev_black.pdf,14,table,0,0,0,0
PdfAct,25.tar_1402.6411.gz_ANNIE_eoi_v3_black.pdf,11,table,0,0,0,0
PdfAct,21.tar_1402.3968.gz_nbarsnpa4_black.pdf,7,table,0,0,0,0
PdfAct,23.tar_1402.5068.gz_paper5_black.pdf,23,table,0,0,0,0
PdfAct,19.tar_1402.2980.gz_surveypaper_draft_revII_arxiv_black.pdf,2,table,0,0,0,0
PdfAct,23.tar_1402.5162.gz_ms_black.pdf,9,table,0,0,0,0
PdfAct,17.tar_1402.2239.gz_cdfAfb9mm_black.pdf,6,table,0,0,0,0
PdfAct,23.tar_1402.5100.gz_PPZ1_Bilateral_symmetry_and_Parsimonious_Games_in_MPT_black.pdf,14,table,0,0,0,0
PdfAct,21.tar_1402.4119.gz_DMline-prl-2arxiv_black.pdf,10,table,0,0,0,0
PdfAct,20.tar_1402.3608.gz_Xuan-CCC-arXiv_black.pdf,8,table,0,0,0,0
PdfAct,22.tar_1402.4925.gz_ms1670_black.pdf,1,table,0,0,0,0
PdfAct,25.tar_1402.6311.gz_raman4_black.pdf,3,table,0,0,0,0
PdfAct,24.tar_1402.5820.gz_AFM_RG_PRE_RESUBMIT_v8_black.pdf,6,table,0,0,0,0
PdfAct,26.tar_1402.7117.gz_MonowallsPhases_black.pdf,17,table,0,0,0,0
PdfAct,23.tar_1402.5045.gz_idgei14_black.pdf,5,table,0,0,0,0
PdfAct,20.tar_1402.3575.gz_bidding_arxiv_black.pdf,20,table,0,0,0,0
PdfAct,21.tar_1402.4464.gz_FixPoint_black.pdf,17,table,0,0,0,0
PdfAct,18.tar_1402.2492.gz_QuanRegv_arXiv_V1_black.pdf,24,table,0,0,0,0
PdfAct,25.tar_1402.6738.gz_ArxivStatisticalPapers_black.pdf,9,table,0,0,0,0
PdfAct,21.tar_1402.4485.gz_lag_black.pdf,11,table,0,0,0,0
PdfAct,16.tar_1402.1473.gz_partial_journal_black.pdf,12,table,0,0,0,0
PdfAct,15.tar_1402.1144.gz_selection_black.pdf,11,table,0,0,0,0
PdfAct,21.tar_1402.4292.gz_RED-arXiv-final_black.pdf,24,table,0,0,0,0
PdfAct,17.tar_1402.1707.gz_STE_QUEST_black.pdf,1,table,0,0,0,0
PdfAct,22.tar_1402.4852.gz_DelgadoInglada_ICFs_accepted_black.pdf,12,table,0,0,0,0
PdfAct,23.tar_1402.5368.gz_WP_template_2_black.pdf,34,table,0,0,0,0
PdfAct,24.tar_1402.6094.gz_hundertmark_ppps2013_black.pdf,2,table,0,0,0,0
PdfAct,17.tar_1402.2285.gz_MonojetEFT_black.pdf,25,table,0,0,0,0
PdfAct,23.tar_1402.5138.gz_benchmarkGeoinformatica_black.pdf,20,table,0,0,0,0
PdfAct,14.tar_1402.0134.gz_wholePaper-version51_black.pdf,15,table,0,0,0,0
PdfAct,21.tar_1402.4033.gz_arxiv14mmsb_black.pdf,7,table,0,0,0,0
PdfAct,14.tar_1402.0016.gz_3dquiverDEv2_black.pdf,6,table,0,0,0,0
PdfAct,26.tar_1402.7203.gz_jointSeg_black.pdf,22,table,0,0,0,0
PdfAct,23.tar_1402.5297.gz_BurgerLucka2014_black.pdf,13,table,0,0,0,0
PdfAct,15.tar_1402.0888.gz_paper_black.pdf,10,table,0,0,0,0
PdfAct,21.tar_1402.4454.gz_discrete_black.pdf,34,table,0,0,0,0
PdfAct,22.tar_1402.4539.gz_scfs_arxiv_black.pdf,42,table,0,0,0,0
PdfAct,20.tar_1402.3602.gz_ms_black.pdf,20,table,0,0,0,0
PdfAct,19.tar_1402.2956.gz_CUJET2.0_black.pdf,21,table,0,0,0,0
PdfAct,22.tar_1402.4818.gz_ms2_black.pdf,17,table,0,0,0,0
PdfAct,20.tar_1402.3246.gz_HasseWittArxiv_black.pdf,14,table,0,0,0,0
PdfAct,17.tar_1402.1782.gz_Bacon_third_final_black.pdf,6,table,0,0,0,0
PdfAct,19.tar_1402.2713.gz_BVS_TechReport_2014_black.pdf,4,table,0,0,0,0
PdfAct,17.tar_1402.2282.gz_paper_black.pdf,1,table,0,0,0,0
PdfAct,19.tar_1402.2877.gz_bigeometric_runge__Son_black.pdf,11,table,0,0,0,0
PdfAct,24.tar_1402.6058.gz_paper_022414_black.pdf,11,table,0,0,0,0
PdfAct,26.tar_1402.7024.gz_vphas-def-arxiv_black.pdf,9,table,0,0,0,0
PdfAct,15.tar_1402.0793.gz_ne20mg24_black.pdf,11,table,0,0,0,0
PdfAct,25.tar_1402.6626.gz_maintext_black.pdf,24,table,0,0,0,0
PdfAct,14.tar_1402.0306.gz_Be_TOSM_black.pdf,4,table,0,0,0,0
PdfAct,23.tar_1402.5093.gz_h3pqed10_black.pdf,11,table,0,0,0,0
PdfAct,21.tar_1402.4127.gz_YY2j_black.pdf,35,table,0,0,0,0
PdfAct,19.tar_1402.2699.gz_paper_black.pdf,8,table,0,0,0,0
PdfAct,19.tar_1402.2992.gz_hoIX_nustar_astroph_black.pdf,2,table,0,0,0,0
PdfAct,17.tar_1402.2253.gz_localisation2_black.pdf,20,table,0,0,0,0
PdfAct,14.tar_1402.0321.gz_positrons2014_black.pdf,16,table,0,0,0,0
PdfAct,23.tar_1402.5222.gz_HQsym_long_140221_black.pdf,48,table,0,0,0,0
PdfAct,20.tar_1402.3329.gz_main_black.pdf,24,table,0,0,0,0
PdfAct,22.tar_1402.4539.gz_scfs_arxiv_black.pdf,20,table,0,0,0,0
PdfAct,22.tar_1402.4931.gz_paper_black.pdf,3,table,0,0,0,0
PdfAct,21.tar_1402.4243.gz_gora_black.pdf,4,table,0,0,0,0
PdfAct,23.tar_1402.5045.gz_idgei14_black.pdf,3,table,0,0,0,0
PdfAct,25.tar_1402.6332.gz_Sterile_RESUB_Final_black.pdf,21,table,0,0,0,0
PdfAct,25.tar_1402.6250.gz_apflexibility_black.pdf,8,table,0,0,0,0
PdfAct,24.tar_1402.6102.gz_resub_KN_black.pdf,14,table,0,0,0,0
PdfAct,20.tar_1402.3136.gz___userfs_ez537_w2k_Desktop_Articolo_gruppo_ipercubico_zappa_black.pdf,12,table,0,0,0,0
PdfAct,23.tar_1402.5100.gz_PPZ1_Bilateral_symmetry_and_Parsimonious_Games_in_MPT_black.pdf,15,table,0,0,0,0
PdfAct,24.tar_1402.6138.gz_backbone_black.pdf,5,table,0,0,0,0
PdfAct,23.tar_1402.5444.gz_ensJCP_black.pdf,12,table,0,0,0,0
PdfAct,21.tar_1402.4170.gz_A1689SLWL_V6_black.pdf,19,table,0,0,0,0
PdfAct,23.tar_1402.5293.gz_baryonc_HQSS_black.pdf,14,table,0,0,0,0
PdfAct,24.tar_1402.5996.gz_draft25arxiv_black.pdf,4,table,0,0,0,0
PdfAct,24.tar_1402.6015.gz_gyounes1550_TimeResSpec_black.pdf,5,table,0,0,0,0
PdfAct,23.tar_1402.5293.gz_baryonc_HQSS_black.pdf,21,table,0,0,0,0
PdfAct,17.tar_1402.1877.gz_BCO-SCO_05022014_black.pdf,3,table,0,0,0,0
PdfAct,21.tar_1402.4512.gz_SOSLASSO_NR3_black.pdf,13,table,0,0,0,0
PdfAct,20.tar_1402.3545.gz_paper_black.pdf,10,table,0,0,0,0
PdfAct,16.tar_1402.1484.gz_EmiPsa13_black.pdf,1,table,0,0,0,0
PdfAct,25.tar_1402.6231.gz_DiscreteORF_v5_black.pdf,6,table,0,0,0,0
PdfAct,15.tar_1402.0877.gz_bab_v8_black.pdf,6,table,0,0,0,0
PdfAct,17.tar_1402.1778.gz_cross_analysis-TSMC-arxiv_black.pdf,6,table,0,0,0,0
PdfAct,15.tar_1402.1182.gz_manuscript_black.pdf,1,table,0,0,0,0
PdfAct,15.tar_1402.0697.gz_papermc_black.pdf,16,table,0,0,0,0
PdfAct,23.tar_1402.5603.gz_Spectrum_-_Revised_black.pdf,47,table,0,0,0,0
PdfAct,21.tar_1402.4238.gz_Paper-TW-Feb-14-0258.R1arxiv_black.pdf,27,table,0,0,0,0
PdfAct,17.tar_1402.2161.gz_manuscript3_black.pdf,5,table,0,0,0,0
PdfAct,16.tar_1402.1213.gz_Community_Detection_arXiv_black.pdf,20,table,0,0,0,0
PdfAct,25.tar_1402.6759.gz_Chitale_HiLiftPW2_Draft4_black.pdf,12,table,0,0,0,0
PdfAct,16.tar_1402.1374.gz_Fan20140428arxiv_black.pdf,1,table,0,0,0,0
PdfAct,21.tar_1402.4491.gz_ZBnpb1_black.pdf,28,table,0,0,0,0
PdfAct,24.tar_1402.5947.gz_Indirect_mixed_orbital_effects_IJMPD_black.pdf,33,table,0,0,0,0
PdfAct,14.tar_1402.0243.gz_submitted_version_black.pdf,14,table,0,0,0,0
PdfAct,25.tar_1402.6259.gz_gravitino_arxiv2_black.pdf,2,table,0,0,0,0
PdfAct,24.tar_1402.6023.gz_mT1201305_black.pdf,3,table,0,0,0,0
PdfAct,15.tar_1402.0793.gz_ne20mg24_black.pdf,10,table,0,0,0,0
PdfAct,17.tar_1402.1817.gz_rp_black.pdf,16,table,0,0,0,0
PdfAct,21.tar_1402.4127.gz_YY2j_black.pdf,41,table,0,0,0,0
PdfAct,17.tar_1402.2284.gz_KDAR_xsec_black.pdf,4,table,0,0,0,0
PdfAct,17.tar_1402.1817.gz_rp_black.pdf,11,table,0,0,0,0
PdfAct,24.tar_1402.6036.gz_master_black.pdf,22,table,0,0,0,0
PdfAct,20.tar_1402.3129.gz_RadHardPixel_black.pdf,4,table,0,0,0,0
PdfAct,25.tar_1402.6442.gz_Miteva_2013_black.pdf,10,table,0,0,0,0
PdfAct,23.tar_1402.5528.gz_NGC5580_black.pdf,3,table,0,0,0,0
PdfAct,23.tar_1402.5443.gz_arxiv_topic_div_black.pdf,2,table,0,0,0,0
PdfAct,14.tar_1402.0104.gz_Manuscript_black.pdf,4,table,0,0,0,0
