Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
Pdfact,91.tar_1407.5204.gz_peano_2014_black.pdf,5,equation,0,0,0,0
Pdfact,95.tar_1407.7344.gz_manuscript_1017_black.pdf,5,equation,0,0,0,0
Pdfact,91.tar_1407.5271.gz_EPL_G34867_revised_26_08_2015_black.pdf,4,equation,0,0,0,0
Pdfact,83.tar_1407.0824.gz_coorbit_abelian_shearlet_revision_black.pdf,20,equation,0,0,0,0
Pdfact,91.tar_1407.5028.gz_On_Integer_Additive_Set-Sequential_Graphs_black.pdf,2,equation,0,0,0,0
Pdfact,83.tar_1407.0982.gz_cellular_black.pdf,0,equation,0,0,0,0
Pdfact,84.tar_1407.1012.gz_FrobeniusArXiv_black.pdf,18,equation,0,0,0,0
Pdfact,89.tar_1407.4187.gz_Yahagi_3rdResub_black.pdf,2,equation,0,0,0,0
Pdfact,97.tar_1407.8463.gz_MAC_CF_full_black.pdf,8,equation,0,0,0,0
Pdfact,95.tar_1407.7452.gz_chiralextrapol_black.pdf,10,equation,0,0,0,0
Pdfact,88.tar_1407.3158.gz_standrewsPadRetourJul18_black.pdf,1,equation,0,0,0,0
Pdfact,94.tar_1407.6780.gz_phase_black.pdf,2,equation,0,0,0,0
Pdfact,91.tar_1407.4927.gz_Kira-HBE_black.pdf,60,equation,0,0,0,0
Pdfact,84.tar_1407.1639.gz_calculos_jesus_chaos_black.pdf,2,equation,0,0,0,0
Pdfact,94.tar_1407.6937.gz_prbv5_black.pdf,6,equation,0,0,0,0
Pdfact,87.tar_1407.2759.gz_transport_universality_severalmat_total_revised6_black.pdf,20,equation,0,0,0,0
Pdfact,97.tar_1407.8538.gz_notes_black.pdf,37,equation,0,0,0,0
Pdfact,95.tar_1407.7446.gz_KmcTT_RESUB_arxiv_black.pdf,0,equation,0,0,0,0
Pdfact,92.tar_1407.5649.gz_dynamicpersuasion08072014_black.pdf,17,equation,0,0,0,0
Pdfact,90.tar_1407.4499.gz_ms_v3_black.pdf,0,equation,0,0,0,0
Pdfact,86.tar_1407.2129.gz_ArtUJP_black.pdf,1,equation,0,0,0,0
Pdfact,86.tar_1407.2431.gz_Tkach_done_black.pdf,2,equation,0,0,0,0
Pdfact,93.tar_1407.6075.gz_KhanaferBasarTAC14-revised_black.pdf,19,equation,0,0,0,0
Pdfact,96.tar_1407.8092.gz_Volterra150927_black.pdf,12,equation,0,0,0,0
Pdfact,93.tar_1407.5943.gz_motion_by_weighted_curvature_black.pdf,1,equation,0,0,0,0
Pdfact,95.tar_1407.7242.gz_qm_black.pdf,1,equation,0,0,0,0
Pdfact,85.tar_1407.1695.gz_queered_black.pdf,13,equation,0,0,0,0
Pdfact,95.tar_1407.6977.gz_StationaryKPZ_6_27_2014_black.pdf,20,equation,0,0,0,0
Pdfact,92.tar_1407.5640.gz_paper_phys_lett_b_v5_arxiv_black.pdf,1,equation,0,0,0,0
Pdfact,85.tar_1407.1941.gz_KSRLS2arxiv_black.pdf,3,equation,0,0,0,0
Pdfact,85.tar_1407.2022.gz_erbay-NA-29-10-2015_black.pdf,6,equation,0,0,0,0
Pdfact,82.tar_1407.0025.gz_newaction_black.pdf,10,equation,0,0,0,0
Pdfact,86.tar_1407.2481.gz_random_scattering_2D_surface_black.pdf,19,equation,0,0,0,0
Pdfact,94.tar_1407.6638.gz_our_VF_article_black.pdf,2,equation,0,0,0,0
Pdfact,95.tar_1407.7161.gz_channel_black.pdf,6,equation,0,0,0,0
Pdfact,86.tar_1407.2290.gz_thesis_black.pdf,112,equation,0,0,0,0
Pdfact,82.tar_1407.0432.gz_gwm924_black.pdf,1,equation,0,0,0,0
Pdfact,95.tar_1407.7568.gz_RPS_July21_2014_black.pdf,4,equation,0,0,0,0
Pdfact,92.tar_1407.5347.gz_Tamed_Milstein_ArXiv_23Dec2015_black.pdf,43,equation,0,0,0,0
Pdfact,91.tar_1407.5299.gz_papernew_black.pdf,10,equation,0,0,0,0
Pdfact,91.tar_1407.5194.gz_Mixed-NLS-2_black.pdf,8,equation,0,0,0,0
Pdfact,92.tar_1407.5562.gz_KSPP2-0721_black.pdf,1,equation,0,0,0,0
Pdfact,85.tar_1407.2128.gz_NmG6hepv3_black.pdf,23,equation,0,0,0,0
Pdfact,94.tar_1407.6749.gz_FlucvdWLLNS_ACedit3_black.pdf,8,equation,0,0,0,0
Pdfact,90.tar_1407.4810.gz_cgDust_v3_black.pdf,11,equation,0,0,0,0
Pdfact,88.tar_1407.3466.gz_SMT_black.pdf,10,equation,0,0,0,0
Pdfact,97.tar_1407.8466.gz_asymptotic_theory_2D_1.9.2_black.pdf,10,equation,0,0,0,0
Pdfact,95.tar_1407.7164.gz_Article_to_Advances_in_Mathematics_ArXiv_black.pdf,10,equation,0,0,0,0
Pdfact,93.tar_1407.6276.gz_Shocks_survey_Version_1_black.pdf,65,equation,0,0,0,0
Pdfact,96.tar_1407.7701.gz_BEMWY_black.pdf,13,equation,0,0,0,0
Pdfact,94.tar_1407.6757.gz_quantum_signaling_game_arxiv_black.pdf,3,equation,0,0,0,0
Pdfact,85.tar_1407.2022.gz_erbay-NA-29-10-2015_black.pdf,1,equation,0,0,0,0
Pdfact,82.tar_1407.0025.gz_newaction_black.pdf,17,equation,0,0,0,0
Pdfact,84.tar_1407.1117.gz_rev2nd_TM_sub_black.pdf,5,equation,0,0,0,0
Pdfact,97.tar_1407.8238.gz_iPPA_mVI140801_black.pdf,1,equation,0,0,0,0
Pdfact,97.tar_1407.8245.gz_MPNP_20140708_black.pdf,19,equation,0,0,0,0
Pdfact,93.tar_1407.6187.gz_Shabani_Final__black.pdf,18,equation,0,0,0,0
Pdfact,87.tar_1407.2862.gz_imishellcrossver2_black.pdf,6,equation,0,0,0,0
Pdfact,83.tar_1407.0671.gz_140701_black.pdf,24,equation,0,0,0,0
Pdfact,89.tar_1407.4064.gz_HnZp_black.pdf,3,equation,0,0,0,0
Pdfact,87.tar_1407.3152.gz_Multiple.Sample.Arxiv.Submission.2014.07.11_black.pdf,58,equation,0,0,0,0
Pdfact,96.tar_1407.8120.gz_string2014_prd_black.pdf,28,equation,0,0,0,0
Pdfact,91.tar_1407.4892.gz_QCcomparison_black.pdf,13,equation,0,0,0,0
Pdfact,91.tar_1407.5223.gz_beryllium_black.pdf,10,equation,0,0,0,0
Pdfact,90.tar_1407.4513.gz_HitImmersion_black.pdf,5,equation,0,0,0,0
Pdfact,87.tar_1407.2721.gz_artos-report_black.pdf,1,equation,0,0,0,0
Pdfact,82.tar_1407.0290.gz_eusociality_arXiv2_black.pdf,8,equation,0,0,0,0
Pdfact,88.tar_1407.3367.gz_su2q-submitted-arxiv_black.pdf,21,equation,0,0,0,0
Pdfact,95.tar_1407.7118.gz_RenewalHawkesManuscript_black.pdf,4,equation,0,0,0,0
Pdfact,95.tar_1407.7211.gz_mip-ga-tr9807_black.pdf,2,equation,0,0,0,0
Pdfact,91.tar_1407.5161.gz_TWR_channel_estimation_v12_ArXiv_black.pdf,6,equation,0,0,0,0
Pdfact,84.tar_1407.1160.gz_bimetricadscft_black.pdf,11,equation,0,0,0,0
Pdfact,87.tar_1407.2638.gz_CH-ARMA_black.pdf,27,equation,0,0,0,0
Pdfact,87.tar_1407.2851.gz_QSH_qubit_black.pdf,1,equation,0,0,0,0
Pdfact,88.tar_1407.3424.gz_fiolhais_black.pdf,3,equation,0,0,0,0
Pdfact,85.tar_1407.1985.gz_jj14arx_black.pdf,7,equation,0,0,0,0
Pdfact,87.tar_1407.2940.gz_dynnlops_black.pdf,4,equation,0,0,0,0
Pdfact,90.tar_1407.4383.gz_inverseBHmodiFeb2015v2_black.pdf,4,equation,0,0,0,0
Pdfact,88.tar_1407.3233.gz_DiracKleinGordon-Chebyshev_black.pdf,19,equation,0,0,0,0
Pdfact,95.tar_1407.7199.gz_model-new-002_black.pdf,18,equation,0,0,0,0
Pdfact,92.tar_1407.5685.gz_GS_orbifold_final_black.pdf,65,equation,0,0,0,0
Pdfact,83.tar_1407.0665.gz_aztec_black.pdf,30,equation,0,0,0,0
Pdfact,94.tar_1407.6780.gz_phase_black.pdf,5,equation,0,0,0,0
Pdfact,90.tar_1407.4418.gz_MultiplicativeChaos_black.pdf,26,equation,0,0,0,0
Pdfact,90.tar_1407.4591.gz_Brightness_ARXIV_black.pdf,59,equation,0,0,0,0
Pdfact,83.tar_1407.0673.gz_Mass-Boundary-arXiv_black.pdf,9,equation,0,0,0,0
Pdfact,91.tar_1407.5089.gz_paper_v2_black.pdf,12,equation,0,0,0,0
Pdfact,90.tar_1407.4499.gz_ms_v3_black.pdf,7,equation,0,0,0,0
Pdfact,83.tar_1407.0782.gz_paper7_black.pdf,14,equation,0,0,0,0
Pdfact,93.tar_1407.6123.gz_fit-LHT_black.pdf,4,equation,0,0,0,0
Pdfact,89.tar_1407.3821.gz_Ptashnyk_2015_arxiv_black.pdf,1,equation,0,0,0,0
Pdfact,84.tar_1407.1113.gz_glass_black.pdf,5,equation,0,0,0,0
Pdfact,88.tar_1407.3335.gz_manuscript_black.pdf,7,equation,0,0,0,0
Pdfact,97.tar_1407.8249.gz_Submit_to_Arxiv_black.pdf,38,equation,0,0,0,0
Pdfact,91.tar_1407.4920.gz_Kira-Xpic_black.pdf,19,equation,0,0,0,0
Pdfact,86.tar_1407.2597.gz_ChLCMPRevision_black.pdf,40,equation,0,0,0,0
Pdfact,88.tar_1407.3421.gz_stochastic_linear_bridges_black.pdf,8,equation,0,0,0,0
Pdfact,90.tar_1407.4512.gz_CallAuction_black.pdf,7,equation,0,0,0,0
