Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
Pdfact,97.tar_1804.03212.gz_Oka_Kitamura_arxiv_v1_black.pdf,5,footer,0.967741935483871,1.0,0.9836065573770492,0.9952153110047847
Pdfact,97.tar_1804.03259.gz_su3_paper_1804_black.pdf,10,footer,0.0,0.0,0.0,0.027027027027027088
Pdfact,89.tar_1804.00583.gz_stamatellos_black.pdf,0,footer,0.2857142857142857,1.0,0.4444444444444445,0.7191011235955057
Pdfact,89.tar_1804.00616.gz_CDM_black.pdf,1,footer,0.5526315789473685,0.5526315789473685,0.5526315789473685,0.7021546261089988
Pdfact,97.tar_1804.03203.gz_alend_black.pdf,34,footer,0.0,0.0,0.0,0.010309278350515427
Pdfact,99.tar_1804.04041.gz_sqcvty_black.pdf,9,footer,0.0,0.0,0.0,0.10798122065727696
PdfAct,93.tar_1804.02045.gz_approx_hypercube_arxiv_black.pdf,10,footer,0.0,0.0,0.0,0.0
Pdfact,94.tar_1804.02437.gz_VDP_black.pdf,0,footer,0.0,0.0,0.0,0.0
Pdfact,96.tar_1804.03073.gz_vb_JCAP_040618_black.pdf,10,footer,0.0,0.0,0.0,0.02884615384615387
Pdfact,92.tar_1804.01650.gz_main_black.pdf,0,footer,0.8333333333333334,1.0,0.9090909090909091,0.9635036496350365
Pdfact,91.tar_1804.01236.gz_ms_black.pdf,3,footer,0.0,0.0,0.0,0.3137254901960784
Pdfact,97.tar_1804.03549.gz_braid_1-cocycles_black.pdf,0,footer,0.0,0.0,0.0,0.010928961748633838
Pdfact,97.tar_1804.03475.gz_massive_IoT-connectivity_black.pdf,0,footer,0.203125,0.3939393939393939,0.26804123711340205,0.37155297532656023
Pdfact,93.tar_1804.02179.gz_BT28v1_black.pdf,31,footer,0.0,0.0,0.0,0.025477707006369456
Pdfact,88.tar_1804.00163.gz_thesis_black.pdf,8,footer,0.0,0.0,0.0,0.11578947368421055
Pdfact,91.tar_1804.01470.gz_DT-d-BSQ-10_black.pdf,0,footer,0.0,0.0,0.0,0.0
Pdfact,94.tar_1804.02463.gz_iros18_paper_black.pdf,6,footer,0.23529411764705882,0.32,0.2711864406779661,0.38333333333333336
Pdfact,94.tar_1804.02397.gz_mellin8supercharges_black.pdf,11,footer,0.0,0.0,0.0,0.012738853503184657
Pdfact,96.tar_1804.03033.gz_template_black.pdf,0,footer,0.0,0.0,0.0,0.20779220779220778
Pdfact,90.tar_1804.00949.gz_R4_black.pdf,2,footer,0.004424778761061947,0.004424778761061947,0.004424778761061947,0.0016583747927030857
Pdfact,92.tar_1804.01814.gz_testlab-testbed-infrastructure_black.pdf,2,footer,0.0,0.0,0.0,0.1659751037344398
Pdfact,96.tar_1804.03031.gz_gamma_black.pdf,1,footer,0.14754098360655737,0.14754098360655737,0.14754098360655737,0.2496714848883049
PdfAct,90.tar_1804.00783.gz_connected-sum_dim3_black.pdf,9,footer,0.0,0.0,0.0,0.0
Pdfact,88.tar_1804.00106.gz_Equivalence_Ellipsoid_Intersection_arXiv__black.pdf,0,footer,0.0,0.0,0.0,0.005361930294906187
Pdfact,91.tar_1804.01341.gz_arXiv_black.pdf,5,footer,0.0,0.0,0.0,0.16455696202531642
Pdfact,97.tar_1804.03356.gz_sumfree_black.pdf,11,footer,0.0625,0.1111111111111111,0.08,0.3768115942028985
Pdfact,90.tar_1804.01014.gz_4_Chem_Pot4_black.pdf,14,footer,0.9583333333333334,1.0,0.9787234042553191,0.966542750929368
Pdfact,89.tar_1804.00514.gz_DL_conf_black.pdf,0,footer,0.19658119658119658,0.22549019607843138,0.2100456621004566,0.37763157894736843
Pdfact,91.tar_1804.01508.gz_main_black.pdf,0,footer,0.0,0.0,0.0,0.0
Pdfact,96.tar_1804.03073.gz_vb_JCAP_040618_black.pdf,4,footer,0.0,0.0,0.0,0.00902934537246054
Pdfact,92.tar_1804.01534.gz_NRCFT_black.pdf,6,footer,0.288135593220339,0.723404255319149,0.4121212121212121,0.3343166175024582
Pdfact,92.tar_1804.01750.gz_nstar_JUHYUN_black.pdf,3,footer,0.8888888888888888,0.9230769230769231,0.9056603773584906,0.9568106312292359
Pdfact,89.tar_1804.00355.gz_mconvexJune2018Arxiv_black.pdf,0,footer,0.0,0.0,0.0,0.0018621973929236902
