Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
PdfAct,44.tar_1404.2332.gz_2convex_black.pdf,21,list,0,0,0,0
PdfAct,51.tar_1404.6465.gz_A_N-SIDIS-new_black.pdf,7,list,0,0,0,0
PdfAct,47.tar_1404.3816.gz_Kalman_black.pdf,7,list,0,0,0,0
PdfAct,52.tar_1404.7306.gz_IRNN_black.pdf,1,list,0,0,0,0
PdfAct,51.tar_1404.6821.gz_twom5_black.pdf,4,list,0,0,0,0
PdfAct,53.tar_1404.7736.gz_paper_double_black.pdf,1,list,0,0,0,0
PdfAct,50.tar_1404.6157.gz_ot-str-submission-oct10_black.pdf,76,list,0,0,0,0
PdfAct,41.tar_1404.0108.gz_mack1_black.pdf,16,list,0,0,0,0
PdfAct,48.tar_1404.4702.gz_selfbound-main_black.pdf,11,list,0,0,0,0
PdfAct,52.tar_1404.7227.gz_main_black.pdf,16,list,0,0,0,0
PdfAct,44.tar_1404.2319.gz_ur_black.pdf,20,list,0,0,0,0
PdfAct,47.tar_1404.3737.gz_description_black.pdf,29,list,0,0,0,0
PdfAct,47.tar_1404.3767.gz_Roth__Exact_description__2014_arXiv_black.pdf,15,list,0,0,0,0
PdfAct,43.tar_1404.1521.gz_GPU_paper_black.pdf,3,list,0,0,0,0
PdfAct,45.tar_1404.2574.gz_hodge_black.pdf,8,list,0,0,0,0
PdfAct,42.tar_1404.0962.gz_RademacherRevision6_black.pdf,30,list,0,0,0,0
PdfAct,48.tar_1404.4488.gz_Gendulphe-RayonInjectivite9_black.pdf,4,list,0,0,0,0
PdfAct,44.tar_1404.2258.gz_4userMxN_black.pdf,14,list,0,0,0,0
PdfAct,53.tar_1404.7588.gz_paper_black.pdf,46,list,0,0,0,0
PdfAct,45.tar_1404.2973.gz_Time_Discrete_Approximation_of_Weak_Solutions_for_Stochastic_Equations_of_Geophyxial_Fluid_Dynamics_and_Applications_black.pdf,40,list,0,0,0,0
PdfAct,45.tar_1404.2957.gz_GAM_index3_black.pdf,35,list,0,0,0,0
PdfAct,42.tar_1404.0946.gz_cervantes_desantiago_enero_15_con_biblio_black.pdf,6,list,0,0,0,0
PdfAct,43.tar_1404.1622.gz_MUMAC_Survey_black.pdf,23,list,0,0,0,0
PdfAct,51.tar_1404.6783.gz_OGrady05_black.pdf,37,list,0,0,0,0
PdfAct,42.tar_1404.0605.gz_note_black.pdf,49,list,0,0,0,0
