Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
PdfAct,91.tar_1407.5204.gz_peano_2014_black.pdf,5,paragraph,0.7336258239272023,0.8443647450002679,0.9795372840295378,0.7717128254726332
PdfAct,91.tar_1407.4901.gz_Mod_white2_black.pdf,3,paragraph,0.9793722610745581,0.9018251301187582,0.9590107530721044,0.8130087010135639
PdfAct,95.tar_1407.7209.gz_group2b_pol_black.pdf,8,paragraph,0.8107294374005665,0.8034812965924171,0.7508599821412634,0.925196307445488
PdfAct,95.tar_1407.7344.gz_manuscript_1017_black.pdf,5,paragraph,0.938024576507571,0.9049067810920248,0.9000178997631167,0.8470718499824923
PdfAct,91.tar_1407.5271.gz_EPL_G34867_revised_26_08_2015_black.pdf,4,paragraph,0.7383915773429816,0.8981613355307367,0.9363713612830695,0.964638275460609
PdfAct,83.tar_1407.0824.gz_coorbit_abelian_shearlet_revision_black.pdf,20,paragraph,0.6030207857731078,0.943938083617885,0.869163563063173,0.9145792972074416
PdfAct,86.tar_1407.2139.gz_revised_black.pdf,19,paragraph,0.7993466771693492,0.9335886155178308,0.9588887018826752,0.7500911145923057
PdfAct,91.tar_1407.4953.gz_Phase_Transition_in_Power_Grid_Robustness_Revised_black.pdf,15,paragraph,0.6494998396801247,0.9268425905563578,0.9909239002213824,0.869501282645296
PdfAct,91.tar_1407.5028.gz_On_Integer_Additive_Set-Sequential_Graphs_black.pdf,2,paragraph,0.6800278968027351,0.9555664441678707,0.8172243492615578,0.8792235226775599
PdfAct,83.tar_1407.0643.gz_maxgamehg_black.pdf,14,paragraph,0.6545120810095099,0.872533868172899,0.982341614880887,0.9715997514751764
PdfAct,94.tar_1407.6773.gz_main_black.pdf,5,paragraph,0.9117881170832038,0.8191155771212205,0.9767238597332064,0.7740084214510194
PdfAct,83.tar_1407.0982.gz_cellular_black.pdf,0,paragraph,0.7160524111658854,0.8592826718553529,0.974000700214314,0.75745936343659
PdfAct,84.tar_1407.1012.gz_FrobeniusArXiv_black.pdf,18,paragraph,0.9545849149103391,0.8596736708450783,0.8499122840566903,0.7441353658024707
PdfAct,90.tar_1407.4390.gz_8._O_Grady_-_A_preliminary_threshold_model_black.pdf,23,paragraph,0.605086753681328,0.9322678022662476,0.7217022822393843,0.7419744726046295
PdfAct,87.tar_1407.3097.gz_slice_black.pdf,6,paragraph,0.7824159213029555,0.9149139390347059,0.7955562450370449,0.8346511410028765
PdfAct,82.tar_1407.0452.gz_ms_black.pdf,3,paragraph,0.6355551876016307,0.9912069158034243,0.9263412114918441,0.9351382184122853
PdfAct,84.tar_1407.1107.gz_Jen-QIBilip-ARXIV_black.pdf,15,paragraph,0.6136651654542216,0.908101825922638,0.8830893485585651,0.9562618615869419
PdfAct,89.tar_1407.4187.gz_Yahagi_3rdResub_black.pdf,2,paragraph,0.8565431960696206,0.9530436405069482,0.9346706120669144,0.7866341139151306
PdfAct,97.tar_1407.8463.gz_MAC_CF_full_black.pdf,8,paragraph,0.7180771986163033,0.8360103790304738,0.9198592238255018,0.7914087997275506
PdfAct,95.tar_1407.7452.gz_chiralextrapol_black.pdf,10,paragraph,0.7850748521401115,0.9479312163202598,0.7771041508550057,0.8735725333587079
PdfAct,83.tar_1407.0640.gz_Magazine_Flying_Relays_black.pdf,1,paragraph,0.9126227077716471,0.8316712417317865,0.7118909288716198,0.9167458300196607
PdfAct,88.tar_1407.3158.gz_standrewsPadRetourJul18_black.pdf,1,paragraph,0.908014884523819,0.8436986047334618,0.7772429262195526,0.7629945393761711
PdfAct,94.tar_1407.6780.gz_phase_black.pdf,2,paragraph,0.7954939910447436,0.9472705746851979,0.8426260482593708,0.7842626217435272
PdfAct,92.tar_1407.5628.gz_shockwavesjhep_black.pdf,2,paragraph,0.8671245140609399,0.9282370654002472,0.9443131681316711,0.8878338373255655
PdfAct,82.tar_1407.0059.gz_gravreview48_black.pdf,0,paragraph,0.793192082791175,0.8952498066386387,0.99749501057472,0.7436146833187673
PdfAct,84.tar_1407.1154.gz_ExtendedMIR_AGN_final_black.pdf,0,paragraph,0.7186820597778574,0.8043620878956659,0.8965144832686263,0.8973791576748105
PdfAct,91.tar_1407.4927.gz_Kira-HBE_black.pdf,60,paragraph,0.6827377623079747,0.8216725938519561,0.9471721352308301,0.8883564929546709
PdfAct,84.tar_1407.1639.gz_calculos_jesus_chaos_black.pdf,2,paragraph,0.8726361667548224,0.8056076484301143,0.9872053523056799,0.8792078444348262
PdfAct,94.tar_1407.6937.gz_prbv5_black.pdf,6,paragraph,0.6057113882045835,0.9317490983385837,0.7072004994693505,0.9184749549852927
PdfAct,94.tar_1407.6864.gz_ms_astroph_black.pdf,7,paragraph,0.6731257874332902,0.9747780205498778,0.8276937664530151,0.8795641115192241
PdfAct,87.tar_1407.2759.gz_transport_universality_severalmat_total_revised6_black.pdf,20,paragraph,0.6150727549471519,0.8130019798533414,0.9139705398054995,0.7706384718072351
PdfAct,89.tar_1407.3871.gz_immersedLagArxiv3_black.pdf,50,paragraph,0.6925475262143941,0.8760118608848655,0.9645226022359219,0.7215518130834292
PdfAct,95.tar_1407.7318.gz_AKlesmanVSarajedini2_black.pdf,14,paragraph,0.9608781549746458,0.977940160323715,0.8973634235301171,0.8095568652446599
PdfAct,97.tar_1407.8538.gz_notes_black.pdf,37,paragraph,0.8381516653675796,0.9919782578372679,0.7331273090580113,0.8080340803433509
PdfAct,86.tar_1407.2555.gz_article-marois-SPIE-astroph_black.pdf,7,paragraph,0.8192594534643904,0.9973856841913964,0.9939020402370506,0.7937725510138923
PdfAct,95.tar_1407.7446.gz_KmcTT_RESUB_arxiv_black.pdf,0,paragraph,0.7732561303318399,0.8097183437555847,0.9780029431522771,0.7188835853029099
PdfAct,92.tar_1407.5649.gz_dynamicpersuasion08072014_black.pdf,17,paragraph,0.698461400561486,0.9105939819932518,0.9413901843037306,0.8252591580596504
PdfAct,90.tar_1407.4499.gz_ms_v3_black.pdf,0,paragraph,0.6412426518641446,0.8914644007933793,0.7428234084500998,0.8884522437512722
PdfAct,86.tar_1407.2129.gz_ArtUJP_black.pdf,1,paragraph,0.6531361901521677,0.8383878391443594,0.9819515560877581,0.7505039205024682
PdfAct,86.tar_1407.2431.gz_Tkach_done_black.pdf,2,paragraph,0.6053022788584361,0.9438710176492755,0.8221143974293941,0.9260913271537186
PdfAct,93.tar_1407.6075.gz_KhanaferBasarTAC14-revised_black.pdf,19,paragraph,0.8441978066383777,0.8123206167851177,0.7794988400020163,0.9802817550581993
PdfAct,93.tar_1407.6353.gz_Helical_Chi_Rev7_black.pdf,26,paragraph,0.9553480798236836,0.988830048997076,0.8722252738404545,0.8039133157446859
PdfAct,94.tar_1407.6680.gz_Anand_LaIrSi3_Revised_black.pdf,6,paragraph,0.9143697820265401,0.9351804550416584,0.8433615842145123,0.8053008091092182
PdfAct,89.tar_1407.4017.gz_double_black.pdf,10,paragraph,0.8115583008902588,0.9007197974690014,0.9988051187176616,0.7666608368311594
PdfAct,89.tar_1407.3723.gz_GBG_Massey_black.pdf,3,paragraph,0.861614814238498,0.9070369622341199,0.9217383832301209,0.9198843804253485
PdfAct,96.tar_1407.8092.gz_Volterra150927_black.pdf,12,paragraph,0.6393913434759557,0.8536095194941306,0.889273687215866,0.9558620828291609
PdfAct,93.tar_1407.5943.gz_motion_by_weighted_curvature_black.pdf,1,paragraph,0.7510496453129959,0.8101148257628527,0.7503800048695063,0.7071940300839901
PdfAct,82.tar_1407.0102.gz_ostwald_black.pdf,0,paragraph,0.8977372166896136,0.8643511471973135,0.897173888464079,0.9999832278841623
PdfAct,89.tar_1407.3838.gz_arxiv_2_black.pdf,21,paragraph,0.7276611861832029,0.8516427228615303,0.7759545074820964,0.805030795266662
PdfAct,95.tar_1407.7242.gz_qm_black.pdf,1,paragraph,0.7844687282471571,0.8051751195343066,0.7104932087229862,0.7322255111424775
PdfAct,85.tar_1407.1695.gz_queered_black.pdf,13,paragraph,0.9488690432986131,0.9852404020309093,0.7183232189265478,0.9437672272247517
PdfAct,95.tar_1407.6977.gz_StationaryKPZ_6_27_2014_black.pdf,20,paragraph,0.7738632004421554,0.8676433272950322,0.888773979908321,0.8366741136641145
PdfAct,95.tar_1407.7164.gz_Article_to_Advances_in_Mathematics_ArXiv_black.pdf,17,paragraph,0.842700202559081,0.8183405647670929,0.9038160195641001,0.7738482470725805
PdfAct,92.tar_1407.5640.gz_paper_phys_lett_b_v5_arxiv_black.pdf,1,paragraph,0.9468036324875858,0.8493663404675774,0.9208924848408546,0.8834231774465049
PdfAct,88.tar_1407.3240.gz_hk_lbm30_black.pdf,40,paragraph,0.7672128702472303,0.8118180270640085,0.9107581917653724,0.9809088698972535
PdfAct,85.tar_1407.1941.gz_KSRLS2arxiv_black.pdf,3,paragraph,0.8732446803427947,0.8625323130011056,0.8188181627762552,0.8654797020169198
PdfAct,90.tar_1407.4719.gz_ArXive2_black.pdf,17,paragraph,0.8877107813433076,0.9339957734340609,0.8310626624734274,0.931568275044492
PdfAct,90.tar_1407.4389.gz_paper_black.pdf,6,paragraph,0.9890601205730061,0.9932923006931733,0.9882298429425096,0.9398632005621463
PdfAct,94.tar_1407.6609.gz_permutahedron_v10_black.pdf,31,paragraph,0.8890594792772668,0.8650269929894632,0.9316232188538447,0.7074906681006481
PdfAct,94.tar_1407.6531.gz_triangleIsk4Free_black.pdf,2,paragraph,0.6506892976119976,0.9632675518749411,0.7073283182242757,0.9682376408078341
PdfAct,85.tar_1407.2022.gz_erbay-NA-29-10-2015_black.pdf,6,paragraph,0.9960801295077564,0.9014699033328949,0.7323646156779798,0.7006686765397876
PdfAct,84.tar_1407.1631.gz_paper_black.pdf,8,paragraph,0.9605737873395864,0.8915170896362286,0.7383853770707761,0.7463661736705461
PdfAct,93.tar_1407.5947.gz_main_black.pdf,0,paragraph,0.9757808154587562,0.9115017202596043,0.7892573475651536,0.995965854216545
PdfAct,87.tar_1407.2975.gz_illumination_black.pdf,18,paragraph,0.9821295301348769,0.9317614793443681,0.865620031538557,0.8615087563504374
PdfAct,84.tar_1407.1117.gz_rev2nd_TM_sub_black.pdf,2,paragraph,0.837950892919159,0.8920900434809493,0.8502998655184839,0.8972580208318321
PdfAct,86.tar_1407.2526.gz_article_Klepp_black.pdf,26,paragraph,0.9088026908998166,0.9867783724531813,0.7015242883294763,0.7899374676329464
PdfAct,82.tar_1407.0025.gz_newaction_black.pdf,10,paragraph,0.6806013282902839,0.8175533950751551,0.9598268006941424,0.8827959974332016
PdfAct,88.tar_1407.3666.gz_MEMSparabolic_rev1d_black.pdf,25,paragraph,0.6059033910658808,0.9295211364091195,0.8275730581816007,0.854273469782465
PdfAct,86.tar_1407.2481.gz_random_scattering_2D_surface_black.pdf,19,paragraph,0.8378892878279343,0.8103839908436398,0.9570814247110516,0.8221690548393863
PdfAct,94.tar_1407.6638.gz_our_VF_article_black.pdf,2,paragraph,0.9693439083227603,0.8799987225147833,0.8625964207370576,0.7786108831984578
PdfAct,86.tar_1407.2411.gz_paper_arxiv_v3_black.pdf,14,paragraph,0.7928087501668277,0.888695175164014,0.9636934747436836,0.8444791169908743
PdfAct,85.tar_1407.1767.gz_lk_mass_proxy_2014_black.pdf,0,paragraph,0.7697290072814497,0.8370178343395781,0.988017461919229,0.739908148280776
PdfAct,95.tar_1407.7161.gz_channel_black.pdf,6,paragraph,0.7241067796445755,0.9917034943777466,0.9838031601129213,0.7773819664798379
PdfAct,86.tar_1407.2290.gz_thesis_black.pdf,112,paragraph,0.6674724458775386,0.8434220269133204,0.7496926934039421,0.9543445702707363
PdfAct,91.tar_1407.5213.gz_susy-so-qopt7_black.pdf,0,paragraph,0.9814242312902658,0.8773966216394292,0.9827074891763936,0.9878309678495243
PdfAct,94.tar_1407.6625.gz_3circs_black.pdf,18,paragraph,0.9842801621032573,0.9139163413448727,0.9547082915733823,0.956775775380153
PdfAct,82.tar_1407.0432.gz_gwm924_black.pdf,1,paragraph,0.83312793800446,0.8066694321210292,0.7571099561845824,0.8845809690992745
PdfAct,95.tar_1407.7568.gz_RPS_July21_2014_black.pdf,4,paragraph,0.72153938913855,0.9629965261151787,0.8622188295643478,0.8241269551982938
PdfAct,82.tar_1407.0290.gz_eusociality_arXiv2_black.pdf,27,paragraph,0.7681124533892796,0.939914319704842,0.824784908395849,0.9953275825408248
PdfAct,92.tar_1407.5347.gz_Tamed_Milstein_ArXiv_23Dec2015_black.pdf,43,paragraph,0.9432244352710566,0.8347918565279906,0.8585836676931966,0.7061290594747311
