Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
PdfAct,23.tar_1602.02934.gz_batchkmeans_black.pdf,9,reference,0.3415863202324131,0.06420265156956342,0.1089339163724981,0.1740064446831364
PdfAct,29.tar_1602.05593.gz_GBgravityREVISED_black.pdf,25,reference,0.10667223366073295,0.06891032719318047,0.109284863303154,0.1709285146039322
PdfAct,30.tar_1602.06595.gz_Feller_Greif_Miratrix_Pillai_DRAFT_2_19_2016_Arxiv_black.pdf,26,reference,0.5332992383269164,0.23716407533373374,0.3810563011987004,0.3531430354078926
PdfAct,26.tar_1602.04155.gz_MBQC_GroupCohomology_black.pdf,12,reference,0.10954520691043818,0.06566679170296352,0.1098101951566726,0.1038268506900878
PdfAct,28.tar_1602.05176.gz_ms_black.pdf,28,reference,0,0,0.0,0.0
PdfAct,29.tar_1602.05699.gz_aaai2016-Paper_1249_black.pdf,6,reference,0,0,0.0,0.0
PdfAct,23.tar_1602.02580.gz_FeSe-ML-11-1-2018-PR_black.pdf,6,reference,0,0,0.0,0.0
PdfAct,23.tar_1602.02737.gz_CovEst_outliers_TSP_revision_arXiv_black.pdf,10,reference,0,0,0.0,0.0
PdfAct,22.tar_1602.02367.gz_draft_v4_review_black.pdf,4,reference,0,0,0.0,0.0
PdfAct,22.tar_1602.02211.gz_Fuzzy_Maximum_Satisfiability_black.pdf,7,reference,0.2076835483316836,0.061519627667547226,0.1062896583172144,0.0854961832061069
PdfAct,25.tar_1602.03790.gz_bhbhB_black.pdf,11,reference,0,0,0.0,0.0
PdfAct,24.tar_1602.03110.gz_holistic_im_arxiv_black.pdf,15,reference,0.33092824116084685,0.06981722036122859,0.1086869329911238,0.1876424411243353
PdfAct,28.tar_1602.05455.gz_CGM1_black.pdf,27,reference,0.5544627135443555,0.24297622178477207,0.460587838890633,0.430607966457023
PdfAct,24.tar_1602.03244.gz_elsarticle-template-1-num_black.pdf,18,reference,0,0,0.0,0.0
PdfAct,23.tar_1602.02604.gz_Armon_black.pdf,8,reference,0,0,0.0,0.0
PdfAct,31.tar_1602.07049.gz_Limited_Tomography_plain_black.pdf,13,reference,0.3633749291755012,0.11879044287360706,0.5615744101196569,0.4539762053850971
PdfAct,21.tar_1602.01863.gz_interp_black.pdf,25,reference,0,0,0.0,0.0
PdfAct,33.tar_1602.07612.gz_QRW_black.pdf,4,reference,0,0,0.0,0.0
PdfAct,26.tar_1602.04312.gz_multifreq_final_black.pdf,24,reference,0.5495393916029518,0.24276925062070498,0.4600243688053566,0.4693536121673003
PdfAct,28.tar_1602.05224.gz_draft1_black.pdf,10,reference,0.5237960703636824,0.21258198208995266,0.4357737649990154,0.449678800856531
PdfAct,24.tar_1602.03335.gz_SCWO_resubmission_black.pdf,6,reference,0,0,0.0,0.0
PdfAct,31.tar_1602.07049.gz_Limited_Tomography_plain_black.pdf,14,reference,0.5508922153362071,0.2472207903833323,0.3566867467926821,0.4601976499883278
PdfAct,29.tar_1602.05553.gz_Hix_Piaski2015_black.pdf,11,reference,0,0,0.0,0.0
PdfAct,34.tar_1602.08089.gz_SPT-main-arXiv-v2_black.pdf,13,reference,0,0,0.0,0.0
PdfAct,33.tar_1602.07667.gz_AAMAS2016_arXiv_v2_black.pdf,28,reference,0.3429997546311875,0.13061776808520392,0.8241094617967206,0.9100156494522692
PdfAct,25.tar_1602.03672.gz_Cubics_JGP_v4_black.pdf,35,reference,0,0,0.0,0.0
PdfAct,33.tar_1602.07875.gz_dzhioev_black.pdf,20,reference,0,0,0.0,0.0
PdfAct,25.tar_1602.03681.gz_ssa_black.pdf,4,reference,0.5791258851933779,0.2316783124048025,0.5340720872212976,0.4860597917366476
PdfAct,30.tar_1602.06645.gz_3D_black.pdf,6,reference,0,0,0.0,0.0
PdfAct,29.tar_1602.05879.gz_thuy8_black.pdf,13,reference,0,0,0.0,0.0
PdfAct,33.tar_1602.07789.gz_Time-resolved_measurement_of_quadrupole_wake-resubmission_black.pdf,7,reference,0,0,0.0,0.0
PdfAct,21.tar_1602.01711.gz_TSC_Bake_Off_black.pdf,14,reference,0.14685549585682506,0.054643087899464066,0.0254169976171564,0.6143027155685383
PdfAct,28.tar_1602.05511.gz_rsse_journal_3_black.pdf,11,reference,0,0,0.0,0.0
PdfAct,33.tar_1602.07623.gz_multiLRUsig16_black.pdf,12,reference,0.5448424264373904,0.24927050578379223,0.4128250573351352,0.4782816229116944
PdfAct,30.tar_1602.06350.gz_ms_black.pdf,20,reference,0,0,0.0,0.0
PdfAct,23.tar_1602.02629.gz_improved-improved-GMT-v7_black.pdf,59,reference,0,0,0.0016764459346186,0.6648811516571811
PdfAct,34.tar_1602.08039.gz_Note_on_statistical_symmetries_black.pdf,7,reference,0.2243657540117206,0.16476704265970188,0.844769015695929,0.7879161528976573
PdfAct,24.tar_1602.03346.gz_egpaper_final_black.pdf,7,reference,0.14805568284020587,0.06048562789689264,0.1047311675222322,0.181163539890089
PdfAct,28.tar_1602.05377.gz_lipp_black.pdf,16,reference,0.20683861541434553,0.023134173172249358,0.3008828975289028,0.5600504095778198
PdfAct,23.tar_1602.02617.gz_CCAI_black.pdf,24,reference,0,0,0.0,0.0
PdfAct,25.tar_1602.03571.gz_fullpaper_rev2_black.pdf,44,reference,0,0,0.0,0.0
PdfAct,25.tar_1602.03748.gz_Paper_SelfEnergy_black.pdf,11,reference,0,0,0.0,0.0
PdfAct,23.tar_1602.02872.gz_scpma-2015-386-150120_black.pdf,39,reference,0,0,0.0,0.0
PdfAct,32.tar_1602.07522.gz_ArticleOSIRISAntinus-240216-versionArchiv_black.pdf,12,reference,0,0,0.0,0.0
PdfAct,31.tar_1602.06915.gz_ipl6_black.pdf,11,reference,0.3446088131822376,0.06651772435783068,0.1068316731247063,0.1397849462365591
PdfAct,21.tar_1602.01998.gz_QINP_version_black.pdf,10,reference,0,0,0.0,0.0
PdfAct,25.tar_1602.03902.gz_Focusing.19_black.pdf,11,reference,0,0,0.0,0.0
PdfAct,23.tar_1602.02822.gz_egpaper_for_review_wacv_black.pdf,7,reference,0.3780326316236087,0.06195897335546734,0.1098516212671009,0.0771135479306686
PdfAct,25.tar_1602.03829.gz_limits_twistors_v4_black.pdf,10,reference,0.5337969358791257,0.24034893263371584,0.5265966305679264,0.5191048034934498
PdfAct,21.tar_1602.01793.gz_paper_v7_black.pdf,9,reference,0,0,0.0,0.0
PdfAct,30.tar_1602.06317.gz_diceseq_arxiv_black.pdf,13,reference,0.28988171083830944,0.02983125166096813,0.319643073602898,0.5621540010065424
PdfAct,21.tar_1602.01752.gz_Borde-final-gsn4_black.pdf,27,reference,0.16735667568255794,0.037980643156570223,0.0182926829268292,0.6394413238196447
