Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
PdfAct,20.tar_1701.08967.gz_thesis_black.pdf,39,section,0.0,0.0,0.0,0.11320754716981128
PdfAct,6.tar_1701.02416.gz_FPF_LG_arXiv_black.pdf,3,section,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7894736842105263
PdfAct,3.tar_1701.01290.gz_bare_jrnl_black.pdf,38,section,0.0,0.0,0.0,0.09777777777777771
PdfAct,20.tar_1701.08863.gz_IC79-SDM-v2_black.pdf,4,section,0.0,0.0,0.0,0.0
PdfAct,3.tar_1701.01086.gz_manuscript_black.pdf,1,section,0.0,0.0,0.0,0.0
PdfAct,9.tar_1701.03993.gz_main-v4_black.pdf,4,section,0.0,0.0,0.0,0.0
PdfAct,6.tar_1701.02227.gz_InterpolatingIVT-dec2017b_black.pdf,2,section,0.0,0.0,0.0,0.13793103448275856
PdfAct,20.tar_1701.08894.gz_Akras2017_black.pdf,0,section,0.1,0.5,0.16666666666666669,0.23728813559322035
PdfAct,8.tar_1701.03095.gz_main_black.pdf,22,section,0.0,0.0,0.0,0.0
PdfAct,8.tar_1701.03186.gz_Network_Feedback_Capacity_2017_black.pdf,19,section,0.0,0.0,0.0,0.16793893129770993
PdfAct,7.tar_1701.02886.gz_christo-stat_black.pdf,10,section,0.018518518518518517,0.25,0.034482758620689655,0.13867488443759626
PdfAct,1.tar_1701.00113.gz_toposAlgebra_black.pdf,0,section,0.03260869565217391,1.5,0.06382978723404255,0.045088566827697324
PdfAct,8.tar_1701.03496.gz_LaCaCoMnO_manuscript_black.pdf,0,section,0.0,0.0,0.0,0.0
PdfAct,3.tar_1701.01116.gz_Love_published_black.pdf,5,section,0.0,0.0,0.0,0.22535211267605632
PdfAct,7.tar_1701.02750.gz_ms_black.pdf,2,section,0.5714285714285714,0.8,0.6666666666666666,0.7951807228915664
PdfAct,1.tar_1701.00327.gz_NSI-Final-Dec_black.pdf,1,section,0.0,0.0,0.0,0.0
PdfAct,10.tar_1701.04056.gz_main_black.pdf,0,section,0.45454545454545453,0.7692307692307693,0.5714285714285714,0.6129032258064516
PdfAct,9.tar_1701.03790.gz_ms_black.pdf,2,section,0.07692307692307693,0.2857142857142857,0.12121212121212123,0.1928934010152284
PdfAct,9.tar_1701.03557.gz_fvh2016_black.pdf,2,section,0.0,0.0,0.0,0.16309012875536483
PdfAct,7.tar_1701.03041.gz_grasping_learning_black.pdf,2,section,0.5833333333333334,1.0,0.7368421052631579,0.9054054054054055
PdfAct,5.tar_1701.01912.gz_ms_black.pdf,2,section,0.046153846153846156,1.0,0.08823529411764706,0.11214953271028037
PdfAct,19.tar_1701.08516.gz_20170504-arXiv-successor_invariance_black.pdf,10,section,0.0,0.0,0.0,0.2948717948717949
PdfAct,1.tar_1701.00215.gz_main_black.pdf,7,section,0.0,0.0,0.0,0.15625
PdfAct,6.tar_1701.02416.gz_FPF_LG_arXiv_black.pdf,17,section,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.4130434782608695
PdfAct,10.tar_1701.03999.gz_virtual_black.pdf,4,section,0.0,0.0,0.0,0.08474576271186436
PdfAct,2.tar_1701.00888.gz_gtest_arXiv_170103_black.pdf,5,section,0.0,0.0,0.0,0.1851851851851852
PdfAct,9.tar_1701.03710.gz_VCRjstat2017_black.pdf,1,section,1.0,1.0,1.0,1.0
PdfAct,20.tar_1701.09080.gz_flows-paper-v2_black.pdf,0,section,0.0,0.0,0.0,0.0
PdfAct,19.tar_1701.08264.gz_main_black.pdf,21,section,0.0,0.0,0.0,0.0
PdfAct,4.tar_1701.01573.gz_accv2016finalpaper_black.pdf,2,section,0.0,0.0,0.0,0.0
PdfAct,7.tar_1701.02982.gz_Esser_Jaffard_Divergence_black.pdf,6,section,0.0,0.0,0.0,0.0
PdfAct,2.tar_1701.00911.gz_draft_black.pdf,2,section,0.375,0.8571428571428571,0.5217391304347825,0.5512820512820513
PdfAct,10.tar_1701.04050.gz_DeGregorio_Final4_black.pdf,41,section,0.0,0.0,0.0,0.19161676646706582
PdfAct,20.tar_1701.08781.gz_corrAnal_paper_black.pdf,0,section,0.0,0.0,0.0,0.0625
PdfAct,20.tar_1701.08943.gz_UC_Polytope_black.pdf,0,section,0.01935483870967742,1.5,0.038216560509554146,0.029755579171094552
PdfAct,4.tar_1701.01560.gz_manuscript1_black.pdf,1,section,0.0,0.0,0.0,0.06976744186046517
PdfAct,2.tar_1701.00568.gz_draft6-arxiv-version_black.pdf,5,section,0.0,0.0,0.0,0.0
PdfAct,19.tar_1701.08550.gz_Ceres_photometry_black.pdf,16,section,1.0,1.0,1.0,1.0
PdfAct,7.tar_1701.02722.gz_MonrealP_v2_black.pdf,6,section,0.2,0.6,0.3,0.45098039215686275
PdfAct,20.tar_1701.08799.gz_main_black.pdf,2,section,0.04878048780487805,0.5714285714285714,0.0898876404494382,0.11969111969111963
