Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
PdfAct,30.tar_1403.2232.gz_UUpaper_final_black.pdf,1,table,0,0,0,0
PdfAct,29.tar_1403.1329.gz_APOC_black.pdf,7,table,0,0,0,0
PdfAct,34.tar_1403.4558.gz_kyo13_black.pdf,7,table,0,0,0,0
PdfAct,33.tar_1403.3752.gz_Paper_black.pdf,2,table,0,0,0,0
PdfAct,30.tar_1403.2217.gz_anderson_mnras_v2_black.pdf,2,table,0,0,0,0
PdfAct,36.tar_1403.5559.gz_EPF_MgIIabsorption_v6_black.pdf,11,table,0,0,0,0
PdfAct,34.tar_1403.4765.gz_entan-primesv10_black.pdf,14,table,0,0,0,0
PdfAct,39.tar_1403.7604.gz_grqcv2_black.pdf,16,table,0,0,0,0
PdfAct,30.tar_1403.2442.gz_wound_healing_for_arxiv_black.pdf,11,table,0,0,0,0
PdfAct,38.tar_1403.6968.gz_mod447-nikolic_black.pdf,7,table,0,0,0,0
PdfAct,40.tar_1403.8035.gz_heat_charge_mixed_noises_V4_black.pdf,6,table,0,0,0,0
PdfAct,36.tar_1403.6015.gz_arxiv2_black.pdf,11,table,0,0,0,0
PdfAct,31.tar_1403.2555.gz_cpMeeMpSv3_black.pdf,11,table,0,0,0,0
PdfAct,29.tar_1403.1495.gz_sobepjc2014_black.pdf,3,table,0,0,0,0
PdfAct,32.tar_1403.3371.gz_ExcursionsOnHarmonicAnalysis_FirouziWeiHero_Final_arXiv_black.pdf,25,table,0,0,0,0
PdfAct,29.tar_1403.1804.gz_forwardPIDE_edited_black.pdf,18,table,0,0,0,0
PdfAct,35.tar_1403.5404.gz_Mass_and_axial_charge_of_heavy_baryons_black.pdf,8,table,0,0,0,0
PdfAct,29.tar_1403.1272.gz_PAPER_07092103_black.pdf,24,table,0,0,0,0
PdfAct,33.tar_1403.4257.gz_2HDMv11_black.pdf,8,table,0,0,0,0
PdfAct,35.tar_1403.4931.gz_Lusso2014_arxiv_black.pdf,5,table,0,0,0,0
PdfAct,38.tar_1403.6968.gz_mod447-nikolic_black.pdf,10,table,0,0,0,0
PdfAct,30.tar_1403.2360.gz_icassp14_black.pdf,3,table,0,0,0,0
PdfAct,40.tar_1403.7962.gz_paper16_black.pdf,1,table,0,0,0,0
PdfAct,32.tar_1403.3580.gz_ANAIS-ijmpa-final_black.pdf,3,table,0,0,0,0
PdfAct,38.tar_1403.6840.gz_review_v1_black.pdf,11,table,0,0,0,0
PdfAct,29.tar_1403.1395.gz_Twosamples_black.pdf,10,table,0,0,0,0
PdfAct,34.tar_1403.4269.gz_OpEx_Photoelastic_black.pdf,5,table,0,0,0,0
PdfAct,32.tar_1403.3544.gz_nagy_black.pdf,3,table,0,0,0,0
PdfAct,35.tar_1403.4852.gz_nuax_1903_black.pdf,9,table,0,0,0,0
PdfAct,33.tar_1403.3872.gz_2d-arxiv_black.pdf,5,table,0,0,0,0
PdfAct,30.tar_1403.2159.gz_part_I_pairs_numerology_arxiv_v1_black.pdf,2,table,0,0,0,0
