Tool,ID,Page,Label,F1,SpatialDist
PyMuPDF,169.tar_1510.07176.gz_VT_corresp24_black.pdf,3,paragraph,0.9952403530861076,0.9257169193084934
Tika,160.tar_1510.02366.gz_BdHFS-HelmholtzStability_black.pdf,0,paragraph,0.0,0.2865716429107277
PyMuPDF,160.tar_1510.02366.gz_BdHFS-HelmholtzStability_black.pdf,0,paragraph,0.0,0.2868867748554373
Tika,156.tar_1510.00276.gz_Quant-UAAP-UMD_black.pdf,8,paragraph,0.6580084518514417,0.6768099715351052
PyMuPDF,156.tar_1510.00276.gz_Quant-UAAP-UMD_black.pdf,8,paragraph,0.0,0.2942765905183002
Tika,162.tar_1510.03364.gz_onedim_mastercopy_16_black.pdf,19,paragraph,0.6456613383102378,0.6545845558094195
PyMuPDF,162.tar_1510.03364.gz_onedim_mastercopy_16_black.pdf,19,paragraph,0.6004830949311308,0.6932804675187361
Tika,159.tar_1510.02119.gz_Sobolev_Stability_final_black.pdf,16,paragraph,0.6327054317424393,0.6494674471643265
PyMuPDF,159.tar_1510.02119.gz_Sobolev_Stability_final_black.pdf,16,paragraph,0.6290171433004912,0.6110408185583848
Tika,167.tar_1510.06068.gz_mshv_v5_black.pdf,7,paragraph,0.0,0.2169094363521216
PyMuPDF,167.tar_1510.06068.gz_mshv_v5_black.pdf,7,paragraph,0.0,0.2146910466582598
Tika,171.tar_1510.07902.gz_fair_black.pdf,3,paragraph,0.6302339578613863,0.6396160370710113
PyMuPDF,171.tar_1510.07902.gz_fair_black.pdf,3,paragraph,0.601212094780563,0.6350543397136258
Tika,157.tar_1510.00723.gz_ArXiv2_black.pdf,23,paragraph,0.6444397845695253,0.6456962072391544
PyMuPDF,157.tar_1510.00723.gz_ArXiv2_black.pdf,23,paragraph,0.6814309190153515,0.6446110350519179
Tika,171.tar_1510.07929.gz_CQGAnomalies_black.pdf,20,paragraph,0.6905538601714585,0.6512618468335577
PyMuPDF,171.tar_1510.07929.gz_CQGAnomalies_black.pdf,20,paragraph,0.655839534396782,0.6631643417542805
Tika,162.tar_1510.03506.gz_winding16_PRB_black.pdf,4,paragraph,0.6032035817389026,0.6703394720064312
PyMuPDF,162.tar_1510.03506.gz_winding16_PRB_black.pdf,4,paragraph,0.6034389703350018,0.6923804983741887
Tika,168.tar_1510.06665.gz_newbigsim_ts_revised_black.pdf,21,paragraph,0.0,0.0523994811932554
PyMuPDF,168.tar_1510.06665.gz_newbigsim_ts_revised_black.pdf,21,paragraph,0.0,0.0523451671417466
Tika,168.tar_1510.06800.gz_PA_IHT_double_black.pdf,2,paragraph,0.6510299624447728,0.6636642704107886
PyMuPDF,168.tar_1510.06800.gz_PA_IHT_double_black.pdf,2,paragraph,0.6808249618967982,0.6645914054264385
Tika,172.tar_1510.07972.gz_151025.de.ms_black.pdf,12,paragraph,0.0,0.1285124778934957
PyMuPDF,172.tar_1510.07972.gz_151025.de.ms_black.pdf,12,paragraph,0.0,0.1282101548715938
Tika,160.tar_1510.02190.gz_smalld_black.pdf,5,paragraph,0.0,0.2853560682046138
PyMuPDF,160.tar_1510.02190.gz_smalld_black.pdf,5,paragraph,0.0,0.2849617458923867
Tika,174.tar_1510.08957.gz_QRNGNPJ59_black.pdf,8,paragraph,0.609243155458407,0.6569244770397226
