Tool,ID,Page,Label,F1,SpatialDist
PyMuPDF,25.tar_1402.6582.gz_Aspects_JMP_black.pdf,13,paragraph,0.0,0.217201166180758
Tika,16.tar_1402.1473.gz_partial_journal_black.pdf,30,paragraph,0.0,0.2999014778325123
PyMuPDF,16.tar_1402.1473.gz_partial_journal_black.pdf,30,paragraph,0.0,0.2960487517200708
Tika,19.tar_1402.2791.gz_prb_black.pdf,5,paragraph,0.6027294669036464,0.6517576325774802
PyMuPDF,19.tar_1402.2791.gz_prb_black.pdf,5,paragraph,0.6224352786569426,0.632544182123778
Tika,22.tar_1402.4533.gz_nocf17_black.pdf,57,paragraph,0.6797579419798094,0.6806051803697717
PyMuPDF,22.tar_1402.4533.gz_nocf17_black.pdf,57,paragraph,0.6201806171465203,0.6273104651664976
Tika,22.tar_1402.4668.gz_M33_black.pdf,20,paragraph,0.624873483084791,0.6294238744806339
PyMuPDF,22.tar_1402.4668.gz_M33_black.pdf,20,paragraph,0.63919234966723,0.653760554140372
Tika,17.tar_1402.2261.gz_HCcombv2hal_black.pdf,43,paragraph,0.6397910485999764,0.6436359235349823
PyMuPDF,17.tar_1402.2261.gz_HCcombv2hal_black.pdf,43,paragraph,0.6361438627906272,0.6397276073687509
Tika,15.tar_1402.0984.gz_PseudoHCk_black.pdf,28,paragraph,0.6521168629964207,0.6962216909666555
PyMuPDF,15.tar_1402.0984.gz_PseudoHCk_black.pdf,28,paragraph,0.661898617256781,0.6300916207709097
Tika,21.tar_1402.4154.gz_ggg_mfp_arxiv_black.pdf,3,paragraph,0.0,0.0990294456325052
PyMuPDF,21.tar_1402.4154.gz_ggg_mfp_arxiv_black.pdf,3,paragraph,0.0,0.0913050492014841
Tika,22.tar_1402.4975.gz_2nd_October_black.pdf,6,paragraph,0.0,0.0003909304143861
PyMuPDF,22.tar_1402.4975.gz_2nd_October_black.pdf,6,paragraph,0.0,0.0003897875657766
Tika,21.tar_1402.4271.gz_draft_black.pdf,10,paragraph,0.6572429654600125,0.6806084847311751
PyMuPDF,21.tar_1402.4271.gz_draft_black.pdf,10,paragraph,0.6985561083113911,0.6801445857547561
Tika,25.tar_1402.6643.gz_photoncode_black.pdf,17,paragraph,0.639474701269138,0.6568914849466534
PyMuPDF,25.tar_1402.6643.gz_photoncode_black.pdf,17,paragraph,0.0,0.2996688741721854
