Tool,ID,Page,Label,F1,SpatialDist
AdobeExtract,13.tar_1401.7986.gz_paper_black.pdf,7,table,0.0,0.0
AdobeExtract,1.tar_1401.0016.gz_PRB_SM_black.pdf,6,table,0.0,0.0
AdobeExtract,1.tar_1401.0023.gz_abramson2013-emulateapj-12-30_black.pdf,11,table,0.0,0.0
AdobeExtract,1.tar_1401.0087.gz_Euco2_part2_black.pdf,2,table,0.8892009226416726,0.9364742098056678
AdobeExtract,1.tar_1401.0105.gz_cohesive_black.pdf,13,table,0.8834589548900539,0.8965490598116458
AdobeExtract,1.tar_1401.0113.gz_cgim-upload_black.pdf,11,table,0.6969020203343063,0.9526238840078116
AdobeExtract,1.tar_1401.0267.gz_BIOMTRKA-13-270_R1_black.pdf,15,table,0.0,0.0
AdobeExtract,1.tar_1401.0404.gz_MT-arxiv_black.pdf,26,table,0.0,0.0
AdobeExtract,1.tar_1401.0404.gz_MT-arxiv_black.pdf,29,table,0.6192226034410692,0.9061005687011865
AdobeExtract,1.tar_1401.0440.gz_P._Petrov_D._Gogova_black.pdf,8,table,0.9978307674725496,0.9038010892252629
AdobeExtract,1.tar_1401.0463.gz_sparse_alt_spl_arxiv_black.pdf,3,table,0.6229003447786399,0.9034345567089738
AdobeExtract,1.tar_1401.0476.gz_vaxjo2013_art_black.pdf,2,table,0.0,0.0
AdobeExtract,1.tar_1401.0509.gz_icassp14_black.pdf,6,table,0.809517454026159,0.8644785078207304
AdobeExtract,1.tar_1401.0703.gz_rm-12-MAR_black.pdf,3,table,0.0,0.0
AdobeExtract,10.tar_1401.6199.gz_AnnualReview_black.pdf,9,table,0.0,0.0
AdobeExtract,10.tar_1401.6212.gz_paper_black.pdf,23,table,0.7987474245961501,0.8836047954519435
AdobeExtract,10.tar_1401.6217.gz_ijnam_black.pdf,29,table,0.0,0.0
AdobeExtract,10.tar_1401.6279.gz_paper_arxiv_black.pdf,5,table,0.7833827700328322,0.8661832956126458
AdobeExtract,10.tar_1401.6292.gz_TMP-at-LHC-ver2_black.pdf,7,table,0.8021730037448239,0.8614444256394317
AdobeExtract,10.tar_1401.6336.gz_article2014v8arxiv_black.pdf,3,table,0.0,0.0
AdobeExtract,10.tar_1401.6354.gz_liod_schnass_black.pdf,13,table,0.0,0.0
AdobeExtract,10.tar_1401.6399.gz_simdcompressionarxiv_black.pdf,10,table,0.8601097215549363,0.8827238391340057
AdobeExtract,10.tar_1401.6399.gz_simdcompressionarxiv_black.pdf,26,table,0.9907544173937854,0.8415954080764717
AdobeExtract,10.tar_1401.6411.gz_Proceedings_black.pdf,2,table,0.6601552288581655,0.958712769681408
AdobeExtract,10.tar_1401.6433.gz_AFT-arxiv_black.pdf,12,table,0.7103116894058148,0.9058125612270584
AdobeExtract,1.tar_1401.0339.gz_paper_black.pdf,21,table,0.0,0.0
AdobeExtract,1.tar_1401.0571.gz_XCSBSL-4D_black.pdf,7,table,0.0,0.0
AdobeExtract,10.tar_1401.6469.gz_ACISHE_Sub_ArXiv_black.pdf,9,table,0.8570095993732831,0.9102276696771803
AdobeExtract,11.tar_1401.6730.gz_long_spin_sens_20140626_black.pdf,10,table,0.0,0.0
AdobeExtract,11.tar_1401.7079.gz_BCDMM_V7_black.pdf,39,table,0.0,0.0
AdobeExtract,11.tar_1401.7241.gz_apt_new_arxiv_black.pdf,2,table,0.8236001548948703,0.9968600852764209
AdobeExtract,12.tar_1401.7556.gz_mn-13-2258-mj-f_black.pdf,3,table,0.9242054343422762,0.9754933923362936
AdobeExtract,10.tar_1401.6475.gz_XFEM3D_black.pdf,16,table,0.0,0.0
AdobeExtract,10.tar_1401.6478.gz_Archive1_black.pdf,6,table,0.0,0.1395939086294416
AdobeExtract,10.tar_1401.6496.gz_GSPB_ARXIV_v1_black.pdf,9,table,0.728473622896596,0.9091279740085101
AdobeExtract,10.tar_1401.6601.gz_paper_JCP_proof_black.pdf,11,table,0.9836648795251516,0.9587226981083028
AdobeExtract,11.tar_1401.6691.gz_tensor-review-4_black.pdf,42,table,0.0,0.0
AdobeExtract,11.tar_1401.6730.gz_long_spin_sens_20140626_black.pdf,3,table,0.0,0.0
AdobeExtract,11.tar_1401.6789.gz_seisminflection_black.pdf,4,table,0.8025862104848185,0.8489708003639287
AdobeExtract,11.tar_1401.6822.gz_paper_black.pdf,8,table,0.8979731355038475,0.9057850013061527
AdobeExtract,11.tar_1401.6870.gz_paper_black.pdf,2,table,0.8623898219459857,0.9031786783357117
AdobeExtract,11.tar_1401.6951.gz_manuscript2_black.pdf,3,table,0.0,0.0
AdobeExtract,11.tar_1401.6953.gz_Inhomogeneities-3d_black.pdf,13,table,0.0,0.0
AdobeExtract,11.tar_1401.6993.gz_hybrid_perovskite_draft13_black.pdf,3,table,0.6417073574165335,0.8388341806105284
AdobeExtract,11.tar_1401.7022.gz_neut402_black.pdf,11,table,0.8841056074135281,0.871982860164462
AdobeExtract,11.tar_1401.7022.gz_neut402_black.pdf,13,table,0.9318036299011956,0.8111083813094203
AdobeExtract,11.tar_1401.7061.gz_Abernathy_InvestigationYoungsModulusThermalExpansionAmorphousTitaniaDopedTantalaFilms_black.pdf,4,table,0.9411230128091614,0.8639857478307366
AdobeExtract,11.tar_1401.7096.gz_UQCWISub_black.pdf,4,table,0.7625126204259176,0.9621363038293373
AdobeExtract,11.tar_1401.7118.gz_KNadSBHGERGARXIv_black.pdf,12,table,0.0,0.0
AdobeExtract,11.tar_1401.7118.gz_KNadSBHGERGARXIv_black.pdf,20,table,0.7538509322792906,0.8134970618606151
AdobeExtract,11.tar_1401.7118.gz_KNadSBHGERGARXIv_black.pdf,29,table,0.0,0.0
AdobeExtract,11.tar_1401.7146.gz_Journal_black.pdf,18,table,0.0,0.0
AdobeExtract,11.tar_1401.7146.gz_Journal_black.pdf,5,table,0.709469101207095,0.9616747939966062
AdobeExtract,11.tar_1401.7190.gz_arXiv-v1_black.pdf,7,table,0.8743912928610948,0.8715772946258897
AdobeExtract,12.tar_1401.7339.gz_Fifth-Force-7-7-14_black.pdf,3,table,0.8561016218889915,0.9650279378197227
AdobeExtract,12.tar_1401.7359.gz_final-uploaded_black.pdf,38,table,0.9802597212740828,0.9719504543078996
AdobeExtract,12.tar_1401.7359.gz_final-uploaded_black.pdf,40,table,0.9889777656233072,0.8529683766908708
AdobeExtract,12.tar_1401.7359.gz_final-uploaded_black.pdf,8,table,0.8501658158664055,0.8463222109716236
AdobeExtract,12.tar_1401.7494.gz_wpmvp14-rabbit_black.pdf,4,table,0.9457278700861648,0.9333800659398217
