Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
CAMELOT,128.tar_1508.04562.gz_submission_black_subset_7,7,table,0.1488458700308679,0.4860415628247756,0.3921959444061975,0.1697324414715718
CAMELOT,133.tar_1508.06972.gz_reconstruction_cross_specs_black_subset_20,20,table,0.1232995472073037,0.4645021841837359,0.2013402404444161,0.1730165844912595
CAMELOT,120.tar_1508.00276.gz_REVISED_NEWPFI_final_black_subset_34,34,table,0.1052658550898252,0.4836625804898314,0.268983768205389,0.2955951947579177
CAMELOT,128.tar_1508.04392.gz_sim_GVC_IMT_black_subset_20,20,table,0.1141193081485684,0.49517457156315575,0.1970277847130039,0.242149337055129
CAMELOT,131.tar_1508.05913.gz_kdwd_black_subset_21,21,table,0.962598380847836,0.9697036251076752,0.9346461646431128,0.8467600700525394
CAMELOT,129.tar_1508.04835.gz_EMPNLRMv6_PRD_black_subset_9,9,table,0.0,0.0,0.0,0.0647372429550647
CAMELOT,127.tar_1508.03987.gz_SympatheticModellingv5_black_subset_11,11,table,0.1068728109500995,0.4790816929744124,0.2703746045156856,0.1261674586269048
CAMELOT,120.tar_1508.00330.gz_wacv2016_LiaoGustavo_black_subset_5,5,table,0.5715901502179114,0.5938431861481981,0.4340477888490981,0.4137734775184974
CAMELOT,135.tar_1508.07630.gz_BSPSA_FS_GT_black_subset_14,14,table,0.9588337055870602,0.9029840375996948,0.9577919215678844,0.8143820224719102
CAMELOT,120.tar_1508.00334.gz_giesecke_2015_triadic_resoances_in_precession_flow_black_subset_7,7,table,0.9163132395264384,0.9495346772802582,0.8949281288431588,0.8793686583990982
CAMELOT,133.tar_1508.06535.gz_icldissCustom_black_subset_51,51,table,0.1488331460210455,0.45471885104196635,0.1863707987170935,0.2268113405670283
CAMELOT,124.tar_1508.02454.gz_Scalable-CS_black_subset_30,30,table,0.5409994377784595,0.4962529537198794,0.4904506584975187,0.5315904139433552
CAMELOT,124.tar_1508.02489.gz_main_black_subset_5,5,table,0.0,0.0,0.0,0.0875550660792951
CAMELOT,124.tar_1508.02096.gz_paper_black_subset_7,7,table,0.1002602095655549,0.45665565233592814,0.1797801300947121,0.1964886066492341
CAMELOT,133.tar_1508.06942.gz_ms_black_subset_3,3,table,0.0,0.0,0.0,0.0827338129496402
CAMELOT,130.tar_1508.05037.gz_cdc2015-arxiv_black_subset_6,6,table,0.1269498576125408,0.4631451156256988,0.1790788789951602,0.1283098406007113
CAMELOT,122.tar_1508.01459.gz_final_black_subset_10,10,table,0.1409701036585538,0.45004309600456366,0.3711029972204789,0.2963988919667589
CAMELOT,120.tar_1508.00557.gz_ws-df-arxiv_black_subset_5,5,table,0.1212987208384756,0.454797949340396,0.188079630357116,0.2788844621513944
CAMELOT,126.tar_1508.03110.gz_main_black_subset_3,3,table,0.0,0.0,0.0,0.0909845591897725
CAMELOT,127.tar_1508.03720.gz_sdplstm_black_subset_7,7,table,0.4594008432446168,0.4695303315334203,0.4977662662003971,0.4243349324029655
CAMELOT,129.tar_1508.04753.gz_cold_objects_arXiv_black_subset_12,12,table,0.1091039920718049,0.46999810479413123,0.1929931860731594,0.3299072449235398
