Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
CERMINE,17.tar_1502.00582.gz_sbp_black.pdf,3,paragraph,0.8211174409821944,0.850975342302947,0.8446512473476623,0.9065460781260608
CERMINE,27.tar_1502.05576.gz_holo-semigroup-arxiv-final_black.pdf,8,paragraph,0.8033385076761325,0.877626073149539,0.8394528685363682,0.935327548533127
CERMINE,21.tar_1502.02677.gz_arxiv_flipflop_v2_black.pdf,10,paragraph,0.8063280557538277,0.8578273278904847,0.821290491686655,0.8013699952778576
CERMINE,27.tar_1502.05632.gz_Capturing_ESO_k__with_INEX_k__black.pdf,36,paragraph,0.8223118923688234,0.8256963157397974,0.9149093954660796,0.9829772082408204
CERMINE,29.tar_1502.06783.gz_BaDdynamics_black.pdf,39,paragraph,0.8159158245401941,0.8779508809391828,0.8462867073289441,0.8300203898238642
CERMINE,26.tar_1502.05082.gz_2015_pami_detection_proposals_black.pdf,6,paragraph,0.8235408892112197,0.8544459847496277,0.8286847179676748,0.8316213862070646
CERMINE,26.tar_1502.05448.gz_Draft-5-BK-Sid_2_black.pdf,1,paragraph,0.8120627914975777,0.8688451874905777,0.8373538531051279,0.8361789647856261
CERMINE,20.tar_1502.01895.gz_vmc-sun-heisenberg-chain_black.pdf,3,paragraph,0.8112984909483958,0.8603943314657185,0.8442645514355901,0.8608836663938667
CERMINE,27.tar_1502.05765.gz_gs-vi_REVISED_black.pdf,7,paragraph,0.8276780204363766,0.8691218039127377,0.8268559974365463,0.9445667885345717
CERMINE,21.tar_1502.02889.gz_BrillouinDebyeV3_black.pdf,4,paragraph,0.8165641118231018,0.86364699353186,0.8415532457679662,0.8640226517118129
CERMINE,17.tar_1502.00850.gz_varietiesvia_black.pdf,12,paragraph,0.8032695505373202,0.859527919521765,0.8278710360494959,0.9458464060571008
CERMINE,21.tar_1502.02527.gz_Ho_Paper_PRB_black.pdf,12,paragraph,0.9587676699223128,0.8449925134019503,0.8548167070645842,0.9692749508730504
CERMINE,27.tar_1502.05878.gz_linear_models_4arXiv_v2_black.pdf,5,paragraph,0.8198342768861113,0.857373699654691,0.8254288181906788,0.9250022280623482
CERMINE,19.tar_1502.01706.gz_draftnew_black.pdf,10,paragraph,0.8577586048870318,0.8300622028733756,0.9951431884588652,0.9792293983651814
CERMINE,21.tar_1502.02869.gz_paper_black.pdf,7,paragraph,0.8154579677522356,0.8735608877565616,0.8223958997000258,0.8472637265677471
