Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
CERMINE,176.tar_1511.00964.gz_manuscript_black.pdf,29,reference,0.7016897991856933,0.764585237994902,0.7079196859354195,0.7393985043791496
CERMINE,175.tar_1511.00197.gz_Harnack_inequalities_for_the_Allen-Cahn_equation_and_traveling_wave_solutions_black.pdf,9,reference,0.7067546649765772,0.7813718364487365,0.7777913136096839,0.7347923652895084
CERMINE,183.tar_1511.04149.gz_main_black.pdf,19,reference,0.7211326436760269,0.7933532597529908,0.7688401276874834,0.7961002313348259
CERMINE,175.tar_1511.00136.gz_FUSED_black.pdf,51,reference,0.722140451852505,0.7895452682639514,0.7424072929591329,0.7615660538527741
CERMINE,189.tar_1511.06369.gz_ms_black.pdf,5,reference,0.7160331929714462,0.75440963359402,0.7966714187699633,0.7872918495664449
CERMINE,182.tar_1511.03495.gz_SMARTGRIDCOM_finalsubmission_ml_black.pdf,5,reference,0.719789007436576,0.7865646654515,0.7933818899274433,0.8639159733892424
CERMINE,185.tar_1511.04731.gz_paper_black.pdf,20,reference,0.7172732652110871,0.7589120232982961,0.7233973233616766,0.8883500134859084
CERMINE,184.tar_1511.04426.gz_varyingStep_black.pdf,14,reference,0.7157617132938588,0.7709382234433554,0.777206505740738,0.7943795778512294
CERMINE,189.tar_1511.06343.gz_ICLR2016batch_selection_black.pdf,11,reference,0.7134880144333784,0.7582207006318019,0.7646374091571029,0.8470259631656547
CERMINE,179.tar_1511.02383.gz_conditionals_black.pdf,20,reference,0.7194760627390667,0.7764879138888142,0.7080478138447377,0.8837714261344364
CERMINE,187.tar_1511.05312.gz_Kubota_Ktheory_2_black.pdf,26,reference,0.7094235388061132,0.7586232302171035,0.7805111141182276,0.8224815725627114
CERMINE,180.tar_1511.02781.gz_PaperGPDC_arXiv_black.pdf,5,reference,0.7025240623494318,0.7853118903044498,0.7303283086959085,0.7325544364236577
CERMINE,189.tar_1511.06549.gz_discrete_black.pdf,25,reference,0.7251152186079171,0.7899760598355898,0.7252478349160882,0.7028099562205684
CERMINE,179.tar_1511.02357.gz_reduction8p_arXiv_v2_black.pdf,36,reference,0.7077903162050573,0.783240515576164,0.7549962803973858,0.8496115561158135
