Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
GROBID,14.tar_1402.0049.gz_qotsd12full_black_subset_2,2,table,0,0,0,0.0
GROBID,14.tar_1402.0152.gz_OspCrystal_II_black_subset_10,10,table,0,0,0,0.0
GROBID,14.tar_1402.0152.gz_OspCrystal_II_black_subset_16,16,table,0,0,0,0.010443864229765
GROBID,14.tar_1402.0152.gz_OspCrystal_II_black_subset_22,22,table,0,0,0,0.0
GROBID,14.tar_1402.0152.gz_OspCrystal_II_black_subset_35,35,table,0,0,0,0.0
GROBID,14.tar_1402.0152.gz_OspCrystal_II_black_subset_4,4,table,0,0,0,0.0
GROBID,14.tar_1402.0243.gz_submitted_version_black_subset_3,3,table,0,0,0,0.0
GROBID,14.tar_1402.0246.gz_LDP-DKF-final_twoColumn_black_subset_5,5,table,0,0,0,0.0029895366218235
GROBID,14.tar_1402.0290.gz_navier-blowup_black_subset_43,43,table,0,0,0,0.0
GROBID,14.tar_1402.0290.gz_navier-blowup_black_subset_65,65,table,0,0,0,0.0
GROBID,14.tar_1402.0295.gz_Double_black_subset_1,1,table,0,0,0,0.0
GROBID,14.tar_1402.0298.gz_LoopClusterSignGFFCorrectedSuite3_black_subset_9,9,table,0,0,0,0.0
GROBID,14.tar_1402.0300.gz_TopView_v3_black_subset_10,10,table,0,0,0,0.0
GROBID,14.tar_1402.0336.gz_dsb23052014_black_subset_36,36,table,0,0,0,0.0
GROBID,14.tar_1402.0365.gz_NonRadialWave7_black_subset_2,2,table,0,0,0,0.0058997050147492
GROBID,14.tar_1402.0369.gz_weighted_correlation_logistic_v2_black_subset_10,10,table,0,0,0,0.0
GROBID,14.tar_1402.0410.gz_minimum_chap_new_black_subset_6,6,table,0,0,0,0.0
GROBID,14.tar_1402.0422.gz_single_main_black_subset_6,6,table,0,0,0,0.0
GROBID,14.tar_1402.0438.gz_XYZ-11_black_subset_4,4,table,0,0,0,0.0
GROBID,14.tar_1402.0441.gz_representations-sub-arxiv_black_subset_20,20,table,0,0,0,0.0
GROBID,14.tar_1402.0441.gz_representations-sub-arxiv_black_subset_6,6,table,0,0,0,0.0
GROBID,14.tar_1402.0454.gz_paper_v11_black_subset_3,3,table,0,0,0,0.0
GROBID,14.tar_1402.0460.gz_2D_LMS_postreport_black_subset_15,15,table,0,0,0,0.0
GROBID,14.tar_1402.0460.gz_2D_LMS_postreport_black_subset_26,26,table,0,0,0,0.0
GROBID,14.tar_1402.0460.gz_2D_LMS_postreport_black_subset_40,40,table,0,0,0,0.0
GROBID,14.tar_1402.0462.gz_Amoeba_Nonnegative_ArXiv_Vers3_black_subset_1,1,table,0,0,0,0.036036036036036
