Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
GROBID,91.tar_1407.5204.gz_peano_2014_black.pdf,5,paragraph,0.8048141555681054,0.9570020611877944,0.9012112049914944,0.8448961064490236
GROBID,91.tar_1407.4901.gz_Mod_white2_black.pdf,3,paragraph,0.9729354410405848,0.9239363034337094,0.8872401829723328,0.9704207596957688
GROBID,95.tar_1407.7209.gz_group2b_pol_black.pdf,8,paragraph,0.9742060821717572,0.8392317839343457,0.9534832199762654,0.9590307732734304
GROBID,95.tar_1407.7344.gz_manuscript_1017_black.pdf,5,paragraph,0.8083613651274832,0.9627522266968976,0.8157134442059167,0.9643483861392396
GROBID,91.tar_1407.5271.gz_EPL_G34867_revised_26_08_2015_black.pdf,4,paragraph,0.905223186863493,0.8813379393826805,0.8872791321958403,0.9757740003400942
GROBID,83.tar_1407.0824.gz_coorbit_abelian_shearlet_revision_black.pdf,20,paragraph,0.9659202559921576,0.8664314015079783,0.8197185532054091,0.9043495684790092
GROBID,86.tar_1407.2139.gz_revised_black.pdf,19,paragraph,0.827305262747063,0.8099076029841797,0.8065384592334853,0.9360606757105798
GROBID,91.tar_1407.4953.gz_Phase_Transition_in_Power_Grid_Robustness_Revised_black.pdf,15,paragraph,0.8335789692227843,0.9360479513025284,0.8921252562913015,0.9842881128326426
GROBID,91.tar_1407.5028.gz_On_Integer_Additive_Set-Sequential_Graphs_black.pdf,2,paragraph,0.8302335141831502,0.8071719204599775,0.8573632452799025,0.9585337993963152
GROBID,83.tar_1407.0643.gz_maxgamehg_black.pdf,14,paragraph,0.8940092517186762,0.921715790874844,0.8241793189674724,0.9458319088678304
GROBID,94.tar_1407.6773.gz_main_black.pdf,5,paragraph,0.8402715482022903,0.8664531845291913,0.9729379835973496,0.9470992807421458
GROBID,83.tar_1407.0982.gz_cellular_black.pdf,0,paragraph,0.9287423965905964,0.9752361080083832,0.9264134188205282,0.871201555061524
GROBID,84.tar_1407.1012.gz_FrobeniusArXiv_black.pdf,18,paragraph,0.8556613375467949,0.8039921876381748,0.9624046407940924,0.8197580463377613
GROBID,90.tar_1407.4390.gz_8._O_Grady_-_A_preliminary_threshold_model_black.pdf,23,paragraph,0.8609228831823532,0.8669059478477966,0.8729633063306201,0.9996711641153502
GROBID,87.tar_1407.3097.gz_slice_black.pdf,6,paragraph,0.8782111315160595,0.8295471465600249,0.8561779946485228,0.8855270535056797
GROBID,82.tar_1407.0452.gz_ms_black.pdf,3,paragraph,0.8617115440978225,0.854645560481243,0.8284927316980523,0.9108227701169156
GROBID,84.tar_1407.1107.gz_Jen-QIBilip-ARXIV_black.pdf,15,paragraph,0.9070046978055852,0.8009237163554823,0.8783520858229519,0.980483953609404
GROBID,89.tar_1407.4187.gz_Yahagi_3rdResub_black.pdf,2,paragraph,0.8544106282964861,0.8410891650581106,0.818046050607671,0.8865266490315087
GROBID,97.tar_1407.8463.gz_MAC_CF_full_black.pdf,8,paragraph,0.8140177664311943,0.8019062393495809,0.8199853211682023,0.9540806750445932
