Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
GROBID,102.tar_1507.00002.gz_text-astroph_black_subset_2,2,sectino,0.8418408791971019,0.8783546247299777,0.9112930879717526,0.9833163177978487
GROBID,102.tar_1507.00004.gz_extremaln=2_black_subset_7,7,sectino,0.905621751298176,0.9540121631801812,0.8534841772180901,0.8695872442960709
GROBID,102.tar_1507.00007.gz_RV_Jet_EmulateApJ_Accepted_black_subset_1,1,sectino,0.3834615002599946,0.3801796136137971,0.3214678040187056,0.12
GROBID,102.tar_1507.00012.gz_SIGAME_final_arXiv_black_subset_14,14,sectino,0.930311095243204,0.995851219828193,0.8045032544675598,0.9803399452227023
GROBID,102.tar_1507.00012.gz_SIGAME_final_arXiv_black_subset_2,2,sectino,0.8920569591625971,0.9728673854010292,0.9991942303147346,0.8381951227288795
GROBID,102.tar_1507.00012.gz_SIGAME_final_arXiv_black_subset_5,5,sectino,0.9771351177717442,0.8988896157608873,0.8796905346843363,0.9263299771822235
GROBID,102.tar_1507.00019.gz_final_black_subset_1,1,sectino,0.8437458141041312,0.9460519553854966,0.9770403778245296,0.957661290878397
GROBID,102.tar_1507.00024.gz_bottomonium_Aug24_black_subset_20,20,sectino,0.5655582497180373,0.5318790509184549,0.531111813696295,0.303030303030303
GROBID,102.tar_1507.00028.gz_BInew221215_black_subset_6,6,sectino,0.3636933728147353,0.3639141488261634,0.3498099166517886,0.2916666666666667
GROBID,102.tar_1507.00043.gz_Top-N_recommendations_in_the_presence_of_sparity_An_NCD-based_approach_black_subset_10,10,sectino,0.5825994459667624,0.518446294168784,0.5171275902469582,0.5523809523809524
GROBID,102.tar_1507.00051.gz_revisedpaper23062015_black_subset_0,0,sectino,0.812252979421186,0.8857290512396168,0.9635980293117848,0.8500038260556864
GROBID,102.tar_1507.00051.gz_revisedpaper23062015_black_subset_2,2,sectino,0.8580494712804647,0.9135712798265206,0.8118409371143265,0.9093464827249574
GROBID,102.tar_1507.00066.gz_tree-cv_black_subset_5,5,sectino,0.9027060686385586,0.9655759818421746,0.809917527949726,0.80174121808176
GROBID,102.tar_1507.00073.gz_IntervalLinearizability_black_subset_11,11,sectino,0.9696326263204568,0.8313996908344706,0.8707920601997661,0.8961824168435281
GROBID,102.tar_1507.00073.gz_IntervalLinearizability_black_subset_4,4,sectino,0.8654174542383761,0.8848879732017305,0.9057722974123444,0.9247530823687806
GROBID,102.tar_1507.00087.gz_ICASSP15_black_subset_0,0,sectino,0.9082013629830398,0.8807155018700347,0.8635218613385527,0.9703047722492051
GROBID,102.tar_1507.00093.gz_sg1_black_subset_12,12,sectino,0.9571094098135096,0.8743928253459505,0.8014006763839786,0.8514841483189215
GROBID,102.tar_1507.00093.gz_sg1_black_subset_18,18,sectino,0.839342741306885,0.9022452478808748,0.966530546646777,0.878025981564367
GROBID,102.tar_1507.00093.gz_sg1_black_subset_21,21,sectino,0.8314212738925807,0.9769792854418224,0.8636546894032462,0.8659788227806124
GROBID,102.tar_1507.00093.gz_sg1_black_subset_3,3,sectino,0.5661076425061481,0.5053022837787373,0.5681401937882011,0.9662224111646954
GROBID,102.tar_1507.00093.gz_sg1_black_subset_7,7,sectino,0.9601423887881596,0.9645615375172736,0.9552372479838876,0.8351226165121347
GROBID,102.tar_1507.00104.gz_GCFTsub3_black_subset_27,27,sectino,0.5457177162124032,0.5293062953136096,0.5755830971150582,0.9887156924062812
GROBID,102.tar_1507.00113.gz_paper7_black_subset_13,13,sectino,0.5938197987754338,0.5002166890048966,0.5911857482501814,0.9925061750714325
GROBID,102.tar_1507.00113.gz_paper7_black_subset_2,2,sectino,0.8025401234858996,0.8698989718092085,0.8434926552676486,0.8424008179424491
GROBID,102.tar_1507.00152.gz_TransportFloquet_v12_black_subset_6,6,sectino,0.850804462255034,0.8967169808363309,0.925165771272466,0.8247885143461358
GROBID,102.tar_1507.00156.gz_LSA_bimaterials_submitted_black_subset_0,0,sectino,0.9606674637976348,0.8644435513565958,0.9710306135194708,0.8853420966246226
GROBID,102.tar_1507.00156.gz_LSA_bimaterials_submitted_black_subset_8,8,sectino,0.5452597863418682,0.5360718784770289,0.5048871075027466,0.578125
GROBID,102.tar_1507.00162.gz_chiralprobe_black_subset_2,2,sectino,0.8686388682647739,0.9578308394720032,0.9965763774268512,0.8177348407480194
GROBID,102.tar_1507.00172.gz_TZ1_v6_black_subset_3,3,sectino,0.8709720190768926,0.9625927713536876,0.9314332612207592,0.9602927420954194
