Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
GROBID,11.tar_1401.6965.gz_1822_timing_black.pdf,2,abstract,0.0259740259740259,0.2666666666666666,0.0473372781065088,0.1442125237191651
GROBID,11.tar_1401.6965.gz_1822_timing_black.pdf,2,author,0.375,0.375,0.375,0.767123287671233
GROBID,1.tar_1401.0335.gz_zm_black.pdf,0,abstract,0.0,0.0,0.0,0.0
GROBID,1.tar_1401.0335.gz_zm_black.pdf,0,author,0.0,0.0,0.0,0.0
GROBID,6.tar_1401.3805.gz_paper-arXiv-v1_black.pdf,0,abstract,0.8852459016393442,0.6008303384163213,0.8852459016393442,0.9491039426523298
GROBID,6.tar_1401.3805.gz_paper-arXiv-v1_black.pdf,0,title,0.9,0.629050399814997,0.9,0.975
GROBID,1.tar_1401.0223.gz_UnbalAlarxiv_black.pdf,0,abstract,1.0,1.0,1.0,0.9963031423290204
GROBID,1.tar_1401.0223.gz_UnbalAlarxiv_black.pdf,0,title,1.0,1.0,1.0,1.0
GROBID,1.tar_1401.0223.gz_UnbalAlarxiv_black.pdf,0,author,0.6666666666666666,0.6181096996286666,0.6666666666666666,0.903225806451613
GROBID,9.tar_1401.5571.gz_geo_elliptic_black.pdf,15,title,1.0,1.0,1.0,0.904109589041096
GROBID,10.tar_1401.6434.gz_Extractig_a_basis_with_fixed_block_inside_a_matrix_black.pdf,0,abstract,0.8269230769230769,0.6011090387326005,0.8269230769230769,0.9017013232514178
GROBID,7.tar_1401.4198.gz_OverdampedIB_black.pdf,0,abstract,0.9804878048780488,0.9804878048780488,0.9804878048780488,0.9837618403247632
GROBID,7.tar_1401.4198.gz_OverdampedIB_black.pdf,0,title,1.0,1.0,1.0,0.9302325581395348
GROBID,7.tar_1401.4198.gz_OverdampedIB_black.pdf,0,author,0.8574589459651673,0.6319649366076541,0.8962961853297506,0.3356401384083045
GROBID,4.tar_1401.2257.gz_RepovsSemenov_black.pdf,20,title,1.0,1.0,1.0,0.9333333333333332
GROBID,5.tar_1401.3254.gz_Model_for_Bacterial_DNA_19_BBRC_black.pdf,0,abstract,0.9928057553956836,0.9928057553956836,0.9928057553956836,0.9883785279468732
GROBID,5.tar_1401.3254.gz_Model_for_Bacterial_DNA_19_BBRC_black.pdf,0,title,1.0,1.0,1.0,1.0
GROBID,5.tar_1401.3254.gz_Model_for_Bacterial_DNA_19_BBRC_black.pdf,0,author,0.5,0.5,0.5,0.8695652173913043
GROBID,5.tar_1401.3000.gz_ncr-ALGE-revised-oct28_black.pdf,0,abstract,1.0,1.0,1.0,0.9940405244338498
GROBID,7.tar_1401.4209.gz_exactSolMinControl_black.pdf,0,abstract,0.8561735160239862,0.6042500873255381,0.7721208011362589,0.4758364312267658
GROBID,7.tar_1401.4209.gz_exactSolMinControl_black.pdf,0,title,0.7137977456075087,0.6117721551957361,0.7060927995890165,0.6862745098039216
GROBID,7.tar_1401.4209.gz_exactSolMinControl_black.pdf,0,author,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.7431693989071039
GROBID,3.tar_1401.1807.gz_Zawada_arxiv_black.pdf,0,abstract,0.9705014749262536,0.9705014749262536,0.9705014749262536,0.97621850718154
