Tool,ID,Page,Label,SpatialDist
PdfAct,124.tar_1508.02314.gz_Paper_Draft_Aug_10_black.pdf,6,footer,"(0, 0, 0, 0.0)"
PdfAct,133.tar_1508.06646.gz_paper_black.pdf,0,footer,"(0.5, 0.3333333333333333, 1.0, 0.7945205479452055)"
PdfAct,123.tar_1508.01681.gz_NuclearARMA7_black.pdf,0,footer,"(0, 0, 0, 0.004842615012106535)"
PdfAct,133.tar_1508.06936.gz_valid_black.pdf,12,footer,"(0, 0, 0, 0.0)"
PdfAct,133.tar_1508.06620.gz_Complete-To_be_submitted-_2015_08_26_black.pdf,2,footer,"(0, 0, 0, 0.0)"
PdfAct,125.tar_1508.03020.gz_pentabounds_black.pdf,9,footer,"(0.3137254901960784, 0.18181818181818182, 1.1428571428571428, 0.20927467300832348)"
PdfAct,132.tar_1508.06336.gz_arxiv_black.pdf,39,footer,"(0, 0, 0, 0.009259259259259238)"
PdfAct,124.tar_1508.02326.gz_shared-res-mas_black.pdf,10,footer,"(0.6153846153846154, 0.6153846153846154, 0.6153846153846154, 0.9104477611940298)"
PdfAct,124.tar_1508.02496.gz_main_black.pdf,0,footer,"(1.0, 1.0, 1.0, 0.9740259740259741)"
PdfAct,134.tar_1508.07344.gz_multisymplecticESPIC_black.pdf,0,footer,"(0, 0, 0, 0.21568627450980388)"
PdfAct,126.tar_1508.03143.gz_cleymans_tsallis_sqm2015_black.pdf,0,footer,"(0, 0, 0, 0.1671826625386997)"
PdfAct,132.tar_1508.06503.gz_ms_black.pdf,12,footer,"(0, 0, 0, 0.1320754716981132)"
PdfAct,134.tar_1508.07433.gz_single_column_black.pdf,0,footer,"(0.10416666666666667, 0.10416666666666667, 0.10416666666666667, 0.2887139107611549)"
PdfAct,123.tar_1508.01880.gz_SDBC_arxiv_revised_black.pdf,11,footer,"(0, 0, 0, 0.0049019607843136725)"
PdfAct,126.tar_1508.03354.gz_arxiv2_black.pdf,8,footer,"(0, 0, 0, 0.0)"
PdfAct,126.tar_1508.03425.gz_w-matrix_black.pdf,0,footer,"(0, 0, 0, 0.013793103448275872)"
PdfAct,122.tar_1508.01370.gz_annihil_halo_slim_v3_black.pdf,4,footer,"(0, 0, 0, 0.025316455696202524)"
PdfAct,124.tar_1508.02484.gz_photoz_v6_arxiv_black.pdf,3,footer,"(0.7058823529411765, 0.7058823529411765, 0.7058823529411765, 0.7878787878787878)"
PdfAct,132.tar_1508.06119.gz_gecon2015_black.pdf,0,footer,"(0.25, 0.16666666666666666, 0.5, 0.2941176470588235)"
PdfAct,122.tar_1508.01277.gz_SalisburyRSFinal2_black.pdf,7,footer,"(0.2698412698412698, 0.2698412698412698, 0.2698412698412698, 0.3923865300146413)"
PdfAct,124.tar_1508.02569.gz_tutorial2_black.pdf,62,footer,0
PdfAct,133.tar_1508.06973.gz_typeinst_black.pdf,0,footer,"(0.8275862068965517, 0.8275862068965517, 0.8275862068965517, 0.8472906403940886)"
PdfAct,124.tar_1508.02608.gz_paper_black.pdf,0,footer,"(0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.4114285714285715)"
PdfAct,121.tar_1508.00894.gz_OZONE_FINAL_black.pdf,15,footer,"(0, 0, 0, 0.0)"
PdfAct,127.tar_1508.03534.gz_coincidence_analysis_rev1_v3_black.pdf,0,footer,"(0.8, 0.6666666666666666, 1.0, 0.9666666666666667)"
PdfAct,130.tar_1508.05303.gz_time_delay_black.pdf,15,footer,"(0, 0, 0, 0.0125)"
PdfAct,125.tar_1508.03078.gz_NEqBosoJ.v3_black.pdf,4,footer,"(0.10000000000000002, 0.1, 0.1, 0.3318777292576419)"
PdfAct,132.tar_1508.06335.gz_plocalgraphsv1_black.pdf,0,footer,"(0.9696969696969697, 0.9411764705882353, 1.0, 0.9693877551020408)"
PdfAct,124.tar_1508.02610.gz_rgopt_phi4Tv8_black.pdf,13,footer,"(0.9674418604651163, 0.9629629629629629, 0.9719626168224299, 0.973302822273074)"
PdfAct,128.tar_1508.04145.gz_main_black.pdf,2,footer,"(0, 0, 0, 0.0)"
PdfAct,120.tar_1508.00575.gz_Toy_GRB130702A_black.pdf,15,footer,"(0.4033613445378151, 0.26373626373626374, 0.8571428571428571, 0.2679127725856698)"
PdfAct,121.tar_1508.00627.gz_RepAKSys_post_ref_black.pdf,14,footer,"(0, 0, 0, 0.017094017094017033)"
PdfAct,124.tar_1508.02547.gz_article_black.pdf,11,footer,"(0.012500000000000002, 0.0125, 0.0125, 0.07956600361663646)"
PdfAct,121.tar_1508.00890.gz_pre_higher_regularity_rev_black.pdf,0,footer,"(0, 0, 0, 0.0033057851239669846)"
PdfAct,128.tar_1508.04387.gz_Game_arguments_in_some_existence_theorems_of_Friedberg_numberings_black.pdf,8,footer,"(0.13333333333333333, 0.07142857142857142, 1.0, 0.3506493506493507)"
PdfAct,130.tar_1508.05293.gz_uniform_cores_black.pdf,1,footer,"(1.0, 1.0, 1.0, 1.0)"
PdfAct,120.tar_1508.00424.gz_paper_black.pdf,0,footer,"(0, 0, 0, 0.07898894154818321)"
PdfAct,127.tar_1508.04036.gz_AdjointsAndBrainFunctors-rev2_black.pdf,5,footer,"(0, 0, 0, 0.0)"
PdfAct,124.tar_1508.02369.gz_JCORBY_ATCA_black.pdf,31,footer,"(0.6666666666666666, 0.5, 1.0, 0.7638888888888888)"
PdfAct,134.tar_1508.07423.gz_AnomalyExtraSingularity_JHEPv2_black.pdf,20,footer,"(0, 0, 0, 0.019639934533551583)"
PdfAct,132.tar_1508.06014.gz_dibson_black.pdf,5,footer,"(0, 0, 0, 0.14102564102564102)"
PdfAct,134.tar_1508.07366.gz_baryon_fraction_black.pdf,5,footer,"(0, 0, 0, 0.06315789473684205)"
PdfAct,124.tar_1508.02275.gz_paper_black.pdf,0,footer,"(0, 0, 0, 0.09900990099009903)"
PdfAct,132.tar_1508.06354.gz_F-QEDv3_black.pdf,28,footer,"(0, 0, 0, 0.03389830508474574)"
PdfAct,128.tar_1508.04085.gz_Resistivity_draft_black.pdf,13,footer,"(0, 0, 0, 0.10294117647058826)"
PdfAct,126.tar_1508.03241.gz_CompleteManuscript_black.pdf,1,footer,"(0.7894736842105263, 0.6521739130434783, 1.0, 0.7981220657276995)"
PdfAct,134.tar_1508.07423.gz_AnomalyExtraSingularity_JHEPv2_black.pdf,15,footer,"(0, 0, 0, 0.024590163934426243)"
PdfAct,130.tar_1508.05100.gz_donati_black.pdf,0,footer,"(0, 0, 0, 0.014051522248243629)"
PdfAct,121.tar_1508.00773.gz_arXivPaper_black.pdf,4,footer,"(0, 0, 0, 0.0)"
PdfAct,128.tar_1508.04135.gz_AdS3M5v1sub_black.pdf,22,footer,"(0, 0, 0, 0.06837606837606841)"
PdfAct,133.tar_1508.06729.gz_ms_black.pdf,3,footer,"(1.0, 1.0, 1.0, 1.0)"
PdfAct,133.tar_1508.06588.gz_diamond_mem_cavity_ArXiv_black.pdf,2,footer,"(0.35071090047393366, 0.31896551724137934, 0.3894736842105263, 0.41602465331278893)"
PdfAct,132.tar_1508.06381.gz_relayEH_20150819_black.pdf,3,footer,"(0.30985915492957744, 0.30985915492957744, 0.30985915492957744, 0.4551282051282051)"
PdfAct,135.tar_1508.07747.gz_isquare4_black.pdf,4,footer,"(0.15555555555555556, 0.15555555555555556, 0.15555555555555556, 0.35225048923679053)"
PdfAct,124.tar_1508.02632.gz_p978eps_v2_black.pdf,13,footer,"(0.5569620253164556, 0.4943820224719101, 0.6376811594202898, 0.47804878048780486)"
PdfAct,126.tar_1508.03167.gz_mergeshuffle-draft-v1_black.pdf,0,footer,"(0, 0, 0, 0.006968641114982574)"
PdfAct,124.tar_1508.02610.gz_rgopt_phi4Tv8_black.pdf,26,footer,"(0.18518518518518517, 0.15151515151515152, 0.23809523809523808, 0.35649546827794565)"
PdfAct,120.tar_1508.00169.gz_BICJ_black.pdf,0,footer,"(0.013888888888888888, 0.013888888888888888, 0.013888888888888888, 0.04462474645030426)"
PdfAct,124.tar_1508.02285.gz_smt2015arxiv_black.pdf,2,footer,"(0.20000000000000004, 0.2, 0.2, 0.5729166666666666)"
PdfAct,127.tar_1508.03924.gz_amss-def-apr-11-16-final_black.pdf,15,footer,"(0, 0, 0, 0.015037593984962428)"
PdfAct,124.tar_1508.02596.gz_MixedBoundArXiv_v2_black.pdf,0,footer,"(0, 0, 0, 0.0)"
PdfAct,132.tar_1508.06303.gz_rIBP_arxiv_black.pdf,8,footer,"(0.18604651162790697, 0.18181818181818182, 0.19047619047619047, 0.39344262295081966)"
PdfAct,120.tar_1508.00218.gz_SASI_black.pdf,1,footer,"(0.15384615384615385, 0.15384615384615385, 0.15384615384615385, 0.35984848484848486)"
PdfAct,120.tar_1508.00355.gz_photon-sphere-EM2_black.pdf,7,footer,"(0.2753623188405797, 0.2753623188405797, 0.2753623188405797, 0.38761776581426655)"
PdfAct,130.tar_1508.05372.gz_noise_black.pdf,12,footer,"(0, 0, 0, 0.008368200836820137)"
PdfAct,120.tar_1508.00491.gz_2d_combinatorics_black.pdf,0,footer,"(0, 0, 0, 0.026666666666666713)"
PdfAct,125.tar_1508.02693.gz_paper_black.pdf,14,footer,"(0, 0, 0, 0.0)"
PdfAct,124.tar_1508.02439.gz_coveringLP_black.pdf,1,footer,"(0, 0, 0, 0.010471204188481664)"
PdfAct,131.tar_1508.05560.gz_ver3_rev_1_black.pdf,2,footer,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.6326530612244897)"
PdfAct,131.tar_1508.05676.gz_oscillation_mode_scale_black.pdf,0,footer,0
PdfAct,120.tar_1508.00036.gz_bare_jrnl5_black.pdf,0,footer,"(0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.3176178660049628)"
PdfAct,132.tar_1508.06496.gz_journal-arxiv_black.pdf,8,footer,"(0, 0, 0, 0.08571428571428569)"
PdfAct,122.tar_1508.01371.gz_arXiv_JH_black.pdf,8,footer,"(0, 0, 0, 0.10526315789473685)"
PdfAct,129.tar_1508.04644.gz_MaxFlowMinCutV4_black.pdf,1,footer,"(0.9285714285714286, 0.9285714285714286, 0.9285714285714286, 0.9714285714285714)"
PdfAct,122.tar_1508.01272.gz_bhb_nie_black.pdf,4,footer,"(0, 0, 0, 0.1291666666666667)"
PdfAct,"125.tar_1508.03062.gz__pan,even-hole_-free-2017-02-28-arxiv-clean_black.pdf",0,footer,"(0, 0, 0, 0.0)"
PdfAct,121.tar_1508.00910.gz_Global_Structure_JHEP_black.pdf,6,footer,"(0, 0, 0, 0.03755868544600943)"
PdfAct,133.tar_1508.06572.gz_erasure7_black.pdf,1,footer,"(0, 0, 0, 0.0)"
PdfAct,132.tar_1508.06303.gz_rIBP_arxiv_black.pdf,1,footer,"(0.15053763440860216, 0.09210526315789473, 0.4117647058823529, 0.2644067796610169)"
PdfAct,133.tar_1508.06615.gz_lstm_charcnn_black.pdf,5,footer,"(0.29906542056074764, 0.2857142857142857, 0.3137254901960784, 0.397037037037037)"
PdfAct,131.tar_1508.05730.gz_OpEx_HV_neutralisation_20170427_arXiv_avec_erratum_black.pdf,0,footer,0
PdfAct,130.tar_1508.05383.gz_AMCpaper_v1_IEEEsingcol_black.pdf,19,footer,"(0, 0, 0, 0.06521739130434781)"
PdfAct,134.tar_1508.07035.gz_Defect_black.pdf,0,footer,"(0, 0, 0, 0.0)"
PdfAct,130.tar_1508.05355.gz_Autonomics_Whitepaper_1.2_black.pdf,45,footer,"(0, 0, 0, 0.0)"
PdfAct,121.tar_1508.00783.gz_Meshfree_Implicit_Filter_black.pdf,0,footer,"(0, 0, 0, 0.007575757575757507)"
PdfAct,129.tar_1508.04609.gz_ifrp_black.pdf,9,footer,"(0, 0, 0, 0.0)"
PdfAct,124.tar_1508.02337.gz_Remarks_on_mass+change_of_argument_black.pdf,10,footer,"(0.23529411764705882, 0.14705882352941177, 0.5882352941176471, 0.26605504587155965)"
PdfAct,122.tar_1508.01280.gz_main_text_black.pdf,15,footer,"(0.9090909090909091, 0.9090909090909091, 0.9090909090909091, 0.9487179487179488)"
PdfAct,121.tar_1508.00979.gz_EE_Cylinder_ArXiv_v2_black.pdf,10,footer,"(0, 0, 0, 0.015564202334630295)"
PdfAct,132.tar_1508.06126.gz_sn1006-rada-texts-v13-final_black.pdf,0,footer,"(0, 0, 0, 0.23529411764705885)"
PdfAct,132.tar_1508.06162.gz_arxiv_main_black.pdf,0,footer,"(0, 0, 0, 0.0042283298097251535)"
PdfAct,133.tar_1508.06972.gz_reconstruction_cross_specs_black.pdf,24,footer,"(0.25882352941176473, 0.17886178861788618, 0.46808510638297873, 0.2554973821989529)"
PdfAct,123.tar_1508.01524.gz_illustris_recoil_paper_v3_accepted_black.pdf,0,footer,"(0.6666666666666666, 0.5, 1.0, 0.8598130841121495)"
PdfAct,128.tar_1508.04112.gz_paper_black.pdf,4,footer,"(0, 0, 0, 0.1773195876288659)"
PdfAct,120.tar_1508.00269.gz_PGWBicepv5_black.pdf,35,footer,"(0, 0, 0, 0.03125)"
PdfAct,133.tar_1508.06745.gz_paper-2-aug15_black.pdf,4,footer,"(0, 0, 0, 0.07012195121951223)"
PdfAct,123.tar_1508.01596.gz_supar_nips_black.pdf,4,footer,"(0, 0, 0, 0.0074626865671642405)"
PdfAct,128.tar_1508.04340.gz_paper_black.pdf,0,footer,"(0, 0, 0, 0.15384615384615385)"
PdfAct,120.tar_1508.00501.gz_draft_resub_black.pdf,7,footer,"(0, 0, 0, 0.0)"
PdfAct,128.tar_1508.04319.gz_arxiv2015-agp_black.pdf,2,footer,"(0, 0, 0, 0.0)"
PdfAct,134.tar_1508.07274.gz_curveshortening-Final_black.pdf,0,footer,"(0, 0, 0, 0.0)"
PdfAct,121.tar_1508.01006.gz_emnlp2015_black.pdf,3,footer,"(0, 0, 0, 0.149812734082397)"
PdfAct,129.tar_1508.04861.gz_epj-review-crossover_black.pdf,2,footer,"(0.8888888888888888, 0.875, 0.9032258064516129, 0.9368932038834952)"
PdfAct,126.tar_1508.03150.gz_Tom-ms2-12aug2015_black.pdf,0,footer,"(0.5714285714285715, 0.4, 1.0, 0.813953488372093)"
PdfAct,129.tar_1508.04871.gz_draft-rev-7_black.pdf,1,footer,"(0.05747126436781609, 0.05747126436781609, 0.05747126436781609, 0.2356792144026187)"
PdfAct,122.tar_1508.01319.gz_draft-3_black.pdf,24,footer,"(0.37, 0.2, 2.466666666666667, 0.1254071661237785)"
PdfAct,127.tar_1508.03694.gz_Article_black.pdf,8,footer,"(0, 0, 0, 0.15714285714285708)"
PdfAct,133.tar_1508.06585.gz_TowardsUniversalNN_black.pdf,1,footer,"(0, 0, 0, 0.0)"
PdfAct,135.tar_1508.07831.gz_Time_dependent_friction_in_a_free_gas_v2_black.pdf,5,footer,"(0, 0, 0, 0.0)"
PdfAct,122.tar_1508.01140.gz_DisentanglingAcceptedVersion_black.pdf,2,footer,"(0, 0, 0, 0.0)"
PdfAct,129.tar_1508.04937.gz_1509seesaw_arxiv4_black.pdf,2,footer,"(0.3823529411764706, 0.38235294117647056, 0.38235294117647056, 0.5965463108320251)"
PdfAct,134.tar_1508.07388.gz_smania_arxiv-2017-05-07_black.pdf,0,footer,"(0, 0, 0, 0.011363636363636402)"
PdfAct,132.tar_1508.06453.gz_ICRC2015-Schioppa-Montaruli_black.pdf,0,footer,"(0.09090909090909091, 0.0625, 0.16666666666666666, 0.29)"
PdfAct,133.tar_1508.06972.gz_reconstruction_cross_specs_black.pdf,2,footer,"(0.967741935483871, 0.9375, 1.0, 0.9861111111111112)"
PdfAct,126.tar_1508.03262.gz_hetprob_black.pdf,31,footer,"(0, 0, 0, 0.007067137809187329)"
PdfAct,120.tar_1508.00137.gz_spec_action_bose-ferm_v4_black.pdf,9,footer,"(0, 0, 0, 0.010126582278481067)"
PdfAct,134.tar_1508.07204.gz_iHKM-arxiv_v2-final_black.pdf,1,footer,"(0.05000000000000001, 0.05, 0.05, 0.01818181818181813)"
PdfAct,132.tar_1508.06142.gz_paraxial_Gomez_Pinaud_black.pdf,0,footer,"(0, 0, 0, 0.008547008547008517)"
PdfAct,135.tar_1508.07821.gz_main_black.pdf,6,footer,"(1.0, 1.0, 1.0, 1.0)"
PdfAct,127.tar_1508.03648.gz_baryogenesis_arXiv_v2_black.pdf,11,footer,"(0, 0, 0, 0.0)"
PdfAct,123.tar_1508.01869.gz_final_black.pdf,5,footer,"(0.25, 0.25, 0.25, 0.411764705882353)"
PdfAct,127.tar_1508.03599.gz_acm_tompecs_final_black.pdf,3,footer,"(0.8656716417910447, 0.6304347826086957, 1.380952380952381, 0.6582597730138714)"
PdfAct,125.tar_1508.02898.gz_paper_black.pdf,20,footer,"(0.39999999999999997, 0.2815533980582524, 0.6904761904761905, 0.33526011560693647)"
PdfAct,130.tar_1508.05099.gz_calibrators_black.pdf,2,footer,"(0, 0, 0, 0.05825242718446603)"
PdfAct,131.tar_1508.05803.gz_main_black.pdf,3,footer,"(0, 0, 0, 0.0)"
PdfAct,128.tar_1508.04522.gz_election_sketching_wc_black.pdf,2,footer,"(0, 0, 0, 0.0)"
