Tool,ID,Page,Label,F1,SpatialDist
PdfAct,220.tar_1611.04654.gz_root_black.pdf,0,title,1.0,1.0
PdfAct,212.tar_1611.00783.gz_steward_black.pdf,0,title,1.0,1.0
PdfAct,227.tar_1611.07705.gz_convection_black.pdf,0,title,1.0,0.9523809523809524
PdfAct,219.tar_1611.04183.gz_S2CO3_neutron_20160120_black.pdf,0,title,0.5714285714285715,0.927536231884058
PdfAct,218.tar_1611.03309.gz_regmixcon1_black.pdf,0,title,1.0,1.0
PdfAct,221.tar_1611.04890.gz_article_black.pdf,0,title,1.0,1.0
PdfAct,212.tar_1611.00528.gz_mnras_jin_black.pdf,0,title,1.0,1.0
PdfAct,227.tar_1611.07636.gz_appendix_black.pdf,0,title,1.0,1.0
PdfAct,214.tar_1611.01642.gz_easychair_black.pdf,0,title,1.0,1.0
PdfAct,232.tar_1611.09543.gz_kHzElectrons_black.pdf,0,title,1.0,1.0
PdfAct,219.tar_1611.04035.gz_entropicCausal_black.pdf,0,title,1.0,1.0
PdfAct,215.tar_1611.02081.gz_source_black.pdf,0,title,1.0,1.0
PdfAct,233.tar_1611.10002.gz_mExp-DQM10Aug16_black.pdf,0,title,1.0,0.9816849816849818
PdfAct,213.tar_1611.01036.gz_kaluza_arXiv_black.pdf,0,title,1.0,1.0
PdfAct,213.tar_1611.01174.gz_Final_HDLS_black.pdf,0,title,1.0,0.9723756906077348
PdfAct,220.tar_1611.04534.gz_miccai_darvinyi_2_mz_black.pdf,0,title,1.0,1.0
PdfAct,213.tar_1611.01179.gz_AdaptiveGMRA_black.pdf,0,title,0.0,0.0
PdfAct,220.tar_1611.04393.gz_bookchapter_black.pdf,0,title,1.0,0.971830985915493
PdfAct,214.tar_1611.01672.gz_Pandey_Manuscript_SR_Revised-2_black.pdf,0,title,0.9523809523809523,0.9935483870967743
PdfAct,234.tar_1611.10267.gz_DraftShaking_black.pdf,0,title,1.0,1.0
PdfAct,211.tar_1611.00299.gz_GIF++_black.pdf,0,title,0.9090909090909091,0.9629629629629629
PdfAct,233.tar_1611.09979.gz_ablation_arxiv_v2_black.pdf,0,title,1.0,1.0
PdfAct,222.tar_1611.05410.gz_Outliers_black.pdf,0,title,1.0,1.0
PdfAct,229.tar_1611.08492.gz_JNE2016_black.pdf,12,title,1.0,1.0
PdfAct,213.tar_1611.01025.gz_3D_Paper_Draft_4.0_black.pdf,0,title,1.0,1.0
PdfAct,214.tar_1611.01514.gz_paper-v7_black.pdf,0,title,0.9,0.9720670391061452
PdfAct,218.tar_1611.03677.gz_paper_black.pdf,9,title,1.0,1.0
PdfAct,230.tar_1611.08851.gz_main_black.pdf,0,title,0.9090909090909091,0.9720670391061452
PdfAct,219.tar_1611.03923.gz_chapter_11-arxiv_v2_black.pdf,26,title,0.0,0.2641509433962264
PdfAct,227.tar_1611.07417.gz_Hong-ch14_black.pdf,4,title,1.0,1.0
PdfAct,230.tar_1611.08779.gz_16TCAS_CD_black.pdf,0,title,0.7142857142857143,0.6885245901639344
PdfAct,229.tar_1611.08481.gz_paper_black.pdf,0,title,1.0,1.0
PdfAct,215.tar_1611.01957.gz_SVRG_black.pdf,0,title,1.0,1.0
PdfAct,216.tar_1611.02660.gz_Tradeoff_caching_strategy_in_CRAN_black.pdf,1,title,0.0,0.358974358974359
PdfAct,217.tar_1611.02990.gz_manuscript_black.pdf,0,title,1.0,1.0
PdfAct,220.tar_1611.04591.gz_cooling_arxiv1_black.pdf,0,title,1.0,1.0
PdfAct,231.tar_1611.09201.gz_Alternators2_black.pdf,0,title,1.0,1.0
PdfAct,231.tar_1611.08949.gz_FibLatt_v2_black.pdf,0,title,0.0,0.0
PdfAct,230.tar_1611.08510.gz_DPTG_PA_ABM_004_black.pdf,0,title,1.0,1.0
PdfAct,218.tar_1611.03677.gz_paper_black.pdf,0,title,1.0,1.0
PdfAct,213.tar_1611.01090.gz_ghdfhd_arxiv.nocomments_black.pdf,0,title,1.0,1.0
PdfAct,220.tar_1611.04601.gz_arxiv_black.pdf,10,title,1.0,1.0
PdfAct,233.tar_1611.10054.gz_morlino-CRs_black.pdf,14,title,1.0,1.0
PdfAct,211.tar_1611.00185.gz_rich_2016_arxiv_black.pdf,0,title,0.3333333333333333,0.9571428571428571
PdfAct,211.tar_1611.00010.gz_wdm_eagleRevised_v2_black.pdf,0,title,1.0,1.0
PdfAct,218.tar_1611.03456.gz_jcgs-final_black.pdf,0,title,1.0,1.0
PdfAct,219.tar_1611.03757.gz_branex-Nov17_black.pdf,0,title,1.0,0.9473684210526315
PdfAct,211.tar_1611.00234.gz_GarckeLamRomeArXiv_black.pdf,0,title,1.0,1.0
PdfAct,214.tar_1611.01486.gz_paper_black.pdf,6,title,1.0,1.0
PdfAct,231.tar_1611.09099.gz_Survey_HB_v1_black.pdf,0,title,1.0,1.0
PdfAct,211.tar_1611.00131.gz_Higher_dim_Kerr-AdS_final_version_black.pdf,0,title,1.0,0.9583333333333333
PdfAct,231.tar_1611.08920.gz_jibaeji-arxivNov27_2016_black.pdf,0,title,1.0,1.0
PdfAct,219.tar_1611.04141.gz_invers_black.pdf,0,title,1.0,1.0
PdfAct,234.tar_1611.10316.gz_CloudSuite_Memory_characterization_black.pdf,0,title,1.0,1.0
PdfAct,229.tar_1611.08106.gz_Phys-Rev-D-revised_black.pdf,0,title,1.0,0.9785407725321889
PdfAct,232.tar_1611.09290.gz_AdS_flu_black.pdf,0,title,1.0,0.967741935483871
PdfAct,228.tar_1611.07843.gz_bayesian_black.pdf,0,title,0.5714285714285713,0.956989247311828
PdfAct,230.tar_1611.08762.gz_main2_black.pdf,0,title,1.0,1.0
PdfAct,211.tar_1611.00289.gz_apl_black.pdf,0,title,0.0,0.0
PdfAct,234.tar_1611.10273.gz_paper_black.pdf,0,title,1.0,1.0
PdfAct,214.tar_1611.01475.gz_turkpenceEPL20161103_black.pdf,0,title,0.0,0.13888888888888887
PdfAct,220.tar_1611.04624.gz_arxiv_black.pdf,0,title,1.0,1.0
PdfAct,213.tar_1611.00897.gz_MF_X_WL_v2_black.pdf,0,title,1.0,1.0
PdfAct,219.tar_1611.04327.gz_rope.1.col_black.pdf,0,title,1.0,1.0
PdfAct,213.tar_1611.01308.gz_He_circular_states_arxiv_black.pdf,0,title,1.0,0.968944099378882
PdfAct,212.tar_1611.00532.gz_paper_black.pdf,0,title,1.0,1.0
PdfAct,215.tar_1611.02252.gz_featlearn_iclr_black.pdf,0,title,0.0,0.9885057471264368
PdfAct,218.tar_1611.03616.gz_main_black.pdf,0,title,0.0,0.0
PdfAct,212.tar_1611.00640.gz_manuscript_black.pdf,1,title,1.0,0.927536231884058
PdfAct,218.tar_1611.03723.gz_jdeplaa_black.pdf,0,title,1.0,1.0
PdfAct,221.tar_1611.05123.gz_mayukh_17oct-GM_black.pdf,0,title,1.0,0.966887417218543
PdfAct,215.tar_1611.01907.gz_ferhat_ozgur_catak_black.pdf,0,title,1.0,1.0
PdfAct,230.tar_1611.08764.gz_final_black.pdf,0,title,0.3333333333333333,0.44067796610169496
PdfAct,233.tar_1611.10034.gz_RPUAT15_arxiv_black.pdf,0,title,1.0,1.0
PdfAct,227.tar_1611.07417.gz_Hong-ch14_black.pdf,12,title,1.0,1.0
PdfAct,227.tar_1611.07643.gz_Observations_v5p4_black.pdf,0,title,1.0,1.0
PdfAct,234.tar_1611.10166.gz_arXiv_2_black.pdf,0,title,0.9166666666666666,0.9738219895287957
