Tool,ID,Page,Label,F1,SpatialDist
PdfAct,89.tar_1804.00594.gz_spinorization_black.pdf,9,reference,0.0,0.0
PdfAct,97.tar_1804.03250.gz_Ba2MnGe2O7AFMR_arXiv_black.pdf,11,reference,0.0,0.0
PdfAct,92.tar_1804.01865.gz_pandolfi-testo-4-Arxiv_black.pdf,20,reference,0.0037341299477221808,0.07972999413030721
PdfAct,88.tar_1804.00104.gz_nips_2018_black.pdf,9,reference,0.027317073170731704,0.7838998650141121
PdfAct,97.tar_1804.03293.gz_shenango-channel_black.pdf,10,reference,0.0,0.0
PdfAct,99.tar_1804.04115.gz_vFINAL_black.pdf,25,reference,0.0,0.0
PdfAct,97.tar_1804.03203.gz_alend_black.pdf,34,reference,0.0,0.11398963730569946
PdfAct,93.tar_1804.02045.gz_approx_hypercube_arxiv_black.pdf,10,reference,0.0,0.0
PdfAct,90.tar_1804.01096.gz_paperAGN_black.pdf,15,reference,0.0,0.0
PdfAct,88.tar_1804.00163.gz_thesis_black.pdf,8,reference,0.0,0.0
PdfAct,90.tar_1804.00714.gz_latex_version_black.pdf,6,reference,0.0,0.0
PdfAct,91.tar_1804.01483.gz_pion_PDF_v3_black.pdf,6,reference,0.0,0.0
PdfAct,93.tar_1804.02195.gz_bare_jrnl_versione_estesa_black.pdf,11,reference,0.0,0.0
PdfAct,91.tar_1804.01249.gz_10_oseti_color_black.pdf,15,reference,0.0,0.0
PdfAct,91.tar_1804.01382.gz_vanlearning_black.pdf,4,reference,0.0,0.0
PdfAct,92.tar_1804.01694.gz_main_edited_black.pdf,10,reference,0.006562756357670222,0.41979725700655934
PdfAct,91.tar_1804.01440.gz_ParBoot_black.pdf,28,reference,0.0,0.0
PdfAct,89.tar_1804.00345.gz_Realiofso_black.pdf,10,reference,0.0,0.11357229158276283
PdfAct,94.tar_1804.02397.gz_mellin8supercharges_black.pdf,24,reference,0.007291666666666667,0.2968896586562748
PdfAct,91.tar_1804.01371.gz_main_black.pdf,8,reference,0.0,0.0
PdfAct,93.tar_1804.01991.gz_halometry_black.pdf,47,reference,0.008687558175612783,0.3155838720178579
PdfAct,90.tar_1804.00783.gz_connected-sum_dim3_black.pdf,9,reference,0.0,0.0
PdfAct,93.tar_1804.02006.gz_paper_black.pdf,7,reference,0.0,0.0
PdfAct,99.tar_1804.03977.gz_main_black.pdf,17,reference,0.011148272017837236,0.09550827423167846
PdfAct,95.tar_1804.02508.gz_alife2018-v1_black.pdf,6,reference,0.01400560224089636,0.47384926656550325
PdfAct,95.tar_1804.02699.gz_Infl-Mar2_black.pdf,10,reference,0.0,0.0
PdfAct,90.tar_1804.00857.gz_BiBloSAN_camera_v1_black.pdf,14,reference,0.0,0.0
PdfAct,98.tar_1804.03894.gz_main_black.pdf,28,reference,0.10153482880755609,0.3724482302834484
PdfAct,96.tar_1804.02829.gz_ms_black.pdf,18,reference,0.0033812341504649195,0.5115774240231549
