Tool,ID,Page,Label,SpatialDist
PdfAct,47.tar_1404.3767.gz_Roth__Exact_description__2014_arXiv_black.pdf,12,section,0
PdfAct,52.tar_1404.7002.gz_resubmit3_black.pdf,1,section,"(0, 0, 0, 0.13513513513513517)"
PdfAct,51.tar_1404.6465.gz_A_N-SIDIS-new_black.pdf,7,section,0
PdfAct,46.tar_1404.3630.gz_CR_reacc_black.pdf,3,section,"(0.5, 0.5, 0.5, 0.689655172413793)"
PdfAct,46.tar_1404.3188.gz_rkhsgauss-preprint_black.pdf,0,section,"(0.3333333333333333, 0.25, 0.5, 0.4242424242424242)"
PdfAct,48.tar_1404.4388.gz_Partially_Observed_Multiobjective_Markov_Games_black.pdf,6,section,0
PdfAct,45.tar_1404.2596.gz_wedgeFormalismPartA_black.pdf,7,section,"(0, 0, 0, 0.058823529411764636)"
PdfAct,43.tar_1404.1868.gz_calvez-gabriel-gaubert-2014-HAL_black.pdf,6,section,"(0.007751937984496124, 0.007751937984496124, 0.007751937984496124, 0.030087527352297628)"
PdfAct,51.tar_1404.6798.gz_surficial_black.pdf,2,section,"(0, 0, 0, 0.19607843137254904)"
PdfAct,48.tar_1404.4780.gz_asrc_tsmc_black.pdf,9,section,"(0, 0, 0, 0.04273504273504272)"
PdfAct,46.tar_1404.3145.gz_manuscript_black.pdf,8,section,"(1.0, 1.0, 1.0, 1.0)"
PdfAct,52.tar_1404.6989.gz_gaussianMLE_V2_black.pdf,12,section,0
PdfAct,41.tar_1404.0145.gz_BishopDoucet-WassersteinConsensus-Arxiv_black.pdf,10,section,0
PdfAct,45.tar_1404.3036.gz_arxiv_black.pdf,11,section,0
PdfAct,49.tar_1404.5395.gz_iplclass15_black.pdf,46,section,0
PdfAct,44.tar_1404.2146.gz_ssa3_black.pdf,3,section,"(0, 0, 0, 0.125984251968504)"
PdfAct,48.tar_1404.4489.gz_MDarticle_black.pdf,0,section,"(0.14285714285714285, 0.08333333333333333, 0.5, 0.2258064516129032)"
PdfAct,51.tar_1404.6821.gz_twom5_black.pdf,4,section,0
PdfAct,48.tar_1404.4826.gz_HeRb_black.pdf,5,section,"(0, 0, 0, 0.038461538461538394)"
PdfAct,53.tar_1404.7495.gz_ms_black.pdf,5,section,"(0, 0, 0, 0.150375939849624)"
