Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
PdfAct,47.tar_1404.3816.gz_Kalman_black.pdf,7,table,0,0,0,0
PdfAct,52.tar_1404.7306.gz_IRNN_black.pdf,1,table,0,0,0,0
PdfAct,48.tar_1404.4780.gz_asrc_tsmc_black.pdf,9,table,0,0,0,0
PdfAct,45.tar_1404.3036.gz_arxiv_black.pdf,9,table,0,0,0,0
PdfAct,43.tar_1404.1715.gz_scgw-article_black.pdf,12,table,0,0,0,0
PdfAct,50.tar_1404.5961.gz_S.N.Molina_black.pdf,14,table,0,0,0,0
PdfAct,46.tar_1404.3252.gz_Drag_force_on_a_moving_impurity_in_a_spin-orbit_coupled_Bose-Einstein_condensate-resubmitted_black.pdf,4,table,0,0,0,0
PdfAct,43.tar_1404.1521.gz_GPU_paper_black.pdf,3,table,0,0,0,0
PdfAct,45.tar_1404.2851.gz_pomeron_black.pdf,3,table,0,0,0,0
PdfAct,51.tar_1404.6617.gz_FaithfulPaper0123arxiv_black.pdf,9,table,0,0,0,0
PdfAct,49.tar_1404.5028.gz_arxivSasaki2014_black.pdf,14,table,0,0,0,0
PdfAct,47.tar_1404.3828.gz_PBM-14-v1_black.pdf,24,table,0,0,0,0
PdfAct,46.tar_1404.3644.gz_ms_black.pdf,4,table,0,0,0,0
PdfAct,52.tar_1404.7416.gz_5_black.pdf,12,table,0,0,0,0
PdfAct,49.tar_1404.5028.gz_arxivSasaki2014_black.pdf,13,table,0,0,0,0
PdfAct,41.tar_1404.0304.gz_VerticalMixpopPDM_black.pdf,2,table,0,0,0,0
PdfAct,43.tar_1404.1866.gz_spectral_measures_G2-subgroups-v3_black.pdf,22,table,0,0,0,0
PdfAct,47.tar_1404.4104.gz_SparseBilinearLR_black.pdf,21,table,0,0,0,0
PdfAct,51.tar_1404.6318.gz_ms_black.pdf,13,table,0,0,0,0
PdfAct,48.tar_1404.4923.gz_pe_gac_arxiv_black.pdf,9,table,0,0,0,0
PdfAct,51.tar_1404.6872.gz_paper_black.pdf,19,table,0,0,0,0
PdfAct,52.tar_1404.7126.gz_Manuscript_file_black.pdf,3,table,0,0,0,0
PdfAct,46.tar_1404.3606.gz_PCANet_PAMI-4_black.pdf,8,table,0,0,0,0
PdfAct,52.tar_1404.7221.gz_manuscript_Riemann_color-2_black.pdf,9,table,0,0,0,0
PdfAct,48.tar_1404.4808.gz_JCAP_ds_black.pdf,8,table,0,0,0,0
PdfAct,50.tar_1404.5628.gz_paper_black.pdf,4,table,0,0,0,0
PdfAct,49.tar_1404.5059.gz_Normapaper_rev_arxiv_black.pdf,3,table,0,0,0,0
PdfAct,50.tar_1404.5689.gz_manuscript_black.pdf,12,table,0,0,0,0
PdfAct,50.tar_1404.5599.gz_pilong-20140420_black.pdf,16,table,0,0,0,0
PdfAct,46.tar_1404.3643.gz_CollisionPaper_2nd_revision_310714_black.pdf,6,table,0,0,0,0
PdfAct,46.tar_1404.3555.gz_Smile_from_the_past_black.pdf,22,table,0,0,0,0
PdfAct,51.tar_1404.6287.gz_main_black.pdf,2,table,0,0,0,0
PdfAct,46.tar_1404.3589.gz_xmac-contikimac-rpl-llncs_black.pdf,4,table,0,0,0,0
PdfAct,52.tar_1404.7366.gz_Melzani_reconnection_ion_electron_relat_black.pdf,1,table,0,0,0,0
PdfAct,43.tar_1404.1426.gz_ps2-ap1rog_black.pdf,3,table,0,0,0,0
PdfAct,51.tar_1404.6274.gz_robreg_black.pdf,22,table,0,0,0,0
PdfAct,41.tar_1404.0390.gz_xorshiftplus_black.pdf,7,table,0,0,0,0
PdfAct,51.tar_1404.6231.gz_inclPRC_black.pdf,31,table,0,0,0,0
PdfAct,45.tar_1404.2590.gz_Aggiornato1_black.pdf,17,table,0,0,0,0
PdfAct,46.tar_1404.3181.gz_arxiv_submission_2014_08_21_black.pdf,6,table,0,0,0,0
PdfAct,51.tar_1404.6231.gz_inclPRC_black.pdf,36,table,0,0,0,0
PdfAct,44.tar_1404.2222.gz_mohanty_nautiyal_manuscript_black.pdf,5,table,0,0,0,0
PdfAct,51.tar_1404.6363.gz_paper_black.pdf,19,table,0,0,0,0
PdfAct,50.tar_1404.6092.gz_LaPalombara_sdOs_black.pdf,4,table,0,0,0,0
PdfAct,49.tar_1404.5207.gz_Double_H_v2_black.pdf,16,table,0,0,0,0
PdfAct,42.tar_1404.0899.gz_paper_black.pdf,10,table,0,0,0,0
PdfAct,48.tar_1404.4398.gz_higgsVLv2_black.pdf,28,table,0,0,0,0
