Tool,ID,Page,Label,F1,SpatialDist
PdfAct,30.tar_1702.03888.gz_ms_black.pdf,16,reference,0.0,0.0
PdfAct,30.tar_1702.03590.gz_arXiv_SignalDependentNoiseChannel_black.pdf,33,reference,0.9222236968717732,0.9668778809251971
PdfAct,29.tar_1702.03272.gz_note_black.pdf,3,reference,0.0,0.0
PdfAct,24.tar_1702.01254.gz_1702.01254v2_black.pdf,36,reference,0.9301602395523244,0.9639672337102932
PdfAct,22.tar_1702.00158.gz_JVIS_VCNN_v2_black.pdf,23,reference,0.0,0.0
PdfAct,22.tar_1702.00179.gz_ToadsTradeOff_black.pdf,39,reference,0.985136950419064,0.9676644930807821
PdfAct,24.tar_1702.01293.gz_LHM_black.pdf,7,reference,0.138004246284501,0.1383320581484315
PdfAct,23.tar_1702.00715.gz_GeSe_arxiv_black.pdf,15,reference,0.0,0.0
PdfAct,25.tar_1702.01641.gz_nanotech_arxive_JJ_black.pdf,7,reference,0.0,0.0
PdfAct,23.tar_1702.00491.gz_q_EELS_and_q_PDOS_arxiv_black.pdf,5,reference,0.0,0.0
PdfAct,24.tar_1702.01027.gz_random_triangles_black.pdf,22,reference,0.0,0.0
PdfAct,28.tar_1702.03080.gz_szajn_black.pdf,3,reference,0.0,0.0
PdfAct,24.tar_1702.01072.gz_manuscript_black.pdf,12,reference,0.9179325609217474,0.9784907792899088
PdfAct,23.tar_1702.00633.gz_epitree_black.pdf,14,reference,0.940255490377168,0.9964601239056128
PdfAct,29.tar_1702.03353.gz_GS-Arxiv-feb-2017_black.pdf,22,reference,0.946320945724199,0.9923510081732222
PdfAct,25.tar_1702.01488.gz_TPS_black.pdf,8,reference,0.0,0.0
PdfAct,28.tar_1702.02856.gz_Payami-arXiv-09_02_17_black.pdf,7,reference,0.0,0.0
PdfAct,32.tar_1702.04508.gz_Joao_Neutrino2016_black.pdf,2,reference,0.0,0.0
PdfAct,23.tar_1702.00777.gz_ms_black.pdf,32,reference,0.0,0.0
PdfAct,31.tar_1702.04157.gz_ET_Heis_black.pdf,29,reference,0.9080503150920504,0.9876961051138952
PdfAct,31.tar_1702.04285.gz_CDMET_black.pdf,12,reference,0.0,0.0
PdfAct,24.tar_1702.01191.gz_paperv4_black.pdf,35,reference,0.9810688231592966,0.9797981657173397
PdfAct,22.tar_1702.00308.gz_MeleZhuSeptember2017_black.pdf,25,reference,0.0,0.0
PdfAct,32.tar_1702.04876.gz_GeTeN_black.pdf,7,reference,0.0,0.0
PdfAct,28.tar_1702.02828.gz_ridgelowerArXiv_black.pdf,8,reference,0.93841072844615,0.9838459726174424
PdfAct,33.tar_1702.05135.gz_Simulator_black.pdf,32,reference,0.0,0.0
PdfAct,25.tar_1702.01477.gz_spin_proceedings_v3_black.pdf,3,reference,0.0,0.0
PdfAct,30.tar_1702.03803.gz_Extended_2_dim_eq_black.pdf,14,reference,0.0445205479452054,0.1666666666666667
PdfAct,23.tar_1702.00527.gz_bare_conf_black.pdf,4,reference,0.0,0.0
PdfAct,25.tar_1702.01700.gz_ms_black.pdf,17,reference,0.0,0.0
PdfAct,25.tar_1702.01813.gz_dyna_black.pdf,4,reference,0.0,0.0
PdfAct,32.tar_1702.04597.gz_woaArXiv_black.pdf,29,reference,0.9771753329666252,0.9944043360808967
PdfAct,27.tar_1702.02436.gz_spin_1_v3_black.pdf,7,reference,0.0,0.0
PdfAct,31.tar_1702.04173.gz_codaspy-16-camera-ready2a_black.pdf,10,reference,0.0,0.0
PdfAct,33.tar_1702.05095.gz_GeneratingGenera_v37c_black.pdf,74,reference,0.9379002828056237,0.9576307779709055
PdfAct,23.tar_1702.00507.gz_lanthanide_metrology_black.pdf,18,reference,0.0,0.0
PdfAct,26.tar_1702.02145.gz_manuscript_black.pdf,9,reference,0.0,0.0
PdfAct,24.tar_1702.00847.gz_main_black.pdf,16,reference,0.9766219145572188,0.9931365446442108
PdfAct,30.tar_1702.03586.gz_pentag-chain-rev3_black.pdf,14,reference,0.0,0.0
PdfAct,28.tar_1702.02944.gz_draft_black.pdf,4,reference,0.934567921487924,0.962389046355403
PdfAct,30.tar_1702.03737.gz_Final_black.pdf,42,reference,0.9561870420792932,0.980869571918085
PdfAct,27.tar_1702.02597.gz_StructurallyObservableDistributedNetworks_black.pdf,10,reference,0.0,0.0
PdfAct,26.tar_1702.02174.gz_final_black.pdf,20,reference,0.0,0.0
PdfAct,29.tar_1702.03128.gz_The_Potential_of_Using_Large_Antenna_Arrays_on_Intelligent_Surfaces_black.pdf,5,reference,0.0,0.0
PdfAct,23.tar_1702.00418.gz_Ratsimbazafy_SALT_LRGs_corr_black.pdf,9,reference,0.0,0.0
PdfAct,30.tar_1702.03719.gz_0748-two-column_black.pdf,7,reference,0.0,0.0
PdfAct,24.tar_1702.00971.gz_audigier_multilevel_black.pdf,30,reference,0.9575510979232432,0.9904587273048905
PdfAct,25.tar_1702.01721.gz_sighthoundMMCR_black.pdf,6,reference,0.9791853150191328,0.9957702078469273
PdfAct,24.tar_1702.01135.gz_main_black.pdf,19,reference,0.9203556285012654,0.9504034644821715
