Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
ScienceParse,166.tar_1609.00829.gz_lagarxiv_black.pdf,0,title,0.8,0.8,0.8000000000000002,0.9333333333333332
ScienceParse,175.tar_1609.04641.gz_main_black.pdf,0,title,1.0,1.0,1.0,1.0
ScienceParse,176.tar_1609.04819.gz_m87fuv_black.pdf,0,title,1.0,1.0,1.0,1.0
ScienceParse,180.tar_1609.06571.gz_Magnetic_Maxwell-BI3D-8_black.pdf,0,title,1.0,1.0,1.0,1.0
ScienceParse,176.tar_1609.05059.gz_revised_planar-3DC_2017_1015_Tomas_black.pdf,0,title,1.0,1.0,1.0,1.0
ScienceParse,180.tar_1609.06823.gz_nig-conf-short_black.pdf,0,title,0.8,0.8,0.8000000000000002,0.8641975308641975
ScienceParse,185.tar_1609.09107.gz_trans_rev_black.pdf,0,title,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9681528662420382
ScienceParse,177.tar_1609.05568.gz_qholes3_black.pdf,0,title,0.0,0.0,0.0,0.2222222222222223
ScienceParse,179.tar_1609.06427.gz_bracken_bass_final_black.pdf,0,title,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9416342412451363
ScienceParse,166.tar_1609.00731.gz_Goray_black.pdf,0,title,0.0,0.0,0.0,0.08955223880597017
ScienceParse,165.tar_1609.00323.gz_ptranspose_bjp_black.pdf,0,title,1.0,1.0,1.0,1.0
ScienceParse,180.tar_1609.06902.gz_padiclanglands_black.pdf,34,title,0.0,0.0,0.0,0.06451612903225808
ScienceParse,172.tar_1609.03183.gz_paper_withrefs_black.pdf,0,title,1.0,1.0,1.0,1.0
ScienceParse,182.tar_1609.07708.gz_Neutrino_Spinrath_black.pdf,0,title,1.0,1.0,1.0,1.0
ScienceParse,173.tar_1609.03769.gz_arxiv_kl_proof_fix_flattened_black.pdf,0,title,1.0,1.0,1.0,0.9700598802395209
ScienceParse,184.tar_1609.08419.gz_cohort_black.pdf,0,title,1.0,1.0,1.0,0.9606299212598425
ScienceParse,166.tar_1609.00687.gz_bps-version2_black.pdf,0,title,1.0,1.0,1.0,1.0
ScienceParse,166.tar_1609.00805.gz_OD-selection-principles-arxiv_black.pdf,0,title,0.0,0.0,0.0,0.12307692307692307
ScienceParse,182.tar_1609.07464.gz_riBART_arxiv_20170501_black.pdf,0,title,1.0,1.0,1.0,1.0
ScienceParse,179.tar_1609.06428.gz_proc_scamps_black.pdf,0,title,0.0,0.0,0.0,0.09756097560975605
ScienceParse,182.tar_1609.07653.gz_exceptional_points_in_anisotropic_microcavities_arXiv_complete_black.pdf,0,title,1.0,1.0,1.0,1.0
