Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
ScienceParse,67.tar_1703.10917.gz_boundedness_results_for_2-adic_Galois_images_associated_to_hyperelliptic_Jacobians_black.pdf,13,reference,0.5071333845353496,0.6785009887484308,0.6824885400080907,0.5471074095355326
ScienceParse,58.tar_1703.07388.gz_SB_transform_black.pdf,30,reference,0.6927821841662175,0.6724250773970514,0.4073094780578278,0.5947492358813498
ScienceParse,48.tar_1703.02895.gz_JSC-ExptRegimes-pof-v3_black.pdf,37,reference,0.3864920475920855,0.33939700067445133,0.6198478787397173,0.5326420969727201
ScienceParse,57.tar_1703.06652.gz_freq_aloc_archiveORG_black.pdf,34,reference,0.3198237260273026,0.48353061081096316,0.6980390789283701,0.5058213948800867
ScienceParse,57.tar_1703.06850.gz_matrix_action3_black.pdf,24,reference,0.44075335650699116,0.6436289951803511,0.5487918042793866,0.4056133488163929
ScienceParse,56.tar_1703.06448.gz_Linfty-arXiv_black.pdf,40,reference,0.30196723938242304,0.41177539058579943,0.37785541406412104,0.408702857822647
ScienceParse,42.tar_1703.00156.gz_supercon20170223_black.pdf,24,reference,0.6562847199597246,0.6026062443814768,0.44196563429782126,0.42820791019479315
ScienceParse,47.tar_1703.02342.gz_Measurement_compression_black.pdf,18,reference,0.49651406460619396,0.6923877019720497,0.6535434711488921,0.4819644614415266
ScienceParse,54.tar_1703.05670.gz_Report_black.pdf,40,reference,0.3337005981955343,0.6349238973271663,0.35908490076414085,0.6168847111836868
ScienceParse,43.tar_1703.00731.gz_final_black.pdf,1,reference,0.45377021551566443,0.4899869890645092,0.42122947431929547,0.6438912653018998
ScienceParse,52.tar_1703.04637.gz_ISK4_Detection_black.pdf,16,reference,0.483308501301447,0.37400045119252956,0.6979839247629038,0.4729897510061074
ScienceParse,49.tar_1703.03411.gz_Subleading_Operators_Paper_black.pdf,122,reference,0.3429668281807381,0.32121233576527536,0.5348153450339754,0.6597801709015172
ScienceParse,67.tar_1703.10805.gz_5Dgravitino_v1_black.pdf,20,reference,0.5241096528160465,0.49375595678465944,0.6663537755962038,0.5293796708098011
ScienceParse,62.tar_1703.09140.gz_regvar3-arxiv_black.pdf,31,reference,0.49788514042853615,0.5792270232650945,0.33249504745054653,0.696044104104942
ScienceParse,61.tar_1703.08598.gz_Bisbas_black.pdf,16,reference,0.5235499789666465,0.3310751561502066,0.30633843234572455,0.46835555284508124
ScienceParse,65.tar_1703.10135.gz_tts_arxiv_black.pdf,7,reference,0.686257951704709,0.5054554951622803,0.574597943041408,0.5560573044960814
ScienceParse,49.tar_1703.03334.gz_heavytailedmutation_arxiv_v2_black.pdf,30,reference,0.3097545205380778,0.33151799717104735,0.6419533120675693,0.5336801825129669
ScienceParse,60.tar_1703.07885.gz_paper_black.pdf,29,reference,0.6095040325837725,0.31461442831031206,0.40903313635186267,0.46560794011196815
ScienceParse,61.tar_1703.08574.gz_resub-EL1_black.pdf,12,reference,0.6005898476150264,0.308621558986326,0.6779386718411047,0.6876654709720014
ScienceParse,45.tar_1703.01468.gz_AUSDM2016_black.pdf,9,reference,0.6061839887939484,0.3185043977170681,0.6930345605235915,0.6967878624120631
