Tool,ID,Page,Label,Precision,Recall,F1,SpatialDist
TABULA,46.tar_1503.07826.gz_arXiv_black_subset_6,6,table,0,0,0,0.25724020442930157
TABULA,47.tar_1503.08107.gz_AFCv12_black_subset_9,9,table,0,0,0,0.3424340583063396
TABULA,34.tar_1503.01345.gz_ms_black_subset_2,2,table,0,0,0,0.1971595655806182
TABULA,41.tar_1503.04650.gz_yankelevich_black_subset_5,5,table,0,0,0,0.13623379477038014
TABULA,46.tar_1503.07623.gz_MSTY150326_black_subset_11,11,table,0,0,0,0.14071510957324107
TABULA,39.tar_1503.03997.gz_Large-Scale-Multiuser-GSM-MIMO_black_subset_2,2,table,0,0,0,0.4054441260744986
TABULA,32.tar_1503.00506.gz_The_Role_of_Topology_in_Quantum_Tomography_black_subset_17,17,table,0,0,0,0.4061302681992337
TABULA,40.tar_1503.04540.gz_drehmer_ngc4258_revised_arxiv_black_subset_17,17,table,0,0,0,0.12159468438538212
TABULA,44.tar_1503.06377.gz_NF-O-Arxiv_black_subset_6,6,table,0,0,0,0.25193798449612403
TABULA,38.tar_1503.03099.gz_Draft8_black_subset_10,10,table,0,0,0,0.4073006724303554
TABULA,35.tar_1503.01851.gz_ms_black_subset_7,7,table,0,0,0,0.41192560175054704
TABULA,48.tar_1503.08346.gz_adibekyan_giants_black_subset_3,3,table,0,0,0,0.43137254901960786
TABULA,46.tar_1503.07500.gz_DoranMalmendier2015_CYmoduli_black_subset_56,56,table,0,0,0,0.21794871794871795
TABULA,38.tar_1503.03175.gz_Hybrid_mtsls_nlopt_black_subset_4,4,table,0,0,0,0.41332143919119835
TABULA,39.tar_1503.03666.gz_A_Commentary_on_Statistical_Assessment_of_Violence_Recidivism_Risk_black_subset_19,19,table,0,0,0,0.14410905550146055
TABULA,40.tar_1503.04161.gz_VW-U-Quantile-vs2.3_black_subset_9,9,table,0,0,0,0.23023255813953483
TABULA,36.tar_1503.02293.gz_ms_black_subset_2,2,table,0,0,0,0.08773630634997573
TABULA,42.tar_1503.05505.gz_simp_michel_march17_black_subset_9,9,table,0,0,0,0.26284674852205553
TABULA,40.tar_1503.04540.gz_drehmer_ngc4258_revised_arxiv_black_subset_10,10,table,0,0,0,0.29912023460410553
TABULA,42.tar_1503.05422.gz_CF2_BulkFlow_arxiv_black_subset_11,11,table,0,0,0,0.4405797101449275
TABULA,38.tar_1503.03065.gz_ms_black_subset_2,2,table,0,0,0,0.3025238174828681
TABULA,48.tar_1503.08613.gz_CME_SXR_black_subset_5,5,table,0,0,0,0.3738953093133922
TABULA,34.tar_1503.01521.gz_arxiv-joint-learning_black_subset_10,10,table,0,0,0,0.2683823529411765
TABULA,38.tar_1503.03457.gz_C2Q-DT_black_subset_4,4,table,0,0,0,0.16662272607434744
TABULA,32.tar_1503.00107.gz_non-linear_black_subset_6,6,table,0,0,0,0.3314543404735062
TABULA,48.tar_1503.08722.gz_EF_VPC_41_black_subset_14,14,table,0,0,0,0.4129979035639413
TABULA,41.tar_1503.04715.gz_jcanty_manuscript_2015_black_subset_9,9,table,0,0,0,0.5255374032674118
TABULA,39.tar_1503.03562.gz_bmnn_black_subset_6,6,table,0,0,0,0.26163108921729616
TABULA,34.tar_1503.01191.gz_avix_black_subset_6,6,table,0,0,0,0.2728804042672655
TABULA,35.tar_1503.01754.gz_A_Quantization_Approach_to_the_Credit_Exposure_Estimation_black_subset_26,26,table,0,0,0,0.29900000000000004
TABULA,40.tar_1503.04321.gz_clash_paper_accepted_black_subset_2,2,table,0,0,0,0.3771171793985482
TABULA,38.tar_1503.03459.gz_RobustGenEFMsv3arxiv_black_subset_11,11,table,0,0,0,0.6138557637705849
TABULA,48.tar_1503.08485.gz_twc_d2d_scheduling_1col_black_subset_18,18,table,0,0,0,0.0386363636363636
TABULA,47.tar_1503.08081.gz_ProficiencyofPowerValues_black_subset_6,6,table,0,0,0,0.24159468438538212
TABULA,32.tar_1503.00516.gz_MPS_for_FE_2_12_15_double_black_subset_6,6,table,0,0,0,0.3854014598540146
TABULA,35.tar_1503.01846.gz_Reeves_2015_arXiv_black_subset_9,9,table,0,0,0,0.17326162120630045
TABULA,49.tar_1503.09008.gz_imexpaper4_black_subset_14,14,table,0,0,0,0.5057712486883525
TABULA,46.tar_1503.07725.gz_JCC-paper_black_subset_16,16,table,0,0,0,0.47692307692307695
TABULA,36.tar_1503.02367.gz_Design_and_analysis_Final_Version_black_subset_7,7,table,0,0,0,0.2873082287308229
TABULA,37.tar_1503.02781.gz_graph_formats_black_subset_13,13,table,0,0,0,0.24709185720016053
TABULA,45.tar_1503.07258.gz_Lu_Turkoglu_Adaptive_dT_Journal_v13_black_subset_3,3,table,0,0,0,0.2020618556701031
TABULA,33.tar_1503.00848.gz_MCG-arXiv2016_black_subset_4,4,table,0,0,0,0.14559043348281023
TABULA,34.tar_1503.01374.gz_dU_v20_black_subset_37,37,table,0,0,0,0.022346368715083855
TABULA,47.tar_1503.08049.gz_enha_transient_5g_black_subset_8,8,table,0,0,0,0.43891402714932126
TABULA,36.tar_1503.02094.gz_AKT-SISC-parareal_r3_arXiv_black_subset_25,25,table,0,0,0,0.12776412776412782
TABULA,41.tar_1503.05013.gz_112Sn_paper_black_subset_5,5,table,0,0,0,0.11981566820276499
TABULA,45.tar_1503.07237.gz_B2Dprd_black_subset_8,8,table,0,0,0,0.49209694415173866
TABULA,39.tar_1503.03964.gz_paper_finalE_black_subset_14,14,table,0,0,0,0.3304042179261863
TABULA,39.tar_1503.03653.gz_socc15_final_black_subset_0,0,table,0,0,0,0.28828828828828834
TABULA,41.tar_1503.05041.gz_150301_1370_black_subset_6,6,table,0,0,0,0.34348719865445715
TABULA,42.tar_1503.05464.gz_paper_black_subset_22,22,table,0,0,0,0.3097514340344168
TABULA,47.tar_1503.08099.gz_revision_jcpb_black_subset_35,35,table,0,0,0,0.24080267558528434
TABULA,44.tar_1503.06239.gz_BwDPP_black_subset_5,5,table,0,0,0,0.21616541353383453
TABULA,45.tar_1503.07291.gz_Jan_23_black_subset_4,4,table,0,0,0,0.29243353783231085
TABULA,33.tar_1503.00910.gz_Sdep_modules_FinalVersion_MC_black_subset_13,13,table,0,0,0,0.7978273989136995
TABULA,46.tar_1503.07630.gz_v21_black_subset_1,1,table,0,0,0,0.42542372881355933
TABULA,35.tar_1503.01531.gz_main_black_subset_19,19,table,0,0,0,0.421792618629174
TABULA,33.tar_1503.00719.gz_Herschelpaperv44_black_subset_2,2,table,0,0,0,0.3467506183944232
TABULA,42.tar_1503.05265.gz_MacCartney_ICC2015_guest_black_subset_1,1,table,0,0,0,0.3006384213580964
TABULA,40.tar_1503.04199.gz_manuscript_black_subset_1,1,table,0,0,0,0.3375
TABULA,38.tar_1503.02974.gz_Wade_IEEE_CB_B_black_subset_4,4,table,0,0,0,0.18613861386138608
TABULA,40.tar_1503.04059.gz_main_black_subset_21,21,table,0,0,0,0.25307557117750434
TABULA,39.tar_1503.03783.gz_method_black_subset_17,17,table,0,0,0,0.14257425742574256
